pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version1,0,0,15,1,1,0.182345,0.039206,0.168615,0.775206,0.043617,0.773076,0.082857,0.027542,0.068866,0.162517,0.008977,0.163348
original_vs_version1,0,1,15,1,1,0.190768,0.032938,0.187024,0.774946,0.042325,0.773767,0.07192,0.018718,0.070291,0.181238,0.008911,0.182525
original_vs_version1,0,2,15,1,1,0.112347,0.019841,0.106794,0.741355,0.043049,0.74045,0.061513,0.025801,0.055728,0.287954,0.012202,0.286867
original_vs_version1,0,3,15,1,1,0.207972,0.038105,0.199358,0.794058,0.04134,0.798111,0.07811,0.021875,0.074728,0.170085,0.007498,0.170082
original_vs_version1,0,4,15,1,1,0.07344,0.009248,0.074135,0.755842,0.049862,0.751031,0.047499,0.01313,0.044362,0.40284,0.00923,0.404901
original_vs_version1,0,5,15,1,1,0.156763,0.01292,0.15796,0.7346,0.039817,0.728982,0.067738,0.01641,0.068179,0.450781,0.011743,0.451188
original_vs_version1,0,6,15,1,1,0.292162,0.025124,0.291834,0.739458,0.037278,0.733571,0.146898,0.033977,0.155938,0.27541,0.011918,0.272474
original_vs_version1,0,7,15,1,1,0.433999,0.01949,0.426951,0.773588,0.028931,0.770383,0.237419,0.069156,0.241718,0.197833,0.005334,0.197818
original_vs_version1,0,8,15,1,1,0.624931,0.025281,0.63154,0.839641,0.030082,0.844757,0.31622,0.080091,0.318144,0.138967,0.006082,0.137885
original_vs_version1,0,9,15,1,1,0.408254,0.047346,0.413078,0.763883,0.061508,0.763052,0.281711,0.089161,0.259102,0.231559,0.015261,0.23152
original_vs_version1,0,10,15,1,1,0.335572,0.026527,0.323075,0.83073,0.035055,0.822379,0.062012,0.024013,0.052309,0.299135,0.015606,0.304689
original_vs_version1,0,11,15,1,1,0.109767,0.013255,0.104875,0.787592,0.040969,0.787163,0.048267,0.009792,0.050971,0.533314,0.013887,0.531558
