pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version1,39,11,15,1,1,0.078064,0.008083,0.080367,0.717402,0.040763,0.723211,0.054003,0.009079,0.054567,44.511092,1.433628,44.433318
original_vs_version1,38,20,15,1,1,0.126219,0.019669,0.125662,0.711229,0.039551,0.702688,0.064828,0.016628,0.057704,40.401027,1.81927,39.62879
original_vs_version1,38,0,15,1,1,0.527123,0.031409,0.521974,0.881984,0.014775,0.880343,0.107478,0.029548,0.102221,38.323133,1.371264,38.476643
original_vs_version1,38,22,15,1,1,0.170464,0.026887,0.163639,0.724543,0.039059,0.723282,0.076033,0.018856,0.071766,35.793205,2.404023,35.919861
original_vs_version1,38,16,15,1,1,0.205614,0.026518,0.208491,0.744776,0.030163,0.74202,0.084173,0.015688,0.080285,33.057803,1.404244,32.930719
original_vs_version1,39,10,15,1,1,0.125313,0.010261,0.125986,0.730715,0.035507,0.730491,0.059626,0.012608,0.056435,32.974459,1.638339,32.849209
original_vs_version1,39,27,15,1,1,0.427055,0.015895,0.417532,0.843518,0.020011,0.846501,0.086631,0.033745,0.078321,32.738109,2.389443,32.751498
original_vs_version1,39,6,15,1,1,0.118186,0.01338,0.121055,0.719396,0.035518,0.717277,0.058956,0.011539,0.058694,32.625898,1.62379,32.694102
original_vs_version1,38,24,15,1,1,0.18611,0.022953,0.191318,0.754094,0.030291,0.74607,0.078668,0.022729,0.076173,32.134512,2.577165,31.331325
original_vs_version1,39,29,15,1,1,0.476329,0.008882,0.478207,0.854824,0.021996,0.857589,0.079384,0.025202,0.066872,30.74034,0.593504,30.559559
original_vs_version1,39,12,15,1,1,0.130595,0.01498,0.133062,0.748395,0.03831,0.753612,0.063195,0.015941,0.062797,30.647246,1.296682,30.623773
original_vs_version1,39,13,15,1,1,0.135836,0.012573,0.137246,0.737801,0.035162,0.745397,0.067604,0.010163,0.06519,30.557987,1.297987,30.365885
original_vs_version1,39,1,15,1,1,0.244967,0.032286,0.235523,0.777266,0.029571,0.768083,0.096172,0.025184,0.091847,29.030251,0.873234,28.979023
original_vs_version1,38,23,15,1,1,0.166459,0.019252,0.165399,0.72556,0.037738,0.720991,0.075625,0.01633,0.071301,27.639431,1.777937,27.517972
original_vs_version1,39,5,15,1,1,0.181295,0.018738,0.190605,0.746544,0.035121,0.747701,0.080145,0.016169,0.084346,26.417232,0.537301,26.57869
original_vs_version1,39,14,15,1,1,0.162726,0.020425,0.161582,0.758722,0.03498,0.761157,0.06494,0.026106,0.058883,26.009183,2.095133,26.219892
original_vs_version1,38,21,15,1,1,0.162024,0.020358,0.162365,0.74746,0.029998,0.73744,0.086737,0.044345,0.063841,25.576301,1.416706,25.513136
original_vs_version1,39,25,15,1,1,0.514345,0.016774,0.514619,0.87743,0.011217,0.878432,0.066783,0.021209,0.06386,25.490114,1.856011,25.689928
original_vs_version1,39,31,15,1,1,0.138213,0.018526,0.13305,0.714824,0.041145,0.719187,0.070925,0.0122,0.0706,25.27815,1.047794,25.449143
original_vs_version1,39,36,15,1,1,0.591739,0.010626,0.592828,0.875335,0.016594,0.878479,0.152905,0.037133,0.140916,24.482684,0.703475,24.02909
