pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version1,5,2,15,1,1,0.902003,0.017595,0.904521,0.963241,0.010071,0.963593,0.498419,0.173197,0.547373,0.052875,0.005215,0.050985
original_vs_version1,14,24,15,1,1,0.999976,3.5e-05,0.999988,0.999993,7e-06,0.999993,0.46128,0.481654,0.052748,0.001595,0.00088,0.001411
original_vs_version1,2,4,15,1,1,0.628927,0.048927,0.625509,0.815072,0.032545,0.811233,0.431717,0.050261,0.418689,0.2414,0.015985,0.240527
original_vs_version1,1,6,15,1,1,0.699726,0.0222,0.697122,0.8594,0.014304,0.861556,0.397447,0.096882,0.383669,0.184919,0.013637,0.181909
original_vs_version1,39,38,15,1,1,0.869027,0.026692,0.864252,0.945381,0.012509,0.943787,0.350554,0.063011,0.354803,11.940843,1.235778,11.945348
original_vs_version1,3,32,15,1,1,0.17248,0.026762,0.1731,0.53339,0.041636,0.530564,0.344424,0.083085,0.34688,0.433701,0.022578,0.433841
original_vs_version1,36,23,15,1,1,0.222522,0.043113,0.209189,0.684966,0.039736,0.686096,0.332648,0.093043,0.339968,6.542349,1.260202,6.157094
original_vs_version1,5,16,15,1,1,0.952652,0.01236,0.955251,0.987809,0.004252,0.989363,0.316418,0.10809,0.290932,0.035313,0.004392,0.034623
original_vs_version1,0,8,15,1,1,0.624931,0.025281,0.63154,0.839641,0.030082,0.844757,0.31622,0.080091,0.318144,0.138967,0.006082,0.137885
original_vs_version1,0,14,15,1,1,0.882559,0.026043,0.877327,0.964786,0.012296,0.959217,0.291998,0.092838,0.275662,0.08714,0.01318,0.093695
original_vs_version1,4,22,15,1,1,0.470348,0.053064,0.460364,0.765778,0.048522,0.762738,0.29048,0.070584,0.276612,0.465831,0.035696,0.469903
original_vs_version1,1,8,15,1,1,0.793364,0.012868,0.792452,0.918082,0.012602,0.914735,0.289027,0.044772,0.301697,0.14817,0.007267,0.146579
original_vs_version1,38,26,15,1,1,0.52342,0.028229,0.529272,0.797153,0.032784,0.803069,0.284188,0.096366,0.254723,10.542401,1.199884,10.305778
original_vs_version1,0,9,15,1,1,0.408254,0.047346,0.413078,0.763883,0.061508,0.763052,0.281711,0.089161,0.259102,0.231559,0.015261,0.23152
original_vs_version1,25,4,15,1,1,0.477964,0.038652,0.464021,0.818327,0.037108,0.80757,0.278603,0.078317,0.309204,1.864701,0.188463,1.900009
