layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,0,original_vs_version1,15,1,1,0.162517,0.008977,0.163348
0,0,original_vs_version2,15,1,1,0.149887,0.009359,0.150238
0,0,original_vs_version3,15,1,1,0.151391,0.010746,0.151221
0,0,version1_vs_version2,15,1,1,0.164586,0.010749,0.163141
0,0,version1_vs_version3,15,1,1,0.166489,0.009319,0.16504
0,0,version2_vs_version3,15,1,1,0.153271,0.01125,0.152105
0,1,original_vs_version1,15,1,1,0.181238,0.008911,0.182525
0,1,original_vs_version2,15,1,1,0.169083,0.007892,0.168781
0,1,original_vs_version3,15,1,1,0.168861,0.011631,0.168024
0,1,version1_vs_version2,15,1,1,0.181512,0.007764,0.180634
0,1,version1_vs_version3,15,1,1,0.181632,0.009755,0.17831
0,1,version2_vs_version3,15,1,1,0.168772,0.01063,0.168088
0,2,original_vs_version1,15,1,1,0.287954,0.012202,0.286867
0,2,original_vs_version2,15,1,1,0.271571,0.015668,0.273068
0,2,original_vs_version3,15,1,1,0.269788,0.018197,0.26749
0,2,version1_vs_version2,15,1,1,0.295199,0.010171,0.293933
0,2,version1_vs_version3,15,1,1,0.293797,0.012619,0.293774
0,2,version2_vs_version3,15,1,1,0.277345,0.019356,0.274013
0,3,original_vs_version1,15,1,1,0.170085,0.007498,0.170082
0,3,original_vs_version2,15,1,1,0.156685,0.008268,0.158602
0,3,original_vs_version3,15,1,1,0.159088,0.011838,0.158481
0,3,version1_vs_version2,15,1,1,0.170387,0.005805,0.169433
0,3,version1_vs_version3,15,1,1,0.173108,0.008793,0.171607
0,3,version2_vs_version3,15,1,1,0.159328,0.013344,0.159383
0,4,original_vs_version1,15,1,1,0.40284,0.00923,0.404901
0,4,original_vs_version2,15,1,1,0.387147,0.013673,0.385204
0,4,original_vs_version3,15,1,1,0.387554,0.016444,0.387855
0,4,version1_vs_version2,15,1,1,0.404714,0.005899,0.402753
0,4,version1_vs_version3,15,1,1,0.405223,0.009021,0.405907
0,4,version2_vs_version3,15,1,1,0.38882,0.015928,0.388782
0,5,original_vs_version1,15,1,1,0.450781,0.011743,0.451188
0,5,original_vs_version2,15,1,1,0.441728,0.014747,0.440975
0,5,original_vs_version3,15,1,1,0.442026,0.015139,0.438623
0,5,version1_vs_version2,15,1,1,0.454828,0.009222,0.454438
0,5,version1_vs_version3,15,1,1,0.455623,0.009547,0.454273
0,5,version2_vs_version3,15,1,1,0.445924,0.013747,0.440561
