pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version1,3,34,15,1,1,0.083735,0.024103,0.087682,0.474346,0.036765,0.481057,0.257576,0.051802,0.261292,0.501215,0.0293,0.508945
original_vs_version1,3,32,15,1,1,0.17248,0.026762,0.1731,0.53339,0.041636,0.530564,0.344424,0.083085,0.34688,0.433701,0.022578,0.433841
original_vs_version1,3,33,15,1,1,0.178228,0.030157,0.178284,0.572989,0.058906,0.558006,0.167442,0.029933,0.167181,0.39236,0.034663,0.384575
original_vs_version1,3,31,15,1,1,0.151163,0.021737,0.155421,0.642085,0.047755,0.648459,0.138042,0.041718,0.122429,0.377054,0.024065,0.376978
original_vs_version1,2,33,15,1,1,0.260445,0.055197,0.259281,0.664146,0.059524,0.672053,0.172263,0.042842,0.163914,0.200566,0.035649,0.188467
original_vs_version1,0,17,15,1,1,0.203805,0.041734,0.205366,0.674851,0.069304,0.677515,0.139047,0.049897,0.135615,0.317998,0.014938,0.313155
original_vs_version1,0,29,15,1,1,0.1511,0.024631,0.154721,0.680143,0.050018,0.678289,0.158559,0.048245,0.155613,0.166343,0.006074,0.163137
original_vs_version1,1,33,15,1,1,0.078594,0.014264,0.078851,0.684539,0.040465,0.672643,0.073739,0.024079,0.067875,0.451079,0.016772,0.448286
original_vs_version1,36,23,15,1,1,0.222522,0.043113,0.209189,0.684966,0.039736,0.686096,0.332648,0.093043,0.339968,6.542349,1.260202,6.157094
original_vs_version1,2,30,15,1,1,0.288045,0.036089,0.282942,0.694457,0.041533,0.681294,0.177936,0.037284,0.182907,0.175661,0.012566,0.180976
original_vs_version1,0,26,15,1,1,0.168693,0.029674,0.171209,0.695565,0.049453,0.685329,0.135918,0.038422,0.137645,0.163844,0.006435,0.161914
original_vs_version1,3,21,15,1,1,0.223991,0.030505,0.230718,0.698631,0.044797,0.711803,0.12081,0.020789,0.119939,0.446763,0.059008,0.450852
original_vs_version1,0,28,15,1,1,0.147813,0.026616,0.149048,0.700506,0.051659,0.695917,0.134237,0.04268,0.138912,0.17425,0.005522,0.173631
original_vs_version1,2,13,15,1,1,0.203577,0.023079,0.211416,0.700731,0.043875,0.704325,0.125047,0.032651,0.122081,0.382295,0.029342,0.378241
original_vs_version1,10,15,15,1,1,0.179809,0.02489,0.183453,0.70265,0.042482,0.707635,0.096649,0.02409,0.087191,0.82446,0.060474,0.833685
original_vs_version1,2,14,15,1,1,0.157225,0.0181,0.157765,0.703651,0.044622,0.703805,0.069475,0.012785,0.067777,0.345519,0.027531,0.346532
original_vs_version1,2,34,15,1,1,0.272476,0.039457,0.278082,0.705105,0.042843,0.711435,0.180425,0.034881,0.177097,0.177341,0.014348,0.172383
original_vs_version1,35,22,15,1,1,0.337553,0.080289,0.324376,0.70694,0.081928,0.703317,0.17664,0.051929,0.170394,3.915865,1.247317,3.672613
original_vs_version1,0,30,15,1,1,0.110483,0.017821,0.108159,0.708081,0.045004,0.708011,0.070082,0.017416,0.065222,0.257943,0.010259,0.260259
original_vs_version1,3,20,15,1,1,0.213538,0.043751,0.2071,0.70811,0.041279,0.708134,0.114922,0.030603,0.10906,0.614731,0.080647,0.639003
original_vs_version2,3,21,15,1,1,0.220515,0.033223,0.22035,0.716757,0.062715,0.712766,0.113932,0.027997,0.110721,0.471135,0.053027,0.475106
original_vs_version2,3,33,15,1,1,0.255478,0.076007,0.2826,0.729125,0.138292,0.780229,0.1223,0.06543,0.098918,0.384207,0.038112,0.392056
original_vs_version2,3,32,15,1,1,0.276316,0.071294,0.311666,0.730804,0.140853,0.777837,0.193699,0.138384,0.134515,0.341689,0.072986,0.31337
original_vs_version2,3,34,15,1,1,0.16087,0.064966,0.177859,0.736778,0.188933,0.833995,0.123325,0.106387,0.07058,0.479849,0.051259,0.480498
original_vs_version2,10,15,15,1,1,0.194904,0.028715,0.191121,0.744512,0.071342,0.772091,0.08744,0.022401,0.086523,0.875843,0.083483,0.861128
original_vs_version2,13,23,15,1,1,0.305018,0.034802,0.306145,0.771691,0.042357,0.770875,0.148101,0.034232,0.147719,1.321268,0.080302,1.331822
original_vs_version2,35,22,15,1,1,0.375783,0.072826,0.382372,0.773529,0.098343,0.804308,0.170617,0.071602,0.159196,3.632995,1.149809,3.302294
original_vs_version2,2,33,15,1,1,0.308209,0.062915,0.318379,0.77379,0.106332,0.803964,0.131568,0.056399,0.120143,0.193381,0.039949,0.17834
original_vs_version2,13,22,15,1,1,0.120432,0.011997,0.118618,0.774402,0.052883,0.790471,0.059555,0.012585,0.060128,2.878216,0.112548,2.873426
original_vs_version2,24,5,15,1,1,0.106337,0.014227,0.10569,0.787049,0.061121,0.807804,0.049235,0.011271,0.048596,10.931014,0.31266,10.90864
original_vs_version2,3,20,15,1,1,0.243988,0.054793,0.230798,0.788417,0.069032,0.806426,0.088897,0.023586,0.08203,0.605977,0.069679,0.607542
original_vs_version2,5,13,15,1,1,0.139388,0.017849,0.136665,0.79005,0.061123,0.786684,0.050225,0.019873,0.045957,1.110834,0.083289,1.133645
original_vs_version2,4,20,15,1,1,0.344367,0.057643,0.352099,0.793702,0.076955,0.824656,0.158956,0.078758,0.153439,0.400951,0.031105,0.39344
original_vs_version2,1,33,15,1,1,0.096684,0.017754,0.102676,0.794304,0.086645,0.834101,0.049009,0.017815,0.046981,0.406314,0.024421,0.40036
original_vs_version2,30,1,15,1,1,0.156455,0.021671,0.1521,0.794575,0.060322,0.782663,0.057782,0.02233,0.057573,6.935978,0.995951,7.090536
original_vs_version2,10,19,15,1,1,0.165845,0.021669,0.169195,0.794696,0.067433,0.822969,0.063866,0.015904,0.059205,1.374388,0.060632,1.382927
original_vs_version2,32,19,15,1,1,0.256432,0.036242,0.25941,0.79607,0.054422,0.808889,0.093677,0.040412,0.091257,3.717288,0.644131,3.838832
original_vs_version2,3,31,15,1,1,0.213699,0.049206,0.232663,0.797721,0.114582,0.844976,0.081768,0.035272,0.075283,0.36026,0.031709,0.365347
original_vs_version2,6,16,15,1,1,0.105476,0.011442,0.106392,0.797823,0.063697,0.815907,0.059906,0.020811,0.053826,1.122776,0.059065,1.11381
original_vs_version2,2,14,15,1,1,0.170512,0.021108,0.168433,0.800606,0.077772,0.83234,0.052021,0.020171,0.045713,0.366127,0.037496,0.372542
original_vs_version3,3,33,15,1,1,0.243863,0.067858,0.267088,0.700145,0.121786,0.736674,0.123831,0.044986,0.115531,0.394472,0.036062,0.396105
original_vs_version3,3,32,15,1,1,0.263437,0.062902,0.287566,0.70644,0.127585,0.756105,0.190458,0.138169,0.125102,0.34327,0.067177,0.309601
original_vs_version3,3,34,15,1,1,0.155545,0.06195,0.169212,0.713411,0.178442,0.799747,0.117094,0.084676,0.069877,0.480102,0.04893,0.473952
original_vs_version3,10,15,15,1,1,0.179142,0.030682,0.174474,0.719564,0.069832,0.727732,0.091403,0.022245,0.09328,0.881357,0.059419,0.892554
original_vs_version3,3,21,15,1,1,0.227907,0.040955,0.214787,0.729113,0.085282,0.719547,0.11522,0.038807,0.116603,0.465272,0.064126,0.482454
original_vs_version3,13,23,15,1,1,0.283531,0.03545,0.294622,0.731065,0.058618,0.752565,0.151903,0.03462,0.159059,1.350556,0.110205,1.347302
original_vs_version3,13,22,15,1,1,0.113718,0.01403,0.118021,0.7315,0.054426,0.741656,0.068815,0.015989,0.06735,2.894828,0.089374,2.885788
original_vs_version3,2,33,15,1,1,0.289693,0.06911,0.307564,0.738315,0.106586,0.760292,0.128178,0.057496,0.104456,0.196056,0.042905,0.174269
original_vs_version3,24,5,15,1,1,0.103934,0.013831,0.105174,0.738708,0.060097,0.74576,0.051699,0.009256,0.050564,10.970227,0.286204,10.968612
original_vs_version3,3,31,15,1,1,0.19779,0.049592,0.211289,0.751514,0.098452,0.770556,0.107189,0.052772,0.088614,0.359697,0.030831,0.354914
original_vs_version3,20,0,15,1,1,0.193035,0.03006,0.186155,0.760525,0.055,0.773571,0.075403,0.01794,0.073874,3.939357,0.130959,3.934604
original_vs_version3,32,19,15,1,1,0.237086,0.0385,0.244233,0.765057,0.067884,0.757268,0.094822,0.037546,0.08718,3.758531,0.539017,3.846072
original_vs_version3,4,20,15,1,1,0.330025,0.056259,0.328803,0.767955,0.082828,0.775914,0.160658,0.057823,0.166374,0.399831,0.030621,0.384544
original_vs_version3,6,16,15,1,1,0.099196,0.014646,0.097719,0.769887,0.070128,0.790091,0.072111,0.029385,0.065609,1.124318,0.055146,1.121073
original_vs_version3,35,22,15,1,1,0.380266,0.071251,0.39511,0.773546,0.080723,0.811781,0.139756,0.042742,0.119937,3.742607,1.29849,3.584662
original_vs_version3,10,19,15,1,1,0.165054,0.024839,0.170393,0.773789,0.065262,0.804876,0.065497,0.01262,0.065227,1.37546,0.059846,1.36994
original_vs_version3,3,20,15,1,1,0.237611,0.051828,0.227961,0.775264,0.079626,0.761577,0.087978,0.034202,0.082873,0.592478,0.067337,0.594593
original_vs_version3,1,33,15,1,1,0.093811,0.017996,0.096692,0.778657,0.086133,0.820192,0.053935,0.021539,0.042805,0.411283,0.031209,0.398096
original_vs_version3,11,28,15,1,1,0.141571,0.028563,0.130362,0.779187,0.053995,0.778276,0.057069,0.018159,0.051996,1.486075,0.28862,1.415287
original_vs_version3,32,15,15,1,1,0.201957,0.023247,0.19903,0.779982,0.053186,0.800268,0.069007,0.023128,0.067693,3.925373,0.470304,3.855262
version1_vs_version2,3,34,15,1,1,0.16546,0.144566,0.090391,0.589359,0.200732,0.499384,0.219964,0.102467,0.235121,0.462348,0.055133,0.480062
version1_vs_version2,3,32,15,1,1,0.2299,0.101811,0.19039,0.627791,0.183532,0.534285,0.292727,0.133073,0.317547,0.433941,0.025355,0.431972
version1_vs_version2,3,33,15,1,1,0.201713,0.057805,0.183308,0.655572,0.16653,0.57993,0.154854,0.067253,0.153595,0.381004,0.039232,0.393005
version1_vs_version2,3,21,15,1,1,0.221456,0.044498,0.212554,0.703805,0.08718,0.683608,0.119313,0.033531,0.121367,0.445975,0.055927,0.464058
version1_vs_version2,35,22,15,1,1,0.332734,0.092944,0.349832,0.71182,0.108805,0.732896,0.173737,0.040926,0.157271,3.725366,1.212349,3.409158
version1_vs_version2,3,31,15,1,1,0.172508,0.033693,0.16297,0.714009,0.139249,0.67674,0.107846,0.054045,0.097998,0.374416,0.022273,0.375681
version1_vs_version2,10,15,15,1,1,0.186746,0.026023,0.19305,0.719711,0.046921,0.717757,0.087111,0.019149,0.090745,0.825949,0.071606,0.840755
version1_vs_version2,2,33,15,1,1,0.302558,0.063443,0.297568,0.730379,0.101288,0.694234,0.148356,0.056107,0.145985,0.178707,0.00897,0.179256
version1_vs_version2,1,33,15,1,1,0.086752,0.019076,0.082674,0.73467,0.097247,0.69618,0.063543,0.017605,0.058042,0.448114,0.027306,0.444752
version1_vs_version2,0,29,15,1,1,0.17133,0.043652,0.160048,0.735456,0.094243,0.694652,0.111876,0.045946,0.115198,0.164861,0.005408,0.16377
version1_vs_version2,2,30,15,1,1,0.302935,0.045856,0.285388,0.736307,0.084049,0.708465,0.159128,0.047137,0.150406,0.175142,0.01578,0.181433
version1_vs_version2,0,17,15,1,1,0.207783,0.033962,0.207511,0.737228,0.11312,0.706399,0.1048,0.045117,0.10581,0.329612,0.023997,0.320536
version1_vs_version2,2,14,15,1,1,0.176373,0.039321,0.164358,0.743966,0.086916,0.721541,0.074803,0.023681,0.076558,0.315685,0.032005,0.322788
