pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
original_vs_version1,k,0,0,15,1,1,0.986518,0.000405,0.986411,0.995549,0.000948,0.995202,0.049875,0.02121,0.041524,kv_head
original_vs_version1,k,0,1,15,1,1,0.865327,0.004177,0.865997,0.968216,0.00659,0.965279,0.044797,0.008227,0.042734,kv_head
original_vs_version1,k,0,2,15,1,1,0.982722,0.000389,0.982745,0.993921,0.001074,0.993479,0.047065,0.010367,0.050907,kv_head
original_vs_version1,k,0,3,15,1,1,0.977629,0.000569,0.977703,0.992998,0.001217,0.992556,0.046281,0.006149,0.045356,kv_head
original_vs_version1,k,0,4,15,1,1,0.807554,0.005344,0.806558,0.930539,0.01416,0.926007,0.051008,0.012062,0.046992,kv_head
original_vs_version1,k,0,5,15,1,1,0.975143,0.000713,0.975098,0.992049,0.001926,0.991539,0.043736,0.006865,0.041448,kv_head
original_vs_version1,k,0,6,15,1,1,0.976036,0.000467,0.976124,0.992462,0.001665,0.992052,0.045538,0.016483,0.037653,kv_head
original_vs_version1,k,0,7,15,1,1,0.983722,0.000418,0.983657,0.994704,0.001103,0.994194,0.045326,0.012145,0.04486,kv_head
original_vs_version1,k,1,0,15,1,1,0.777396,0.004609,0.776744,0.915487,0.014558,0.913267,0.044847,0.012227,0.042417,kv_head
original_vs_version1,k,1,1,15,1,1,0.717061,0.01157,0.718112,0.905575,0.018653,0.897626,0.063632,0.019762,0.05964,kv_head
original_vs_version1,k,1,2,15,1,1,0.717451,0.008411,0.716301,0.905149,0.020488,0.899347,0.050608,0.008911,0.049602,kv_head
original_vs_version1,k,1,3,15,1,1,0.83564,0.005819,0.835603,0.959834,0.009176,0.956889,0.047129,0.013255,0.044536,kv_head
original_vs_version1,k,1,4,15,1,1,0.547534,0.004519,0.548114,0.919332,0.005494,0.919195,0.037802,0.006139,0.03536,kv_head
original_vs_version1,k,1,5,15,1,1,0.830882,0.006089,0.830395,0.941427,0.01165,0.937281,0.046793,0.00794,0.047072,kv_head
original_vs_version1,k,1,6,15,1,1,0.658645,0.007415,0.65752,0.881658,0.022229,0.878865,0.048351,0.007577,0.048353,kv_head
original_vs_version1,k,1,7,15,1,1,0.574242,0.008903,0.573109,0.874334,0.025003,0.86905,0.044611,0.006244,0.043579,kv_head
original_vs_version1,k,2,0,15,1,1,0.805568,0.003856,0.805687,0.949468,0.012287,0.946082,0.049005,0.006536,0.049223,kv_head
original_vs_version1,k,2,1,15,1,1,0.710813,0.006413,0.711427,0.929699,0.018542,0.92109,0.04651,0.011334,0.045287,kv_head
original_vs_version1,k,2,2,15,1,1,0.666595,0.005348,0.666956,0.886698,0.022238,0.878071,0.048922,0.007902,0.047242,kv_head
original_vs_version1,k,2,3,15,1,1,0.808945,0.002205,0.809057,0.932434,0.013725,0.930144,0.052534,0.019193,0.046756,kv_head
original_vs_version1,k,2,4,15,1,1,0.834104,0.003745,0.834495,0.943207,0.012327,0.940116,0.043108,0.008028,0.043448,kv_head
original_vs_version1,k,2,5,15,1,1,0.741803,0.003415,0.741505,0.916869,0.01974,0.90936,0.044784,0.007146,0.043449,kv_head
original_vs_version1,k,2,6,15,1,1,0.610102,0.014283,0.613205,0.868167,0.02473,0.863611,0.055281,0.007778,0.055056,kv_head
original_vs_version1,k,2,7,15,1,1,0.539139,0.008885,0.539133,0.875652,0.023,0.873354,0.047793,0.008444,0.04869,kv_head
original_vs_version1,k,3,0,15,1,1,0.455367,0.016452,0.456034,0.882585,0.026547,0.888661,0.042861,0.005333,0.04279,kv_head
original_vs_version1,k,3,1,15,1,1,0.446197,0.005988,0.445725,0.801438,0.029561,0.793282,0.047011,0.007783,0.047477,kv_head
original_vs_version1,k,3,2,15,1,1,0.606153,0.020703,0.607063,0.882708,0.027052,0.871784,0.052931,0.009104,0.049056,kv_head
