pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
original_vs_version1,k,36,4,15,1,1,0.496733,0.017179,0.503076,0.84401,0.032834,0.845465,0.084623,0.015684,0.086806,kv_head
original_vs_version1,k,37,4,15,1,1,0.626536,0.010279,0.626215,0.881679,0.025909,0.874828,0.079583,0.02042,0.073768,kv_head
original_vs_version1,k,3,6,15,1,1,0.527129,0.01378,0.528982,0.815193,0.032004,0.804125,0.073315,0.020654,0.071046,kv_head
original_vs_version1,k,7,6,15,1,1,0.772623,0.008565,0.774289,0.939784,0.012475,0.936528,0.065751,0.01764,0.06608,kv_head
original_vs_version1,k,37,6,15,1,1,0.401812,0.010883,0.404519,0.76621,0.044057,0.758759,0.065337,0.011461,0.066111,kv_head
original_vs_version1,k,1,1,15,1,1,0.717061,0.01157,0.718112,0.905575,0.018653,0.897626,0.063632,0.019762,0.05964,kv_head
original_vs_version1,k,38,2,15,1,1,0.443983,0.018952,0.438648,0.826094,0.034588,0.824427,0.063419,0.015694,0.060326,kv_head
original_vs_version1,k,38,5,15,1,1,0.64755,0.011991,0.64792,0.890838,0.020381,0.886844,0.062037,0.013127,0.060502,kv_head
original_vs_version1,k,35,7,15,1,1,0.51244,0.012298,0.509102,0.878615,0.026409,0.878907,0.059758,0.008485,0.058611,kv_head
original_vs_version1,k,32,6,15,1,1,0.51174,0.011021,0.509849,0.855506,0.033187,0.850412,0.05847,0.010949,0.056607,kv_head
original_vs_version1,k,32,0,15,1,1,0.500699,0.012489,0.497396,0.88088,0.025801,0.882951,0.057728,0.011215,0.056637,kv_head
original_vs_version1,k,30,1,15,1,1,0.476936,0.014827,0.473598,0.912814,0.016705,0.906678,0.05735,0.022909,0.050467,kv_head
original_vs_version1,k,34,0,15,1,1,0.59386,0.013818,0.596054,0.886352,0.02588,0.874198,0.057197,0.010506,0.055106,kv_head
original_vs_version1,k,4,4,15,1,1,0.719788,0.010091,0.720074,0.925757,0.014611,0.924078,0.057077,0.012336,0.058176,kv_head
original_vs_version1,k,39,4,15,1,1,0.642076,0.015071,0.642434,0.902551,0.020946,0.90373,0.056986,0.013921,0.054015,kv_head
original_vs_version1,k,37,2,15,1,1,0.610953,0.008807,0.613013,0.876785,0.027621,0.871937,0.056886,0.007348,0.058528,kv_head
original_vs_version1,k,39,3,15,1,1,0.69195,0.008163,0.694057,0.920264,0.015619,0.917787,0.056353,0.0097,0.056515,kv_head
