pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
original_vs_version1,k,37,6,15,1,1,0.401812,0.010883,0.404519,0.76621,0.044057,0.758759,0.065337,0.011461,0.066111,kv_head
original_vs_version1,k,35,5,15,1,1,0.346385,0.010988,0.345824,0.768029,0.050878,0.757218,0.05631,0.007563,0.056735,kv_head
original_vs_version1,k,14,2,15,1,1,0.41362,0.010638,0.411746,0.795281,0.048665,0.776714,0.044167,0.007339,0.043633,kv_head
original_vs_version1,k,5,4,15,1,1,0.37103,0.010663,0.371055,0.797616,0.047161,0.777382,0.050056,0.010462,0.047903,kv_head
original_vs_version1,k,3,5,15,1,1,0.317551,0.005584,0.317664,0.798709,0.028554,0.79336,0.044083,0.00749,0.044013,kv_head
original_vs_version1,k,3,1,15,1,1,0.446197,0.005988,0.445725,0.801438,0.029561,0.793282,0.047011,0.007783,0.047477,kv_head
original_vs_version1,k,5,2,15,1,1,0.46302,0.005767,0.463165,0.802255,0.041051,0.796755,0.045693,0.005321,0.045519,kv_head
original_vs_version1,k,3,6,15,1,1,0.527129,0.01378,0.528982,0.815193,0.032004,0.804125,0.073315,0.020654,0.071046,kv_head
original_vs_version1,k,37,7,15,1,1,0.538683,0.007285,0.536303,0.81728,0.030983,0.811169,0.042615,0.006406,0.042658,kv_head
original_vs_version1,k,38,2,15,1,1,0.443983,0.018952,0.438648,0.826094,0.034588,0.824427,0.063419,0.015694,0.060326,kv_head
original_vs_version1,k,32,4,15,1,1,0.529329,0.007151,0.529589,0.826139,0.037164,0.814078,0.047322,0.005739,0.046996,kv_head
original_vs_version1,k,32,7,15,1,1,0.509752,0.005826,0.50998,0.827645,0.03739,0.81599,0.045972,0.004774,0.046528,kv_head
original_vs_version1,k,29,1,15,1,1,0.437173,0.010219,0.437128,0.834354,0.043056,0.818327,0.051758,0.009606,0.049862,kv_head
original_vs_version1,k,29,5,15,1,1,0.469073,0.010114,0.468236,0.834934,0.043127,0.820948,0.049372,0.008026,0.050779,kv_head
original_vs_version1,k,9,7,15,1,1,0.275056,0.012086,0.27355,0.835433,0.031979,0.836851,0.046135,0.005687,0.045975,kv_head
original_vs_version1,k,29,7,15,1,1,0.508054,0.008187,0.507458,0.839426,0.044649,0.828431,0.04626,0.008306,0.04524,kv_head
original_vs_version1,k,37,0,15,1,1,0.419641,0.007768,0.42141,0.840041,0.031556,0.825655,0.045724,0.008015,0.047206,kv_head
original_vs_version1,k,4,7,15,1,1,0.547097,0.007286,0.547034,0.840049,0.035021,0.825712,0.045957,0.007906,0.042684,kv_head
original_vs_version1,k,13,7,15,1,1,0.535065,0.012198,0.532074,0.84099,0.039256,0.829214,0.047087,0.007317,0.046659,kv_head
original_vs_version1,k,6,3,15,1,1,0.440145,0.018733,0.438052,0.843355,0.042307,0.824679,0.048063,0.011691,0.048035,kv_head
original_vs_version1,q,0,22,15,1,1,0.258,0.010727,0.256216,0.72886,0.044778,0.721543,0.049543,0.009161,0.048725,q_head
original_vs_version1,q,3,34,15,1,1,0.38594,0.022442,0.387051,0.734561,0.045483,0.727835,0.127073,0.030023,0.123883,q_head
original_vs_version1,q,0,36,15,1,1,0.347379,0.006747,0.347065,0.755212,0.046268,0.741594,0.047197,0.0087,0.045126,q_head
original_vs_version1,q,5,23,15,1,1,0.404981,0.011187,0.404262,0.761746,0.044958,0.746144,0.046083,0.009267,0.043048,q_head
original_vs_version1,q,0,32,15,1,1,0.38636,0.009919,0.386649,0.762579,0.043619,0.75237,0.04556,0.006854,0.045499,q_head
original_vs_version1,q,3,5,15,1,1,0.459941,0.008122,0.461288,0.764467,0.042892,0.747159,0.048357,0.005823,0.047875,q_head
original_vs_version1,q,5,22,15,1,1,0.290591,0.008826,0.290477,0.765789,0.054273,0.749469,0.043208,0.004643,0.043255,q_head
original_vs_version1,q,0,20,15,1,1,0.329406,0.01395,0.327782,0.766279,0.041635,0.75776,0.051516,0.009155,0.051151,q_head
original_vs_version1,q,6,18,15,1,1,0.397357,0.011181,0.396066,0.768325,0.058069,0.742906,0.046469,0.005692,0.047188,q_head
original_vs_version1,q,0,35,15,1,1,0.376211,0.00639,0.376599,0.770471,0.040912,0.753596,0.054764,0.015519,0.049663,q_head
original_vs_version1,q,5,10,15,1,1,0.415566,0.007127,0.415461,0.77551,0.051701,0.758984,0.048802,0.006365,0.04883,q_head
original_vs_version1,q,21,29,15,1,1,0.335655,0.012409,0.334052,0.776018,0.05084,0.766803,0.044679,0.004785,0.045631,q_head
original_vs_version1,q,0,4,15,1,1,0.421072,0.009688,0.422523,0.779135,0.038094,0.769465,0.048955,0.006996,0.04933,q_head
original_vs_version1,q,0,34,15,1,1,0.365686,0.01196,0.365478,0.780562,0.040076,0.765356,0.048807,0.010494,0.049826,q_head
original_vs_version1,q,0,16,15,1,1,0.398417,0.007564,0.399003,0.780871,0.047314,0.764773,0.044291,0.003938,0.043842,q_head
original_vs_version1,q,3,29,15,1,1,0.445353,0.005667,0.444495,0.781262,0.038455,0.771041,0.049339,0.008104,0.050444,q_head
original_vs_version1,q,39,26,15,1,1,0.4695,0.01223,0.469035,0.782848,0.037077,0.779102,0.065001,0.012093,0.063118,q_head
original_vs_version1,q,0,5,15,1,1,0.387449,0.009606,0.391274,0.783001,0.037431,0.770322,0.046389,0.008016,0.044327,q_head
original_vs_version1,q,0,37,15,1,1,0.440559,0.004107,0.440293,0.783635,0.041393,0.775021,0.04464,0.007821,0.044422,q_head
original_vs_version1,q,0,25,15,1,1,0.413811,0.015389,0.413586,0.789712,0.041937,0.784503,0.050868,0.008738,0.048166,q_head
original_vs_version1,v,38,5,15,1,1,0.102618,0.009465,0.103693,0.674902,0.041252,0.676471,0.062232,0.012219,0.060782,kv_head
original_vs_version1,v,39,6,15,1,1,0.059178,0.008542,0.060151,0.686038,0.044763,0.690228,0.054545,0.008954,0.054932,kv_head
original_vs_version1,v,38,2,15,1,1,0.054652,0.003757,0.054359,0.687693,0.043684,0.690288,0.059051,0.009255,0.059114,kv_head
original_vs_version1,v,38,4,15,1,1,0.069355,0.010236,0.066534,0.688959,0.038874,0.681798,0.052029,0.005462,0.053096,kv_head
original_vs_version1,v,39,1,15,1,1,0.08908,0.008932,0.093694,0.69426,0.040501,0.69663,0.055552,0.005827,0.055719,kv_head
original_vs_version1,v,35,7,15,1,1,0.088286,0.006221,0.08823,0.698212,0.038855,0.703352,0.069133,0.015848,0.069708,kv_head
original_vs_version1,v,3,6,15,1,1,0.021067,0.002483,0.020467,0.698524,0.047596,0.689451,0.049563,0.006909,0.048685,kv_head
original_vs_version1,v,39,3,15,1,1,0.05908,0.004382,0.059674,0.704168,0.047804,0.698929,0.053306,0.00892,0.053177,kv_head
original_vs_version1,v,36,3,15,1,1,0.091716,0.005995,0.089717,0.704355,0.040562,0.704095,0.063289,0.007961,0.064807,kv_head
original_vs_version1,v,39,2,15,1,1,0.065726,0.005838,0.066719,0.710254,0.041243,0.714704,0.054552,0.009968,0.054848,kv_head
original_vs_version1,v,38,3,15,1,1,0.086773,0.010495,0.086316,0.711112,0.039115,0.711784,0.051857,0.008201,0.049929,kv_head
original_vs_version1,v,10,3,15,1,1,0.044186,0.005268,0.042373,0.711322,0.045158,0.712426,0.049096,0.007357,0.049873,kv_head
original_vs_version1,v,36,4,15,1,1,0.093356,0.012508,0.091988,0.712415,0.04015,0.69825,0.068843,0.014371,0.072031,kv_head
original_vs_version1,v,36,2,15,1,1,0.07497,0.007899,0.075357,0.712499,0.042261,0.712655,0.050668,0.00853,0.051525,kv_head
original_vs_version1,v,13,4,15,1,1,0.045064,0.005504,0.046039,0.713284,0.040832,0.723957,0.045905,0.005813,0.04759,kv_head
original_vs_version1,v,37,4,15,1,1,0.220103,0.014023,0.226515,0.715703,0.03974,0.718006,0.119062,0.031153,0.109356,kv_head
original_vs_version1,v,6,7,15,1,1,0.052454,0.006174,0.052074,0.715952,0.044799,0.722438,0.051693,0.005721,0.053525,kv_head
original_vs_version1,v,37,6,15,1,1,0.076452,0.006449,0.078304,0.720889,0.040109,0.726492,0.059429,0.008661,0.060053,kv_head
original_vs_version1,v,2,6,15,1,1,0.022441,0.002111,0.021949,0.720903,0.045916,0.725288,0.047287,0.009627,0.046255,kv_head
original_vs_version1,v,39,4,15,1,1,0.140977,0.012071,0.143226,0.726888,0.035796,0.73168,0.056669,0.004285,0.056283,kv_head
original_vs_version2,k,14,2,15,1,1,0.415873,0.010977,0.416488,0.818842,0.070125,0.794662,0.047552,0.009145,0.049074,kv_head
original_vs_version2,k,35,5,15,1,1,0.363791,0.011701,0.366798,0.819503,0.074227,0.811974,0.045014,0.010653,0.039814,kv_head
original_vs_version2,k,37,6,15,1,1,0.421972,0.014048,0.423146,0.820726,0.068986,0.810917,0.050563,0.011425,0.049352,kv_head
original_vs_version2,k,3,5,15,1,1,0.321501,0.007517,0.323453,0.823081,0.061159,0.796557,0.044189,0.007933,0.041225,kv_head
original_vs_version2,k,3,1,15,1,1,0.452963,0.008332,0.456111,0.825718,0.058319,0.802095,0.041846,0.007279,0.041947,kv_head
original_vs_version2,k,5,2,15,1,1,0.470736,0.007485,0.473239,0.829812,0.062841,0.81178,0.043624,0.008109,0.045872,kv_head
original_vs_version2,k,5,4,15,1,1,0.380163,0.011433,0.381045,0.835652,0.067449,0.827311,0.043056,0.004823,0.043026,kv_head
original_vs_version2,k,37,7,15,1,1,0.541923,0.005526,0.541926,0.842145,0.051075,0.819814,0.045089,0.007603,0.046039,kv_head
