pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
original_vs_version1,k,12,2,15,1,1,0.263273,0.022143,0.257013,0.851591,0.035165,0.84842,0.042737,0.008871,0.042779,kv_head
original_vs_version1,k,9,7,15,1,1,0.275056,0.012086,0.27355,0.835433,0.031979,0.836851,0.046135,0.005687,0.045975,kv_head
original_vs_version1,k,18,4,15,1,1,0.291766,0.013655,0.290017,0.849712,0.027608,0.854285,0.044057,0.006833,0.044246,kv_head
original_vs_version1,k,17,1,15,1,1,0.294487,0.021887,0.296554,0.901293,0.022303,0.904583,0.044654,0.013363,0.042173,kv_head
original_vs_version1,k,34,2,15,1,1,0.297303,0.013525,0.298196,0.897771,0.018674,0.898291,0.043319,0.009661,0.041352,kv_head
original_vs_version1,k,20,7,15,1,1,0.315662,0.020696,0.317071,0.915786,0.016703,0.912347,0.051324,0.025018,0.042198,kv_head
original_vs_version1,k,3,5,15,1,1,0.317551,0.005584,0.317664,0.798709,0.028554,0.79336,0.044083,0.00749,0.044013,kv_head
original_vs_version1,k,13,0,15,1,1,0.318688,0.0152,0.315699,0.845151,0.03756,0.841101,0.043556,0.008132,0.044308,kv_head
original_vs_version1,k,34,7,15,1,1,0.319438,0.019266,0.319151,0.922312,0.015919,0.924125,0.043588,0.011485,0.041497,kv_head
original_vs_version1,k,34,5,15,1,1,0.328452,0.015367,0.327234,0.882374,0.022766,0.886507,0.041278,0.010051,0.040263,kv_head
original_vs_version1,k,34,1,15,1,1,0.331699,0.013626,0.335865,0.901783,0.017434,0.901179,0.043385,0.008674,0.042792,kv_head
original_vs_version1,k,18,5,15,1,1,0.332109,0.016618,0.331527,0.904912,0.020495,0.899869,0.046753,0.01269,0.045059,kv_head
original_vs_version1,k,17,4,15,1,1,0.335014,0.016868,0.333107,0.885972,0.028673,0.872664,0.040469,0.007589,0.039953,kv_head
original_vs_version1,k,12,1,15,1,1,0.341457,0.017963,0.336874,0.882145,0.026113,0.879751,0.044719,0.013349,0.041249,kv_head
original_vs_version1,k,12,5,15,1,1,0.345353,0.018961,0.344702,0.894107,0.019706,0.899983,0.044406,0.008235,0.042953,kv_head
original_vs_version1,k,28,6,15,1,1,0.345804,0.021452,0.350772,0.914441,0.020138,0.917755,0.042037,0.004744,0.040409,kv_head
original_vs_version1,k,35,5,15,1,1,0.346385,0.010988,0.345824,0.768029,0.050878,0.757218,0.05631,0.007563,0.056735,kv_head
original_vs_version1,k,32,1,15,1,1,0.346411,0.017048,0.343258,0.860784,0.031573,0.850482,0.042885,0.006205,0.043516,kv_head
original_vs_version1,k,21,1,15,1,1,0.355117,0.017898,0.357541,0.914476,0.016377,0.914347,0.041393,0.011561,0.038986,kv_head
original_vs_version1,k,31,3,15,1,1,0.356324,0.015301,0.357712,0.871383,0.028708,0.867487,0.039732,0.006037,0.040089,kv_head
original_vs_version1,q,0,22,15,1,1,0.258,0.010727,0.256216,0.72886,0.044778,0.721543,0.049543,0.009161,0.048725,q_head
original_vs_version1,q,5,29,15,1,1,0.25962,0.007385,0.258769,0.83716,0.017271,0.835352,0.044524,0.010435,0.045776,q_head
original_vs_version1,q,18,17,15,1,1,0.284817,0.012342,0.285547,0.812028,0.047035,0.794606,0.044568,0.010671,0.040957,q_head
original_vs_version1,q,0,18,15,1,1,0.28598,0.00748,0.286235,0.922633,0.004874,0.920816,0.033606,0.010928,0.031296,q_head
original_vs_version1,q,5,22,15,1,1,0.290591,0.008826,0.290477,0.765789,0.054273,0.749469,0.043208,0.004643,0.043255,q_head
original_vs_version1,q,6,7,15,1,1,0.291067,0.010585,0.290445,0.828574,0.030857,0.816812,0.043838,0.009122,0.041507,q_head
original_vs_version1,q,16,7,15,1,1,0.29442,0.008806,0.295114,0.795716,0.046853,0.773778,0.041933,0.007433,0.038713,q_head
original_vs_version1,q,12,13,15,1,1,0.306485,0.011048,0.303979,0.814655,0.048379,0.793051,0.045698,0.010205,0.044649,q_head
original_vs_version1,q,5,20,15,1,1,0.310902,0.012799,0.312779,0.824649,0.054462,0.810187,0.046828,0.009685,0.042617,q_head
original_vs_version1,q,17,11,15,1,1,0.322524,0.008753,0.321825,0.881834,0.025919,0.873193,0.049652,0.016098,0.047539,q_head
original_vs_version1,q,3,4,15,1,1,0.322533,0.008361,0.323906,0.827383,0.052249,0.807005,0.046848,0.007062,0.045374,q_head
original_vs_version1,q,18,19,15,1,1,0.325664,0.010181,0.325087,0.827373,0.050499,0.819753,0.042222,0.005866,0.041527,q_head
original_vs_version1,q,5,35,15,1,1,0.326127,0.013471,0.328308,0.880399,0.024128,0.877923,0.052996,0.011019,0.051307,q_head
original_vs_version1,q,0,20,15,1,1,0.329406,0.01395,0.327782,0.766279,0.041635,0.75776,0.051516,0.009155,0.051151,q_head
original_vs_version1,q,15,20,15,1,1,0.330755,0.014296,0.328057,0.864321,0.048675,0.837474,0.042264,0.006273,0.040941,q_head
original_vs_version1,q,22,16,15,1,1,0.333633,0.011514,0.334163,0.822043,0.049827,0.793443,0.041156,0.008199,0.039554,q_head
original_vs_version1,q,21,29,15,1,1,0.335655,0.012409,0.334052,0.776018,0.05084,0.766803,0.044679,0.004785,0.045631,q_head
original_vs_version1,q,17,38,15,1,1,0.336008,0.007235,0.33601,0.820288,0.047508,0.794162,0.044988,0.011437,0.043385,q_head
original_vs_version1,q,19,21,15,1,1,0.339556,0.008028,0.337286,0.827177,0.050903,0.810749,0.042966,0.00696,0.04266,q_head
original_vs_version1,q,19,23,15,1,1,0.341518,0.007934,0.343959,0.820445,0.04369,0.799728,0.04757,0.008337,0.045323,q_head
original_vs_version1,v,2,3,15,1,1,0.011642,0.001886,0.010732,0.776795,0.041462,0.762368,0.039871,0.007432,0.041808,kv_head
original_vs_version1,v,4,7,15,1,1,0.016865,0.002466,0.016691,0.782451,0.039417,0.781533,0.041217,0.005217,0.042716,kv_head
original_vs_version1,v,1,6,15,1,1,0.018027,0.002174,0.017511,0.773388,0.038445,0.776028,0.044743,0.008151,0.045903,kv_head
original_vs_version1,v,5,2,15,1,1,0.01803,0.00233,0.017112,0.815265,0.031271,0.809853,0.043981,0.010748,0.040304,kv_head
original_vs_version1,v,0,0,15,1,1,0.018134,0.003752,0.017734,0.799997,0.037117,0.801204,0.052474,0.015458,0.049418,kv_head
original_vs_version1,v,6,3,15,1,1,0.018208,0.00297,0.017646,0.7857,0.040005,0.786159,0.046132,0.007765,0.045164,kv_head
original_vs_version1,v,3,5,15,1,1,0.018335,0.002724,0.017244,0.778633,0.037706,0.779696,0.045128,0.005397,0.044852,kv_head
original_vs_version1,v,3,1,15,1,1,0.018501,0.00251,0.018387,0.763654,0.040937,0.758855,0.044063,0.008833,0.045156,kv_head
original_vs_version1,v,2,2,15,1,1,0.018945,0.00199,0.019022,0.738014,0.044858,0.730452,0.046603,0.008071,0.044802,kv_head
original_vs_version1,v,1,4,15,1,1,0.020458,0.003416,0.019241,0.771015,0.038134,0.765023,0.046328,0.007866,0.046299,kv_head
original_vs_version1,v,3,4,15,1,1,0.020614,0.002927,0.020387,0.761244,0.039842,0.767469,0.044932,0.008601,0.043513,kv_head
original_vs_version1,v,3,6,15,1,1,0.021067,0.002483,0.020467,0.698524,0.047596,0.689451,0.049563,0.006909,0.048685,kv_head
original_vs_version1,v,2,5,15,1,1,0.021288,0.002576,0.021804,0.757959,0.045252,0.75593,0.043137,0.008738,0.040935,kv_head
original_vs_version1,v,0,5,15,1,1,0.022394,0.003625,0.02282,0.758031,0.045053,0.766665,0.052681,0.011377,0.051884,kv_head
original_vs_version1,v,2,6,15,1,1,0.022441,0.002111,0.021949,0.720903,0.045916,0.725288,0.047287,0.009627,0.046255,kv_head
original_vs_version1,v,4,6,15,1,1,0.023188,0.004061,0.023537,0.778739,0.035509,0.773733,0.042649,0.008118,0.044261,kv_head
original_vs_version1,v,3,2,15,1,1,0.024173,0.003796,0.022451,0.741793,0.041788,0.747475,0.047349,0.00738,0.044561,kv_head
