pair,metric,component,layer,head,value_mean
original_vs_version1,head_output_maxmatch_cosine,head_output,0,0,0.838388
original_vs_version1,head_output_maxmatch_cosine,head_output,0,1,0.837588
original_vs_version1,head_output_maxmatch_cosine,head_output,0,2,0.791928
original_vs_version1,head_output_maxmatch_cosine,head_output,0,3,0.845739
original_vs_version1,head_output_maxmatch_cosine,head_output,0,4,0.813904
original_vs_version1,head_output_maxmatch_cosine,head_output,0,5,0.769551
original_vs_version1,head_output_maxmatch_cosine,head_output,0,6,0.761692
original_vs_version1,head_output_maxmatch_cosine,head_output,0,7,0.82128
original_vs_version1,head_output_maxmatch_cosine,head_output,0,8,0.841779
original_vs_version1,head_output_maxmatch_cosine,head_output,0,9,0.828838
original_vs_version1,head_output_maxmatch_cosine,head_output,0,10,0.869385
original_vs_version1,head_output_maxmatch_cosine,head_output,0,11,0.834498
original_vs_version1,head_output_maxmatch_cosine,head_output,0,12,0.895708
original_vs_version1,head_output_maxmatch_cosine,head_output,0,13,0.916954
original_vs_version1,head_output_maxmatch_cosine,head_output,0,14,0.965582
original_vs_version1,head_output_maxmatch_cosine,head_output,0,15,0.798557
original_vs_version1,head_output_maxmatch_cosine,head_output,0,16,0.786919
original_vs_version1,head_output_maxmatch_cosine,head_output,0,17,0.724158
original_vs_version1,head_output_maxmatch_cosine,head_output,0,18,0.827417
original_vs_version1,head_output_maxmatch_cosine,head_output,0,19,0.781624
original_vs_version1,head_output_maxmatch_cosine,head_output,0,20,0.938682
original_vs_version1,head_output_maxmatch_cosine,head_output,0,21,0.983186
original_vs_version1,head_output_maxmatch_cosine,head_output,0,22,0.881085
original_vs_version1,head_output_maxmatch_cosine,head_output,0,23,0.98533
original_vs_version1,head_output_maxmatch_cosine,head_output,0,24,0.970968
original_vs_version1,head_output_maxmatch_cosine,head_output,0,25,0.782081
original_vs_version1,head_output_maxmatch_cosine,head_output,0,26,0.745899
original_vs_version1,head_output_maxmatch_cosine,head_output,0,27,0.819334
original_vs_version1,head_output_maxmatch_cosine,head_output,0,28,0.755707
original_vs_version1,head_output_maxmatch_cosine,head_output,0,29,0.736851
original_vs_version1,head_output_maxmatch_cosine,head_output,0,30,0.769723
original_vs_version1,head_output_maxmatch_cosine,head_output,0,31,0.776125
original_vs_version1,head_output_maxmatch_cosine,head_output,0,32,0.800812
original_vs_version1,head_output_maxmatch_cosine,head_output,0,33,0.890458
original_vs_version1,head_output_maxmatch_cosine,head_output,0,34,0.803182
original_vs_version1,head_output_maxmatch_cosine,head_output,0,35,0.871028
original_vs_version1,head_output_maxmatch_cosine,head_output,0,36,0.851338
original_vs_version1,head_output_maxmatch_cosine,head_output,0,37,0.949968
original_vs_version1,head_output_maxmatch_cosine,head_output,0,38,0.939059
original_vs_version1,head_output_maxmatch_cosine,head_output,0,39,0.958594
original_vs_version1,head_output_maxmatch_cosine,head_output,1,0,0.87419
original_vs_version1,head_output_maxmatch_cosine,head_output,1,1,0.905676
original_vs_version1,head_output_maxmatch_cosine,head_output,1,2,0.864079
original_vs_version1,head_output_maxmatch_cosine,head_output,1,3,0.811678
original_vs_version1,head_output_maxmatch_cosine,head_output,1,4,0.849787
original_vs_version1,head_output_maxmatch_cosine,head_output,1,5,0.915448
original_vs_version1,head_output_maxmatch_cosine,head_output,1,6,0.875018
original_vs_version1,head_output_maxmatch_cosine,head_output,1,7,0.951128
original_vs_version1,head_output_maxmatch_cosine,head_output,1,8,0.921312
original_vs_version1,head_output_maxmatch_cosine,head_output,1,9,0.958816
original_vs_version1,head_output_maxmatch_cosine,head_output,1,10,0.764345
original_vs_version1,head_output_maxmatch_cosine,head_output,1,11,0.788706
original_vs_version1,head_output_maxmatch_cosine,head_output,1,12,0.960256
original_vs_version1,head_output_maxmatch_cosine,head_output,1,13,0.774017
original_vs_version1,head_output_maxmatch_cosine,head_output,1,14,0.789147
original_vs_version1,head_output_maxmatch_cosine,head_output,1,15,0.871896
original_vs_version1,head_output_maxmatch_cosine,head_output,1,16,0.939996
original_vs_version1,head_output_maxmatch_cosine,head_output,1,17,0.858728
original_vs_version1,head_output_maxmatch_cosine,head_output,1,18,0.868968
original_vs_version1,head_output_maxmatch_cosine,head_output,1,19,0.8528
original_vs_version1,head_output_maxmatch_cosine,head_output,1,20,0.771934
original_vs_version1,head_output_maxmatch_cosine,head_output,1,21,0.792127
original_vs_version1,head_output_maxmatch_cosine,head_output,1,22,0.805925
original_vs_version1,head_output_maxmatch_cosine,head_output,1,23,0.840276
original_vs_version1,head_output_maxmatch_cosine,head_output,1,24,0.793846
