pair,metric,component,layer,head,value_std
original_vs_version1,head_output_maxmatch_cosine,head_output,0,0,0.061858
original_vs_version1,head_output_maxmatch_cosine,head_output,0,1,0.063322
original_vs_version1,head_output_maxmatch_cosine,head_output,0,2,0.068182
original_vs_version1,head_output_maxmatch_cosine,head_output,0,3,0.060496
original_vs_version1,head_output_maxmatch_cosine,head_output,0,4,0.064491
original_vs_version1,head_output_maxmatch_cosine,head_output,0,5,0.066541
original_vs_version1,head_output_maxmatch_cosine,head_output,0,6,0.063841
original_vs_version1,head_output_maxmatch_cosine,head_output,0,7,0.060249
original_vs_version1,head_output_maxmatch_cosine,head_output,0,8,0.045754
original_vs_version1,head_output_maxmatch_cosine,head_output,0,9,0.050301
original_vs_version1,head_output_maxmatch_cosine,head_output,0,10,0.048817
original_vs_version1,head_output_maxmatch_cosine,head_output,0,11,0.063127
original_vs_version1,head_output_maxmatch_cosine,head_output,0,12,0.038767
original_vs_version1,head_output_maxmatch_cosine,head_output,0,13,0.032568
original_vs_version1,head_output_maxmatch_cosine,head_output,0,14,0.016463
original_vs_version1,head_output_maxmatch_cosine,head_output,0,15,0.065549
original_vs_version1,head_output_maxmatch_cosine,head_output,0,16,0.06994
original_vs_version1,head_output_maxmatch_cosine,head_output,0,17,0.082999
original_vs_version1,head_output_maxmatch_cosine,head_output,0,18,0.059085
original_vs_version1,head_output_maxmatch_cosine,head_output,0,19,0.067113
original_vs_version1,head_output_maxmatch_cosine,head_output,0,20,0.023357
original_vs_version1,head_output_maxmatch_cosine,head_output,0,21,0.004717
original_vs_version1,head_output_maxmatch_cosine,head_output,0,22,0.043437
original_vs_version1,head_output_maxmatch_cosine,head_output,0,23,0.005135
original_vs_version1,head_output_maxmatch_cosine,head_output,0,24,0.009987
original_vs_version1,head_output_maxmatch_cosine,head_output,0,25,0.067967
original_vs_version1,head_output_maxmatch_cosine,head_output,0,26,0.075144
original_vs_version1,head_output_maxmatch_cosine,head_output,0,27,0.065428
original_vs_version1,head_output_maxmatch_cosine,head_output,0,28,0.07387
original_vs_version1,head_output_maxmatch_cosine,head_output,0,29,0.076566
original_vs_version1,head_output_maxmatch_cosine,head_output,0,30,0.069642
original_vs_version1,head_output_maxmatch_cosine,head_output,0,31,0.068568
original_vs_version1,head_output_maxmatch_cosine,head_output,0,32,0.063425
original_vs_version1,head_output_maxmatch_cosine,head_output,0,33,0.028628
original_vs_version1,head_output_maxmatch_cosine,head_output,0,34,0.063777
original_vs_version1,head_output_maxmatch_cosine,head_output,0,35,0.042804
original_vs_version1,head_output_maxmatch_cosine,head_output,0,36,0.051649
original_vs_version1,head_output_maxmatch_cosine,head_output,0,37,0.02003
original_vs_version1,head_output_maxmatch_cosine,head_output,0,38,0.022766
original_vs_version1,head_output_maxmatch_cosine,head_output,0,39,0.018465
original_vs_version1,head_output_maxmatch_cosine,head_output,1,0,0.029229
original_vs_version1,head_output_maxmatch_cosine,head_output,1,1,0.03931
original_vs_version1,head_output_maxmatch_cosine,head_output,1,2,0.034037
original_vs_version1,head_output_maxmatch_cosine,head_output,1,3,0.057973
original_vs_version1,head_output_maxmatch_cosine,head_output,1,4,0.046274
original_vs_version1,head_output_maxmatch_cosine,head_output,1,5,0.022458
original_vs_version1,head_output_maxmatch_cosine,head_output,1,6,0.017116
original_vs_version1,head_output_maxmatch_cosine,head_output,1,7,0.011262
original_vs_version1,head_output_maxmatch_cosine,head_output,1,8,0.022155
original_vs_version1,head_output_maxmatch_cosine,head_output,1,9,0.010928
original_vs_version1,head_output_maxmatch_cosine,head_output,1,10,0.063582
original_vs_version1,head_output_maxmatch_cosine,head_output,1,11,0.055939
original_vs_version1,head_output_maxmatch_cosine,head_output,1,12,0.016154
original_vs_version1,head_output_maxmatch_cosine,head_output,1,13,0.055673
original_vs_version1,head_output_maxmatch_cosine,head_output,1,14,0.051507
original_vs_version1,head_output_maxmatch_cosine,head_output,1,15,0.037298
original_vs_version1,head_output_maxmatch_cosine,head_output,1,16,0.018354
original_vs_version1,head_output_maxmatch_cosine,head_output,1,17,0.042283
original_vs_version1,head_output_maxmatch_cosine,head_output,1,18,0.027657
original_vs_version1,head_output_maxmatch_cosine,head_output,1,19,0.045566
original_vs_version1,head_output_maxmatch_cosine,head_output,1,20,0.06817
original_vs_version1,head_output_maxmatch_cosine,head_output,1,21,0.063962
original_vs_version1,head_output_maxmatch_cosine,head_output,1,22,0.050615
original_vs_version1,head_output_maxmatch_cosine,head_output,1,23,0.038479
original_vs_version1,head_output_maxmatch_cosine,head_output,1,24,0.050135
