pair,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version1,0,600,1,40,0.339457,0.267602,0.234424,0.805217,0.097054,0.79548,0.112777,0.084109,0.08102,0.274932,0.126701,0.25721
original_vs_version1,1,600,1,40,0.367122,0.276405,0.286723,0.839764,0.088363,0.84056,0.101045,0.076585,0.07686,0.27296,0.131442,0.234727
original_vs_version1,2,600,1,40,0.217464,0.13894,0.191754,0.770294,0.066003,0.767041,0.096031,0.073612,0.071046,0.361978,0.154856,0.339856
original_vs_version1,3,600,1,40,0.246937,0.102389,0.23577,0.777418,0.095251,0.800112,0.10272,0.068683,0.083896,0.416994,0.133339,0.410634
original_vs_version1,4,600,1,40,0.284517,0.144742,0.252568,0.802653,0.066082,0.799212,0.101235,0.064705,0.080152,0.491672,0.181602,0.473495
original_vs_version1,5,600,1,40,0.41261,0.244405,0.373238,0.87733,0.070416,0.888397,0.106555,0.093089,0.079479,0.47854,0.273255,0.441568
original_vs_version1,6,600,1,40,0.304929,0.15402,0.287045,0.839313,0.059764,0.849956,0.094847,0.049557,0.079422,0.667203,0.235877,0.714708
original_vs_version1,7,600,1,40,0.372337,0.155174,0.348323,0.864907,0.059785,0.876456,0.07497,0.04563,0.062724,0.705728,0.440947,0.682954
original_vs_version1,8,600,1,40,0.410641,0.204572,0.382238,0.892073,0.053696,0.896088,0.070813,0.04581,0.057118,0.764004,0.476215,0.689131
original_vs_version1,9,600,1,40,0.360773,0.238631,0.272716,0.888331,0.062952,0.889334,0.051197,0.021891,0.046108,0.806336,0.48074,0.801437
original_vs_version1,10,600,1,40,0.271564,0.165515,0.236142,0.861164,0.065142,0.871029,0.057966,0.025741,0.051607,1.066333,0.544465,1.077793
original_vs_version1,11,600,1,40,0.289563,0.160172,0.249515,0.868211,0.052278,0.872778,0.059453,0.02626,0.052544,1.258055,0.570592,1.272244
original_vs_version1,12,600,1,40,0.389665,0.183154,0.325832,0.920489,0.038195,0.92249,0.052945,0.021089,0.048822,1.22292,0.626869,1.241048
original_vs_version1,13,600,1,40,0.375818,0.177828,0.342045,0.892756,0.059971,0.905724,0.064751,0.031309,0.055774,1.513811,0.793517,1.410912
original_vs_version1,14,600,1,40,0.417432,0.229771,0.340538,0.907768,0.054464,0.915338,0.078305,0.109515,0.054105,1.449633,0.847736,1.439292
original_vs_version1,15,600,1,40,0.305465,0.161351,0.281678,0.910777,0.036689,0.91598,0.05436,0.02017,0.05088,1.815908,0.696286,1.728084
original_vs_version1,16,600,1,40,0.332595,0.166764,0.310814,0.912366,0.044928,0.924888,0.052817,0.020366,0.047519,2.088413,0.981446,1.970908
original_vs_version1,17,600,1,40,0.377066,0.161314,0.334241,0.921627,0.033006,0.927256,0.062279,0.037377,0.053142,2.131161,0.774422,2.157893
original_vs_version1,18,600,1,40,0.396968,0.190951,0.370965,0.909197,0.045862,0.91455,0.062706,0.032534,0.052098,2.162914,1.245571,2.121651
original_vs_version1,19,600,1,40,0.340177,0.143917,0.315353,0.895648,0.039087,0.897856,0.056101,0.017914,0.053144,2.480013,0.806715,2.454425
original_vs_version1,20,600,1,40,0.345951,0.148258,0.305455,0.892827,0.048094,0.904128,0.060718,0.023091,0.055608,2.563937,1.216319,2.489024
original_vs_version1,21,600,1,40,0.368795,0.123834,0.342404,0.918024,0.030443,0.9217,0.05892,0.024546,0.051826,3.038932,1.290771,2.855333
original_vs_version1,22,600,1,40,0.333012,0.162962,0.318912,0.908137,0.042016,0.918144,0.05719,0.02573,0.051396,3.342222,1.039267,3.28155
original_vs_version1,23,600,1,40,0.381565,0.15575,0.340682,0.900912,0.052285,0.907824,0.060627,0.027571,0.053564,2.423617,1.160034,2.322541
original_vs_version1,24,600,1,40,0.366702,0.151434,0.325671,0.913582,0.038084,0.921898,0.06377,0.033858,0.054103,3.286538,1.791932,3.205613
original_vs_version1,25,600,1,40,0.358438,0.078872,0.352116,0.909249,0.040304,0.920211,0.070646,0.050638,0.054366,3.364619,1.275542,3.14259
original_vs_version1,26,600,1,40,0.363086,0.159625,0.318584,0.906614,0.036029,0.911898,0.070611,0.048995,0.052928,3.373312,1.511044,3.49661
original_vs_version1,27,600,1,40,0.294801,0.0959,0.295413,0.89517,0.03605,0.901596,0.055857,0.019002,0.051724,4.808948,2.274281,4.374468
original_vs_version1,28,600,1,40,0.331408,0.156649,0.314066,0.896528,0.048572,0.907144,0.059251,0.02738,0.051984,3.888239,1.799166,3.780191
original_vs_version1,29,600,1,40,0.341194,0.1625,0.294587,0.890947,0.037165,0.894541,0.062803,0.037434,0.051982,4.339736,1.613,4.206534
original_vs_version1,30,600,1,40,0.353913,0.162391,0.304319,0.882526,0.052211,0.885813,0.055721,0.021451,0.05108,4.815937,2.11881,4.634183
original_vs_version1,31,600,1,40,0.350101,0.137707,0.309051,0.89443,0.037971,0.897768,0.060083,0.026867,0.053278,5.954079,2.344284,5.904516
original_vs_version1,32,600,1,40,0.379703,0.185528,0.332308,0.863714,0.056212,0.861756,0.079853,0.041855,0.070744,5.325822,3.270844,4.361446
original_vs_version1,33,600,1,40,0.380321,0.130364,0.358258,0.872236,0.046827,0.878003,0.073488,0.033723,0.064147,6.088913,3.061384,5.581546
original_vs_version1,34,600,1,40,0.372547,0.185739,0.334286,0.856281,0.063003,0.852299,0.076117,0.034547,0.068264,6.220376,3.503692,5.409314
original_vs_version1,35,600,1,40,0.369215,0.1301,0.348273,0.833208,0.061077,0.836291,0.088608,0.044116,0.076502,6.625782,3.329444,5.947277
original_vs_version1,36,600,1,40,0.335309,0.128601,0.31325,0.819962,0.068336,0.824628,0.090369,0.057996,0.07364,10.070386,6.540911,8.140742
original_vs_version1,37,600,1,40,0.381775,0.131844,0.35992,0.828501,0.056671,0.823671,0.092198,0.04634,0.080518,12.075267,5.308915,11.388542
original_vs_version1,38,600,1,40,0.432819,0.195062,0.434762,0.839258,0.078252,0.843659,0.102915,0.059835,0.087999,16.526148,9.643052,14.738024
original_vs_version1,39,600,1,40,0.385336,0.221518,0.365847,0.816118,0.076125,0.813053,0.113101,0.07115,0.089234,17.902854,10.553117,16.713365
original_vs_version2,0,600,1,40,0.388071,0.267891,0.29001,0.895841,0.0848,0.917584,0.068685,0.050783,0.051827,0.257122,0.128899,0.233462
original_vs_version2,1,600,1,40,0.390913,0.280248,0.311878,0.903216,0.072516,0.914376,0.068934,0.049121,0.054882,0.25819,0.125827,0.221074
original_vs_version2,2,600,1,40,0.239926,0.151528,0.210329,0.848747,0.076112,0.86476,0.072476,0.055508,0.0563,0.356785,0.156155,0.334692
original_vs_version2,3,600,1,40,0.275533,0.108759,0.263754,0.850092,0.085745,0.872768,0.076683,0.049106,0.064252,0.405169,0.132067,0.38752
original_vs_version2,4,600,1,40,0.313589,0.158181,0.268824,0.86461,0.073988,0.879915,0.079664,0.053536,0.062148,0.475768,0.179839,0.450354
original_vs_version2,5,600,1,40,0.433948,0.243409,0.391671,0.918189,0.06279,0.93068,0.079307,0.073887,0.057938,0.462007,0.270919,0.423409
original_vs_version2,6,600,1,40,0.327169,0.16472,0.307638,0.886303,0.063555,0.898033,0.075995,0.043703,0.063985,0.645881,0.233293,0.685329
original_vs_version2,7,600,1,40,0.392006,0.157311,0.364523,0.901171,0.056513,0.910996,0.062057,0.035191,0.052402,0.687537,0.431583,0.656313
original_vs_version2,8,600,1,40,0.421532,0.205349,0.391455,0.918218,0.050989,0.927167,0.060807,0.038053,0.051276,0.746284,0.464505,0.676578
