pair,component,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
original_vs_version1,k,0,120,1,8,0.944332,0.064361,0.976668,0.982555,0.022151,0.992864,0.046703,0.012473,0.044826
original_vs_version1,k,1,120,1,8,0.707356,0.102207,0.716458,0.912849,0.031424,0.914588,0.047972,0.012826,0.044846
original_vs_version1,k,2,120,1,8,0.714634,0.098258,0.728481,0.912774,0.03493,0.919719,0.048492,0.010667,0.04688
original_vs_version1,k,3,120,1,8,0.499777,0.0922,0.50083,0.85036,0.045817,0.859791,0.050067,0.013374,0.046687
original_vs_version1,k,4,120,1,8,0.602776,0.078709,0.586364,0.884306,0.040032,0.891965,0.047543,0.00949,0.045273
original_vs_version1,k,5,120,1,8,0.566029,0.110707,0.572668,0.88289,0.058906,0.908093,0.046476,0.009049,0.045801
original_vs_version1,k,6,120,1,8,0.558367,0.106639,0.550232,0.90377,0.042851,0.899896,0.047112,0.011141,0.045964
original_vs_version1,k,7,120,1,8,0.722138,0.06065,0.736237,0.926435,0.021642,0.92878,0.051073,0.0126,0.04857
original_vs_version1,k,8,120,1,8,0.850256,0.059094,0.872186,0.957177,0.016827,0.95813,0.046585,0.009064,0.045544
original_vs_version1,k,9,120,1,8,0.57488,0.127463,0.61571,0.88953,0.033328,0.891191,0.04581,0.009707,0.044714
original_vs_version1,k,10,120,1,8,0.843566,0.089294,0.862994,0.957087,0.019047,0.959684,0.047053,0.009626,0.045681
original_vs_version1,k,11,120,1,8,0.646481,0.080181,0.665102,0.910526,0.027144,0.908614,0.045544,0.009667,0.043809
original_vs_version1,k,12,120,1,8,0.421917,0.110892,0.41995,0.880295,0.038896,0.887786,0.045128,0.012569,0.042174
original_vs_version1,k,13,120,1,8,0.458559,0.079552,0.449355,0.880925,0.037488,0.882891,0.04568,0.011423,0.043402
original_vs_version1,k,14,120,1,8,0.521439,0.127781,0.469503,0.889053,0.053905,0.897906,0.044924,0.010133,0.042974
original_vs_version1,k,15,120,1,8,0.543971,0.063452,0.562248,0.910338,0.030571,0.915835,0.045777,0.011929,0.04349
original_vs_version1,k,16,120,1,8,0.648667,0.086258,0.64922,0.931561,0.019082,0.932902,0.043726,0.009669,0.042128
original_vs_version1,k,17,120,1,8,0.446923,0.124485,0.42447,0.909476,0.030144,0.915321,0.044435,0.012126,0.042094
original_vs_version1,k,18,120,1,8,0.409356,0.093761,0.38132,0.896936,0.03644,0.904671,0.045782,0.01112,0.044012
original_vs_version1,k,19,120,1,8,0.424746,0.044023,0.424771,0.901513,0.035144,0.90731,0.043534,0.012414,0.040668
original_vs_version1,k,20,120,1,8,0.509295,0.131883,0.524202,0.911159,0.03293,0.9186,0.045515,0.014468,0.044086
original_vs_version1,k,21,120,1,8,0.452155,0.110703,0.41487,0.93598,0.020814,0.940608,0.04431,0.017077,0.040251
original_vs_version1,k,22,120,1,8,0.502667,0.077913,0.506455,0.914526,0.032121,0.91965,0.044209,0.012777,0.042028
original_vs_version1,k,23,120,1,8,0.518283,0.100773,0.534048,0.933532,0.023005,0.937086,0.044093,0.012282,0.041178
original_vs_version1,k,24,120,1,8,0.465696,0.111732,0.416938,0.937892,0.018002,0.939521,0.042759,0.01437,0.038545
original_vs_version1,k,25,120,1,8,0.683427,0.098495,0.674416,0.956223,0.015588,0.957124,0.046187,0.012895,0.043052
original_vs_version1,k,26,120,1,8,0.479437,0.084076,0.45135,0.926187,0.036509,0.935763,0.04496,0.01465,0.041946
original_vs_version1,k,27,120,1,8,0.564432,0.09575,0.587064,0.922579,0.028394,0.924933,0.04603,0.010115,0.044497
original_vs_version1,k,28,120,1,8,0.411231,0.052427,0.400524,0.9195,0.030449,0.925694,0.045152,0.010543,0.044113
original_vs_version1,k,29,120,1,8,0.455086,0.091363,0.428244,0.89273,0.052795,0.912912,0.047179,0.010843,0.045462
original_vs_version1,k,30,120,1,8,0.541189,0.112283,0.52548,0.902976,0.030974,0.905906,0.048758,0.012419,0.04672
original_vs_version1,k,31,120,1,8,0.484468,0.096253,0.485282,0.896378,0.035795,0.899604,0.045529,0.009897,0.045959
original_vs_version1,k,32,120,1,8,0.467072,0.072403,0.504397,0.869949,0.043721,0.869294,0.049624,0.011675,0.046979
original_vs_version1,k,33,120,1,8,0.43475,0.059741,0.41946,0.886272,0.033076,0.892257,0.048691,0.012403,0.046153
original_vs_version1,k,34,120,1,8,0.408796,0.104454,0.356773,0.894952,0.026527,0.896144,0.047167,0.011851,0.04595
original_vs_version1,k,35,120,1,8,0.401839,0.057793,0.380679,0.88224,0.050925,0.898146,0.048329,0.011527,0.046508
original_vs_version1,k,36,120,1,8,0.520565,0.098985,0.528655,0.874226,0.031081,0.871843,0.053702,0.015712,0.050138
original_vs_version1,k,37,120,1,8,0.48755,0.102851,0.477692,0.853513,0.051537,0.858438,0.053084,0.017384,0.04833
original_vs_version1,k,38,120,1,8,0.564742,0.13412,0.515892,0.886745,0.042844,0.891363,0.052831,0.012945,0.050942
original_vs_version1,k,39,120,1,8,0.7047,0.050112,0.699262,0.912175,0.023628,0.908854,0.053984,0.01121,0.051797
original_vs_version1,q,0,600,1,40,0.466899,0.102395,0.467754,0.819552,0.059286,0.808852,0.051906,0.015332,0.048795
original_vs_version1,q,1,600,1,40,0.597487,0.103314,0.577995,0.883429,0.049121,0.886343,0.050619,0.015893,0.047178
original_vs_version1,q,2,600,1,40,0.609288,0.112378,0.635663,0.874501,0.044776,0.877928,0.050826,0.010102,0.049187
original_vs_version1,q,3,600,1,40,0.48744,0.061823,0.495624,0.846398,0.049557,0.851503,0.052546,0.016481,0.048954
original_vs_version1,q,4,600,1,40,0.531049,0.075072,0.544658,0.865913,0.043115,0.865764,0.052152,0.011066,0.050678
original_vs_version1,q,5,600,1,40,0.482233,0.103529,0.468269,0.859462,0.05607,0.867284,0.049618,0.010872,0.047872
original_vs_version1,q,6,600,1,40,0.541026,0.099011,0.544612,0.872879,0.050399,0.880583,0.050723,0.011745,0.048864
original_vs_version1,q,7,600,1,40,0.684342,0.093366,0.69333,0.906297,0.03024,0.910382,0.051531,0.010338,0.050293
original_vs_version1,q,8,600,1,40,0.700254,0.093762,0.721986,0.912104,0.029462,0.915694,0.050587,0.010255,0.049136
original_vs_version1,q,9,600,1,40,0.587517,0.118179,0.612482,0.885706,0.041652,0.890207,0.047499,0.009002,0.046714
original_vs_version1,q,10,600,1,40,0.694725,0.098158,0.724838,0.913943,0.029461,0.917809,0.047327,0.008557,0.046276
original_vs_version1,q,11,600,1,40,0.63779,0.096017,0.658212,0.906036,0.031326,0.903545,0.047482,0.009346,0.046646
original_vs_version1,q,12,600,1,40,0.516794,0.106518,0.486989,0.891296,0.038756,0.8979,0.045995,0.009491,0.044656
original_vs_version1,q,13,600,1,40,0.629172,0.125408,0.646428,0.900971,0.041183,0.906782,0.046107,0.009404,0.045058
original_vs_version1,q,14,600,1,40,0.586528,0.076441,0.57812,0.893276,0.038171,0.894158,0.047042,0.010055,0.046235
original_vs_version1,q,15,600,1,40,0.507243,0.0722,0.497638,0.883826,0.040939,0.891332,0.04656,0.009637,0.044836
original_vs_version1,q,16,600,1,40,0.519019,0.091859,0.516263,0.887475,0.041761,0.893304,0.045678,0.010553,0.043914
original_vs_version1,q,17,600,1,40,0.443382,0.089943,0.423024,0.867075,0.047992,0.866392,0.046315,0.010085,0.045044
original_vs_version1,q,18,600,1,40,0.481749,0.097305,0.458692,0.87252,0.047415,0.87838,0.045949,0.009669,0.044646
original_vs_version1,q,19,600,1,40,0.522262,0.103375,0.508777,0.888508,0.039545,0.892862,0.044961,0.008524,0.044088
original_vs_version1,q,20,600,1,40,0.506707,0.078674,0.508324,0.871476,0.042372,0.872414,0.045384,0.00939,0.043994
original_vs_version1,q,21,600,1,40,0.455413,0.054878,0.45381,0.869756,0.03991,0.874568,0.045965,0.00951,0.044816
original_vs_version1,q,22,600,1,40,0.478036,0.059038,0.475681,0.868242,0.042498,0.872634,0.045766,0.009267,0.044796
