pair,layer_from,layer_to,delta_maxmatch_cosine,delta_mmd_rbf
original_vs_version1,0,1,0.175584,0.004475
original_vs_version1,1,2,0.011009,-0.002798
original_vs_version1,2,3,-0.004048,0.001396
original_vs_version1,3,4,-0.002128,0.004736
original_vs_version1,4,5,0.006408,-0.000811
original_vs_version1,5,6,-0.000553,-0.00071
original_vs_version1,6,7,-0.004287,-0.002129
original_vs_version1,7,8,0.00801,-0.003066
original_vs_version1,8,9,0.004432,0.000171
original_vs_version1,9,10,0.003859,0.001492
original_vs_version1,10,11,-0.004839,-0.003624
original_vs_version1,11,12,-0.009908,-0.000721
original_vs_version1,12,13,-0.008024,0.000335
original_vs_version1,13,14,0.008531,-0.000637
original_vs_version1,14,15,0.008617,0.002855
original_vs_version1,15,16,0.000633,-0.001351
original_vs_version1,16,17,0.003423,-0.000256
original_vs_version1,17,18,0.003592,-0.003411
original_vs_version1,18,19,-0.002624,0.005733
original_vs_version1,19,20,-0.001671,-0.006717
original_vs_version1,20,21,0.013692,0.002147
original_vs_version1,21,22,-0.005304,0.001679
original_vs_version1,22,23,0.003116,-0.002495
original_vs_version1,23,24,0.006989,0.002747
original_vs_version1,24,25,-0.003503,0.001324
original_vs_version1,25,26,0.000117,0.004343
original_vs_version1,26,27,-0.001111,-0.001475
original_vs_version1,27,28,-0.006385,-0.000295
original_vs_version1,28,29,-0.00713,-0.001438
original_vs_version1,29,30,-0.007151,0.003987
original_vs_version1,30,31,0.001173,0.001364
original_vs_version1,31,32,-0.002136,-0.000173
original_vs_version1,32,33,0.001201,-0.000709
original_vs_version1,33,34,-0.000686,0.000219
original_vs_version1,34,35,-0.000861,0.005447
original_vs_version1,35,36,0.002433,-0.0002
original_vs_version1,36,37,0.00083,0.005133
original_vs_version1,37,38,0.006375,0.008037
original_vs_version1,38,39,0.019244,0.011564
original_vs_version1,39,40,-0.183338,0.146278
original_vs_version2,0,1,0.085538,0.003034
original_vs_version2,1,2,0.000915,-0.002402
original_vs_version2,2,3,-0.006933,0.001597
original_vs_version2,3,4,-0.002875,-0.000452
original_vs_version2,4,5,0.003732,-0.00244
original_vs_version2,5,6,-0.003247,0.001438
original_vs_version2,6,7,-0.003463,-0.003091
original_vs_version2,7,8,0.004504,0.004488
original_vs_version2,8,9,0.001863,0.000207
original_vs_version2,9,10,-0.000366,-0.001279
original_vs_version2,10,11,-0.00552,0.00034
original_vs_version2,11,12,-0.010969,-0.001235
original_vs_version2,12,13,-0.008021,-0.001164
original_vs_version2,13,14,0.00718,0.004893
original_vs_version2,14,15,0.007506,-0.001371
original_vs_version2,15,16,0.000401,-0.002127
original_vs_version2,16,17,0.002834,1.8e-05
original_vs_version2,17,18,0.00275,-0.00223
original_vs_version2,18,19,-0.001685,0.003307
original_vs_version2,19,20,-0.001732,0.002349
original_vs_version2,20,21,0.010192,-0.003041
original_vs_version2,21,22,-0.003326,0.002097
original_vs_version2,22,23,0.003004,-0.002719
original_vs_version2,23,24,0.00449,0.000499
original_vs_version2,24,25,-0.001677,-0.001264
original_vs_version2,25,26,0.001334,0.0035
original_vs_version2,26,27,0.000838,-0.00078
original_vs_version2,27,28,-0.003722,0.005024
original_vs_version2,28,29,-0.003937,-0.005661
original_vs_version2,29,30,-0.002609,0.001714
original_vs_version2,30,31,0.001596,0.001464
original_vs_version2,31,32,0.000392,-0.00257
original_vs_version2,32,33,0.001437,0.000313
original_vs_version2,33,34,0.000526,0.001792
original_vs_version2,34,35,0.000832,4e-05
original_vs_version2,35,36,0.003424,-7.7e-05
original_vs_version2,36,37,0.002093,0.002578
original_vs_version2,37,38,0.007114,0.006546
original_vs_version2,38,39,0.015275,-0.001139
original_vs_version2,39,40,-0.057132,0.034368
original_vs_version3,0,1,0.085494,0.000481
original_vs_version3,1,2,0.000393,-0.001493
original_vs_version3,2,3,-0.008303,0.000545
original_vs_version3,3,4,-0.003336,0.000804
original_vs_version3,4,5,0.003384,0.001213
original_vs_version3,5,6,-0.004864,-0.000325
original_vs_version3,6,7,-0.004621,0.000969
original_vs_version3,7,8,0.005446,0.000994
original_vs_version3,8,9,-0.00018,-0.000429
original_vs_version3,9,10,-0.002647,-1e-06
original_vs_version3,10,11,-0.008709,-0.003452
original_vs_version3,11,12,-0.015468,0.002562
original_vs_version3,12,13,-0.011092,0.00044
original_vs_version3,13,14,0.007628,-0.001854
original_vs_version3,14,15,0.00802,0.001679
original_vs_version3,15,16,-0.000538,0.001531
original_vs_version3,16,17,0.00273,-0.001759
original_vs_version3,17,18,0.002632,0.000324
original_vs_version3,18,19,-0.001893,-0.002778
original_vs_version3,19,20,-0.002137,0.00396
original_vs_version3,20,21,0.013092,-0.002772
original_vs_version3,21,22,-0.004659,-0.000292
original_vs_version3,22,23,0.003715,0.00211
original_vs_version3,23,24,0.005899,0.001108
original_vs_version3,24,25,-0.002189,6.3e-05
original_vs_version3,25,26,0.001823,-0.000909
original_vs_version3,26,27,0.001696,0.004881
original_vs_version3,27,28,-0.004057,-0.003021
original_vs_version3,28,29,-0.00382,-0.001451
original_vs_version3,29,30,-0.001967,0.001584
original_vs_version3,30,31,0.003014,-0.002951
original_vs_version3,31,32,0.001136,0.00289
original_vs_version3,32,33,0.002088,-0.000747
original_vs_version3,33,34,0.001387,0.001708
original_vs_version3,34,35,0.001593,-0.001834
original_vs_version3,35,36,0.004876,0.001836
original_vs_version3,36,37,0.003135,0.001141
original_vs_version3,37,38,0.009221,0.001794
original_vs_version3,38,39,0.017836,0.005679
original_vs_version3,39,40,-0.058716,0.025829
version1_vs_version2,0,1,0.141459,0.00826
version1_vs_version2,1,2,0.007672,-0.006388
version1_vs_version2,2,3,-0.004462,-0.000814
version1_vs_version2,3,4,-0.002761,0.002628
version1_vs_version2,4,5,0.005106,0.000361
version1_vs_version2,5,6,-0.002057,-0.002936
version1_vs_version2,6,7,-0.004318,0.001648
version1_vs_version2,7,8,0.006033,-0.000987
version1_vs_version2,8,9,0.00346,0.00022
version1_vs_version2,9,10,0.002814,-0.001301
version1_vs_version2,10,11,-0.004744,-0.002266
version1_vs_version2,11,12,-0.01055,0.002748
version1_vs_version2,12,13,-0.008739,-0.000625
version1_vs_version2,13,14,0.008217,0.001332
version1_vs_version2,14,15,0.008132,-0.004203
version1_vs_version2,15,16,0.000926,0.001963
version1_vs_version2,16,17,0.003385,-0.000625
version1_vs_version2,17,18,0.00359,-0.000719
version1_vs_version2,18,19,-0.001942,0.00153
version1_vs_version2,19,20,-0.001397,-0.000817
version1_vs_version2,20,21,0.013104,-0.001076
version1_vs_version2,21,22,-0.005336,0.005254
version1_vs_version2,22,23,0.003011,-0.001463
version1_vs_version2,23,24,0.007054,-0.005142
version1_vs_version2,24,25,-0.003579,0.003871
version1_vs_version2,25,26,0.000775,0.00322
version1_vs_version2,26,27,-0.000213,-0.002005
version1_vs_version2,27,28,-0.005274,0.002335
version1_vs_version2,28,29,-0.005952,-0.002306
version1_vs_version2,29,30,-0.005095,0.003558
version1_vs_version2,30,31,0.001855,-0.002343
version1_vs_version2,31,32,-0.000807,0.004064
version1_vs_version2,32,33,0.002208,0.001034
version1_vs_version2,33,34,0.000765,0.000559
version1_vs_version2,34,35,0.000114,0.000387
version1_vs_version2,35,36,0.003228,0.003472
version1_vs_version2,36,37,0.001384,0.002784
version1_vs_version2,37,38,0.006,0.000907
version1_vs_version2,38,39,0.016105,0.013799
