pair,layer,n_rows,n_layers,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
original_vs_version1,0,15,1,0.083824,0.005435,0.082356,0.678805,0.059121,0.681727,0.050637,0.009072,0.050236
original_vs_version1,1,15,1,0.516098,0.02087,0.509491,0.854389,0.028413,0.847974,0.055112,0.013029,0.050785
original_vs_version1,2,15,1,0.536219,0.016835,0.536209,0.865398,0.026693,0.863153,0.052314,0.009772,0.05029
original_vs_version1,3,15,1,0.519205,0.017804,0.518093,0.86135,0.026294,0.858867,0.05371,0.009649,0.052527
original_vs_version1,4,15,1,0.498948,0.018308,0.500708,0.859222,0.025788,0.858662,0.058446,0.014117,0.054675
original_vs_version1,5,15,1,0.506684,0.020154,0.509952,0.865631,0.024352,0.865425,0.057636,0.008109,0.05534
original_vs_version1,6,15,1,0.480784,0.016571,0.48107,0.865077,0.023884,0.865317,0.056926,0.013045,0.056286
original_vs_version1,7,15,1,0.473707,0.018797,0.477317,0.86079,0.024797,0.862598,0.054797,0.008611,0.054707
original_vs_version1,8,15,1,0.500621,0.022442,0.505649,0.868801,0.023951,0.868062,0.051731,0.006437,0.053388
original_vs_version1,9,15,1,0.510945,0.021722,0.513248,0.873233,0.023357,0.874281,0.051902,0.006303,0.051063
original_vs_version1,10,15,1,0.502049,0.020674,0.501024,0.877092,0.023264,0.877436,0.053394,0.010657,0.054098
original_vs_version1,11,15,1,0.472699,0.019589,0.474748,0.872253,0.024418,0.875179,0.04977,0.006648,0.049031
original_vs_version1,12,15,1,0.419672,0.019275,0.419493,0.862345,0.026473,0.871473,0.049049,0.004801,0.048576
original_vs_version1,13,15,1,0.389252,0.020001,0.390731,0.854321,0.02755,0.86473,0.049384,0.008556,0.047628
original_vs_version1,14,15,1,0.406045,0.019758,0.403868,0.862852,0.02517,0.871858,0.048747,0.004175,0.050234
original_vs_version1,15,15,1,0.418399,0.018303,0.413015,0.871469,0.023762,0.880548,0.051602,0.009981,0.049525
original_vs_version1,16,15,1,0.416668,0.017761,0.411621,0.872102,0.023315,0.880719,0.05025,0.008968,0.045613
original_vs_version1,17,15,1,0.421045,0.015737,0.418563,0.875525,0.023264,0.884982,0.049994,0.005535,0.051537
original_vs_version1,18,15,1,0.434779,0.014766,0.433157,0.879117,0.022404,0.887709,0.046583,0.004166,0.047623
original_vs_version1,19,15,1,0.428672,0.01393,0.427661,0.876492,0.022828,0.885805,0.052316,0.009045,0.048743
original_vs_version1,20,15,1,0.429042,0.013827,0.431691,0.874822,0.023397,0.883976,0.045599,0.006852,0.045659
original_vs_version1,21,15,1,0.483746,0.01476,0.487352,0.888514,0.021788,0.896,0.047746,0.00734,0.048238
original_vs_version1,22,15,1,0.451979,0.010705,0.454015,0.883209,0.020822,0.889989,0.049425,0.007372,0.048932
original_vs_version1,23,15,1,0.464313,0.008696,0.467161,0.886325,0.020058,0.892417,0.046929,0.008075,0.048334
original_vs_version1,24,15,1,0.49807,0.009509,0.498786,0.893314,0.019409,0.89979,0.049676,0.008071,0.048477
original_vs_version1,25,15,1,0.481734,0.007453,0.481702,0.889811,0.01895,0.895453,0.051001,0.012132,0.048136
original_vs_version1,26,15,1,0.488995,0.008644,0.488548,0.889928,0.018334,0.8944,0.055344,0.009496,0.051995
original_vs_version1,27,15,1,0.49673,0.009127,0.496149,0.888817,0.01837,0.893181,0.053869,0.007568,0.053679
original_vs_version1,28,15,1,0.480196,0.01087,0.480542,0.882432,0.019976,0.887021,0.053574,0.010056,0.053076
original_vs_version1,29,15,1,0.46241,0.011593,0.463006,0.875302,0.021279,0.881881,0.052136,0.009321,0.051687
original_vs_version1,30,15,1,0.452688,0.013853,0.451826,0.868151,0.022475,0.874315,0.056123,0.009623,0.056812
original_vs_version1,31,15,1,0.462393,0.014599,0.455646,0.869324,0.021876,0.875686,0.057487,0.007472,0.05612
original_vs_version1,32,15,1,0.465015,0.017272,0.458743,0.867188,0.022461,0.872468,0.057314,0.008502,0.058388
original_vs_version1,33,15,1,0.47401,0.018831,0.471088,0.868388,0.022171,0.873173,0.056605,0.006093,0.057401
original_vs_version1,34,15,1,0.483122,0.02027,0.482308,0.867702,0.02177,0.871888,0.056824,0.006571,0.057189
original_vs_version1,35,15,1,0.489091,0.022485,0.489099,0.866841,0.02201,0.872269,0.062271,0.007077,0.06183
original_vs_version1,36,15,1,0.513818,0.024753,0.514936,0.869274,0.021288,0.874427,0.062071,0.008406,0.061564
original_vs_version1,37,15,1,0.534054,0.022871,0.536052,0.870103,0.020607,0.87546,0.067204,0.010907,0.0673
original_vs_version1,38,15,1,0.588095,0.020774,0.588121,0.876478,0.019524,0.878458,0.075241,0.018834,0.07159
original_vs_version1,39,15,1,0.669813,0.01739,0.667133,0.895722,0.017174,0.895969,0.086804,0.021579,0.08803
original_vs_version1,40,15,1,0.113161,0.020568,0.116424,0.712384,0.043971,0.71714,0.233083,0.065126,0.239399
original_vs_version2,0,15,1,0.095072,0.008305,0.097439,0.834705,0.102867,0.873581,0.043953,0.008856,0.042054
original_vs_version2,1,15,1,0.554721,0.027452,0.556622,0.920244,0.04664,0.938563,0.046987,0.014704,0.041851
original_vs_version2,2,15,1,0.56759,0.02079,0.564285,0.921159,0.039698,0.936727,0.044585,0.012721,0.042754
original_vs_version2,3,15,1,0.5473,0.020361,0.548819,0.914226,0.038312,0.927681,0.046182,0.006712,0.047236
original_vs_version2,4,15,1,0.526465,0.020745,0.524141,0.911351,0.039785,0.927087,0.04573,0.014775,0.039896
original_vs_version2,5,15,1,0.535003,0.020155,0.532053,0.915083,0.037724,0.927871,0.04329,0.008937,0.043172
original_vs_version2,6,15,1,0.506526,0.017176,0.506773,0.911836,0.037791,0.924327,0.044729,0.010234,0.04148
original_vs_version2,7,15,1,0.500283,0.01815,0.502431,0.908373,0.038577,0.923462,0.041638,0.007848,0.038838
original_vs_version2,8,15,1,0.529007,0.023114,0.527496,0.912877,0.035925,0.926876,0.046126,0.007441,0.04623
original_vs_version2,9,15,1,0.537043,0.022684,0.538641,0.91474,0.034244,0.9269,0.046332,0.009404,0.046822
original_vs_version2,10,15,1,0.521763,0.022107,0.527998,0.914374,0.03213,0.925038,0.045053,0.008708,0.04388
original_vs_version2,11,15,1,0.491133,0.02118,0.497763,0.908854,0.032941,0.919183,0.045393,0.006716,0.044232
original_vs_version2,12,15,1,0.436337,0.019134,0.438954,0.897885,0.034545,0.905418,0.044158,0.011652,0.041567
original_vs_version2,13,15,1,0.405473,0.018737,0.407523,0.889864,0.036254,0.896596,0.042993,0.00592,0.042822
original_vs_version2,14,15,1,0.423518,0.019365,0.423092,0.897044,0.034055,0.904731,0.047887,0.007727,0.047674
original_vs_version2,15,15,1,0.436222,0.018885,0.437401,0.90455,0.032012,0.911026,0.046515,0.00681,0.044193
original_vs_version2,16,15,1,0.433692,0.018954,0.43355,0.904951,0.032594,0.911833,0.044389,0.007454,0.043423
original_vs_version2,17,15,1,0.4368,0.017417,0.436448,0.907786,0.032258,0.915107,0.044406,0.007256,0.043423
original_vs_version2,18,15,1,0.44974,0.016738,0.451383,0.910536,0.031502,0.91867,0.042176,0.005102,0.042183
original_vs_version2,19,15,1,0.443548,0.015874,0.445443,0.908851,0.032385,0.917187,0.045483,0.007242,0.044273
original_vs_version2,20,15,1,0.443629,0.015624,0.443522,0.907119,0.033285,0.916906,0.047832,0.007701,0.048596
original_vs_version2,21,15,1,0.496721,0.015894,0.502952,0.917311,0.030341,0.927303,0.044791,0.009009,0.043377
original_vs_version2,22,15,1,0.467874,0.013197,0.470747,0.913985,0.030132,0.923593,0.046888,0.009536,0.043993
original_vs_version2,23,15,1,0.481247,0.011402,0.483328,0.916989,0.029473,0.9278,0.044169,0.006122,0.043311
original_vs_version2,24,15,1,0.512036,0.012333,0.514675,0.921479,0.028651,0.933048,0.044668,0.01134,0.042144
original_vs_version2,25,15,1,0.497935,0.008993,0.499099,0.919801,0.029031,0.931283,0.043404,0.00824,0.042574
original_vs_version2,26,15,1,0.506035,0.007159,0.50512,0.921135,0.029094,0.932439,0.046904,0.008678,0.047182
original_vs_version2,27,15,1,0.514683,0.007091,0.512972,0.921973,0.029276,0.933958,0.046124,0.00828,0.042631
original_vs_version2,28,15,1,0.498375,0.008541,0.496504,0.918251,0.031058,0.931465,0.051148,0.009327,0.050191
original_vs_version2,29,15,1,0.482661,0.008702,0.48252,0.914314,0.032373,0.928217,0.045487,0.009546,0.044743
original_vs_version2,30,15,1,0.476639,0.009354,0.477085,0.911705,0.033926,0.927055,0.047201,0.010237,0.044098
original_vs_version2,31,15,1,0.487259,0.00993,0.48613,0.913301,0.032835,0.928665,0.048665,0.00931,0.047012
original_vs_version2,32,15,1,0.4925,0.012595,0.4923,0.913693,0.033395,0.929208,0.046095,0.00787,0.046819
original_vs_version2,33,15,1,0.501483,0.015315,0.502731,0.915131,0.033392,0.929494,0.046408,0.010301,0.044941
original_vs_version2,34,15,1,0.511181,0.017733,0.512431,0.915657,0.033729,0.929151,0.0482,0.010117,0.048008
original_vs_version2,35,15,1,0.518865,0.020732,0.519908,0.916489,0.034465,0.931917,0.048239,0.009928,0.045813
original_vs_version2,36,15,1,0.545407,0.023589,0.545521,0.919913,0.034435,0.93437,0.048162,0.009237,0.049348
original_vs_version2,37,15,1,0.564512,0.023839,0.564017,0.922006,0.03582,0.937053,0.050741,0.014038,0.046724
original_vs_version2,38,15,1,0.619537,0.026708,0.623607,0.929121,0.037394,0.945538,0.057287,0.019549,0.047346
original_vs_version2,39,15,1,0.698026,0.023928,0.70028,0.944396,0.033479,0.959769,0.056147,0.021578,0.046356
original_vs_version2,40,15,1,0.295437,0.109841,0.323918,0.887264,0.108594,0.943997,0.090515,0.07475,0.046149
