pair,source_file_or_stage,component,metric,mean,std,median,min,max,n_rows,note
original_vs_version1,qkv,k,mean_pairwise_cosine,0.524287,0.173495,0.504459,0.129945,0.98861,16000,cosine: higher means more similar
original_vs_version1,qkv,k,maxmatch_cosine,0.910188,0.04257,0.916641,0.701289,0.998502,16000,cosine: higher means more similar
original_vs_version1,qkv,k,mmd_rbf,0.00506,0.003538,0.004265,0.00087,0.060017,16000,mmd_rbf: lower means more similar
original_vs_version1,qkv,k,cka_linear_valid_only,0.677796,0.206846,0.743556,0.009134,0.990746,960,cka: higher means more structurally similar; valid only
original_vs_version1,qkv,k,cka_valid_rate,0.06,,,,,16000,fraction of rows with a valid CKA comparison
original_vs_version1,qkv,q,mean_pairwise_cosine,0.543347,0.115706,0.532847,0.161327,0.915519,80000,cosine: higher means more similar
original_vs_version1,qkv,q,maxmatch_cosine,0.887304,0.043111,0.893568,0.656444,0.99107,80000,cosine: higher means more similar
original_vs_version1,qkv,q,mmd_rbf,0.006719,0.005868,0.00535,0.000358,0.155489,80000,mmd_rbf: lower means more similar
original_vs_version1,qkv,q,cka_linear_valid_only,0.696591,0.182196,0.753162,0.152848,0.99067,4800,cka: higher means more structurally similar; valid only
original_vs_version1,qkv,q,cka_valid_rate,0.06,,,,,80000,fraction of rows with a valid CKA comparison
original_vs_version1,qkv,v,mean_pairwise_cosine,0.093433,0.064734,0.078761,0.007131,0.523388,16000,cosine: higher means more similar
original_vs_version1,qkv,v,maxmatch_cosine,0.841625,0.055941,0.849117,0.613955,0.965134,16000,cosine: higher means more similar
original_vs_version1,qkv,v,mmd_rbf,0.005668,0.006615,0.004108,0.00092,0.171254,16000,mmd_rbf: lower means more similar
original_vs_version1,qkv,v,cka_linear_valid_only,0.441768,0.21731,0.46523,0.014651,0.9091,960,cka: higher means more structurally similar; valid only
original_vs_version1,qkv,v,cka_valid_rate,0.06,,,,,16000,fraction of rows with a valid CKA comparison
original_vs_version2,qkv,k,mean_pairwise_cosine,0.527301,0.172764,0.507944,0.129751,0.988716,16000,cosine: higher means more similar
original_vs_version2,qkv,k,maxmatch_cosine,0.94357,0.036912,0.952642,0.739888,0.99944,16000,cosine: higher means more similar
original_vs_version2,qkv,k,mmd_rbf,0.002238,0.001601,0.001737,0.000101,0.01884,16000,mmd_rbf: lower means more similar
original_vs_version2,qkv,k,cka_linear_valid_only,0.879267,0.095122,0.905196,0.306505,0.998417,1600,cka: higher means more structurally similar; valid only
original_vs_version2,qkv,k,cka_valid_rate,0.1,,,,,16000,fraction of rows with a valid CKA comparison
original_vs_version2,qkv,q,mean_pairwise_cosine,0.546577,0.115366,0.536944,0.162538,0.915468,80000,cosine: higher means more similar
original_vs_version2,qkv,q,maxmatch_cosine,0.929752,0.042005,0.940734,0.700993,0.996925,80000,cosine: higher means more similar
original_vs_version2,qkv,q,mmd_rbf,0.002833,0.001976,0.002216,8.7e-05,0.051383,80000,mmd_rbf: lower means more similar
original_vs_version2,qkv,q,cka_linear_valid_only,0.88475,0.066705,0.897754,0.397037,0.997003,8000,cka: higher means more structurally similar; valid only
original_vs_version2,qkv,q,cka_valid_rate,0.1,,,,,80000,fraction of rows with a valid CKA comparison
original_vs_version2,qkv,v,mean_pairwise_cosine,0.098406,0.067147,0.082904,0.009359,0.553594,16000,cosine: higher means more similar
original_vs_version2,qkv,v,maxmatch_cosine,0.92769,0.028425,0.931739,0.769536,0.989069,16000,cosine: higher means more similar
original_vs_version2,qkv,v,mmd_rbf,0.002018,0.001617,0.0016,0.000152,0.055527,16000,mmd_rbf: lower means more similar
original_vs_version2,qkv,v,cka_linear_valid_only,0.744277,0.134173,0.764354,0.030026,0.953716,1600,cka: higher means more structurally similar; valid only
original_vs_version2,qkv,v,cka_valid_rate,0.1,,,,,16000,fraction of rows with a valid CKA comparison
original_vs_version3,qkv,k,mean_pairwise_cosine,0.527223,0.172534,0.507587,0.129595,0.988837,16000,cosine: higher means more similar
original_vs_version3,qkv,k,maxmatch_cosine,0.919684,0.04139,0.927265,0.715727,0.998786,16000,cosine: higher means more similar
original_vs_version3,qkv,k,mmd_rbf,0.003264,0.001672,0.00282,0.000388,0.018673,16000,mmd_rbf: lower means more similar
original_vs_version3,qkv,k,cka_linear_valid_only,0.666604,0.127164,0.692037,0.132208,0.991133,320,cka: higher means more structurally similar; valid only
original_vs_version3,qkv,k,cka_valid_rate,0.02,,,,,16000,fraction of rows with a valid CKA comparison
original_vs_version3,qkv,q,mean_pairwise_cosine,0.545771,0.115283,0.53604,0.163287,0.915425,80000,cosine: higher means more similar
original_vs_version3,qkv,q,maxmatch_cosine,0.898716,0.044407,0.906976,0.682686,0.990108,80000,cosine: higher means more similar
original_vs_version3,qkv,q,mmd_rbf,0.004143,0.002069,0.003617,0.000325,0.052836,80000,mmd_rbf: lower means more similar
original_vs_version3,qkv,q,cka_linear_valid_only,0.689378,0.102928,0.697868,0.281754,0.981867,1600,cka: higher means more structurally similar; valid only
original_vs_version3,qkv,q,cka_valid_rate,0.02,,,,,80000,fraction of rows with a valid CKA comparison
original_vs_version3,qkv,v,mean_pairwise_cosine,0.097007,0.066917,0.081392,0.009211,0.554206,16000,cosine: higher means more similar
original_vs_version3,qkv,v,maxmatch_cosine,0.892078,0.039827,0.896558,0.669472,0.990816,16000,cosine: higher means more similar
original_vs_version3,qkv,v,mmd_rbf,0.002895,0.002042,0.002454,0.000227,0.056068,16000,mmd_rbf: lower means more similar
original_vs_version3,qkv,v,cka_linear_valid_only,0.418374,0.093679,0.414029,0.192974,0.668477,320,cka: higher means more structurally similar; valid only
original_vs_version3,qkv,v,cka_valid_rate,0.02,,,,,16000,fraction of rows with a valid CKA comparison
