pair,component,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,pair_category,language_pair,same_task,same_version
original_vs_version1,k,4800,40,8,0.554089,0.160417,0.535991,0.907002,0.044787,0.91358,0.047038,0.012385,0.044976,unknown,unknown,False,False
original_vs_version1,q,24000,40,40,0.564016,0.1106,0.552962,0.882099,0.044299,0.887748,0.049919,0.012245,0.047995,unknown,unknown,False,False
original_vs_version1,v,4800,40,8,0.096086,0.063363,0.083065,0.805329,0.054723,0.81192,0.047579,0.01131,0.045798,unknown,unknown,False,False
original_vs_version2,k,4800,40,8,0.558047,0.159521,0.540885,0.925593,0.044063,0.934644,0.043876,0.011864,0.042018,unknown,unknown,False,False
original_vs_version2,q,24000,40,40,0.568961,0.110439,0.559872,0.906269,0.04888,0.915822,0.045907,0.01082,0.044188,unknown,unknown,False,False
original_vs_version2,v,4800,40,8,0.101164,0.066342,0.087782,0.859252,0.057684,0.87393,0.044074,0.009709,0.042778,unknown,unknown,False,False
original_vs_version3,k,4800,40,8,0.556683,0.160094,0.538976,0.908235,0.044871,0.916826,0.04622,0.012546,0.044001,unknown,unknown,False,False
original_vs_version3,q,24000,40,40,0.568028,0.110649,0.558903,0.884905,0.045838,0.894249,0.048293,0.011078,0.046319,unknown,unknown,False,False
original_vs_version3,v,4800,40,8,0.099764,0.066237,0.085469,0.829589,0.060288,0.841659,0.045481,0.00996,0.044198,unknown,unknown,False,False
version1_vs_version2,k,4800,40,8,0.554779,0.160398,0.537324,0.909164,0.043945,0.914334,0.046193,0.012019,0.044244,unknown,unknown,False,False
version1_vs_version2,q,24000,40,40,0.564857,0.110801,0.55426,0.884199,0.044301,0.888125,0.048902,0.011506,0.047123,unknown,unknown,False,False
version1_vs_version2,v,4800,40,8,0.096846,0.063855,0.0835,0.823724,0.068631,0.822838,0.046456,0.01129,0.044975,unknown,unknown,False,False
version1_vs_version3,k,4800,40,8,0.553407,0.160972,0.535746,0.901586,0.045713,0.906984,0.047998,0.012404,0.046248,unknown,unknown,False,False
version1_vs_version3,q,24000,40,40,0.56411,0.110969,0.553314,0.876146,0.046555,0.881196,0.050799,0.011798,0.048986,unknown,unknown,False,False
version1_vs_version3,v,4800,40,8,0.095678,0.063717,0.08205,0.798348,0.06112,0.801274,0.047716,0.011184,0.046128,unknown,unknown,False,False
version2_vs_version3,k,4800,40,8,0.558411,0.159774,0.54198,0.922961,0.037227,0.928298,0.043248,0.010778,0.041886,unknown,unknown,False,False
version2_vs_version3,q,24000,40,40,0.569901,0.110659,0.561016,0.903341,0.03972,0.910101,0.044661,0.008737,0.043586,unknown,unknown,False,False
version2_vs_version3,v,4800,40,8,0.101722,0.066856,0.087276,0.861194,0.04465,0.867542,0.043196,0.008149,0.042408,unknown,unknown,False,False
