stage,component,pair,cka_status,count
head_output,head_output,original_vs_version1,matched,4800
head_output,head_output,original_vs_version1,skipped_length_mismatch,75200
head_output,head_output,original_vs_version2,matched,8000
head_output,head_output,original_vs_version2,skipped_length_mismatch,72000
head_output,head_output,original_vs_version3,matched,1600
head_output,head_output,original_vs_version3,skipped_length_mismatch,78400
head_output,head_output,version1_vs_version2,matched,1600
head_output,head_output,version1_vs_version2,skipped_length_mismatch,78400
head_output,head_output,version1_vs_version3,matched,1600
head_output,head_output,version1_vs_version3,skipped_length_mismatch,78400
head_output,head_output,version2_vs_version3,matched,4800
head_output,head_output,version2_vs_version3,skipped_length_mismatch,75200
qkv,k,original_vs_version1,matched,960
qkv,k,original_vs_version1,skipped_length_mismatch,15040
qkv,k,original_vs_version2,matched,1600
qkv,k,original_vs_version2,skipped_length_mismatch,14400
qkv,k,original_vs_version3,matched,320
qkv,k,original_vs_version3,skipped_length_mismatch,15680
qkv,k,version1_vs_version2,matched,320
qkv,k,version1_vs_version2,skipped_length_mismatch,15680
qkv,k,version1_vs_version3,matched,320
qkv,k,version1_vs_version3,skipped_length_mismatch,15680
qkv,k,version2_vs_version3,matched,960
qkv,k,version2_vs_version3,skipped_length_mismatch,15040
qkv,q,original_vs_version1,matched,4800
qkv,q,original_vs_version1,skipped_length_mismatch,75200
qkv,q,original_vs_version2,matched,8000
qkv,q,original_vs_version2,skipped_length_mismatch,72000
qkv,q,original_vs_version3,matched,1600
qkv,q,original_vs_version3,skipped_length_mismatch,78400
qkv,q,version1_vs_version2,matched,1600
qkv,q,version1_vs_version2,skipped_length_mismatch,78400
qkv,q,version1_vs_version3,matched,1600
qkv,q,version1_vs_version3,skipped_length_mismatch,78400
qkv,q,version2_vs_version3,matched,4800
qkv,q,version2_vs_version3,skipped_length_mismatch,75200
qkv,v,original_vs_version1,matched,960
qkv,v,original_vs_version1,skipped_length_mismatch,15040
qkv,v,original_vs_version2,matched,1600
qkv,v,original_vs_version2,skipped_length_mismatch,14400
qkv,v,original_vs_version3,matched,320
qkv,v,original_vs_version3,skipped_length_mismatch,15680
qkv,v,version1_vs_version2,matched,320
qkv,v,version1_vs_version2,skipped_length_mismatch,15680
qkv,v,version1_vs_version3,matched,320
qkv,v,version1_vs_version3,skipped_length_mismatch,15680
qkv,v,version2_vs_version3,matched,960
qkv,v,version2_vs_version3,skipped_length_mismatch,15040
residual,residual,original_vs_version1,matched,123
residual,residual,original_vs_version1,skipped_length_mismatch,1927
residual,residual,original_vs_version2,matched,205
residual,residual,original_vs_version2,skipped_length_mismatch,1845
residual,residual,original_vs_version3,matched,41
residual,residual,original_vs_version3,skipped_length_mismatch,2009
residual,residual,version1_vs_version2,matched,41
residual,residual,version1_vs_version2,skipped_length_mismatch,2009
residual,residual,version1_vs_version3,matched,41
residual,residual,version1_vs_version3,skipped_length_mismatch,2009
residual,residual,version2_vs_version3,matched,123
residual,residual,version2_vs_version3,skipped_length_mismatch,1927
