stage,pair,n_tokens_a_mean,n_tokens_a_std,n_tokens_a_median,n_tokens_b_mean,n_tokens_b_std,n_tokens_b_median,abs_token_len_diff_mean
head_output,original_vs_version1,264.78,95.474816,240.0,259.18,93.298662,235.5,10.92
head_output,original_vs_version2,261.5,96.054672,238.5,259.1,89.314453,243.0,8.04
head_output,original_vs_version3,264.68,95.447911,240.0,259.34,82.785341,247.5,12.3
head_output,version1_vs_version2,259.14,93.228272,235.5,262.34,88.675195,244.5,10.84
head_output,version1_vs_version3,259.14,93.228272,235.5,259.4,82.729952,247.5,13.66
head_output,version2_vs_version3,262.12,88.652415,243.5,259.18,82.692864,247.5,8.46
qkv,original_vs_version1,264.78,95.474816,240.0,259.18,93.298662,235.5,10.92
qkv,original_vs_version2,261.5,96.054672,238.5,259.1,89.314453,243.0,8.04
qkv,original_vs_version3,264.68,95.447911,240.0,259.34,82.785341,247.5,12.3
qkv,version1_vs_version2,259.14,93.228272,235.5,262.34,88.675195,244.5,10.84
qkv,version1_vs_version3,259.14,93.228272,235.5,259.4,82.729952,247.5,13.66
qkv,version2_vs_version3,262.12,88.652415,243.5,259.18,82.692864,247.5,8.46
residual,original_vs_version1,264.78,95.474816,240.0,259.18,93.298662,235.5,10.92
residual,original_vs_version2,261.5,96.054672,238.5,259.1,89.314453,243.0,8.04
residual,original_vs_version3,264.68,95.447911,240.0,259.34,82.785341,247.5,12.3
residual,version1_vs_version2,259.14,93.228272,235.5,262.34,88.675195,244.5,10.84
residual,version1_vs_version3,259.14,93.228272,235.5,259.4,82.729952,247.5,13.66
residual,version2_vs_version3,262.12,88.652415,243.5,259.18,82.692864,247.5,8.46
