pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,0,0,1,1,1,0.380541,,0.380541,0.731594,,0.731594,0.024595,,0.024595,0.140835,,0.140835
gpqa_orgn_vs_gpqa_ver1,0,1,1,1,1,0.33466,,0.33466,0.729768,,0.729768,0.022445,,0.022445,0.160979,,0.160979
gpqa_orgn_vs_gpqa_ver1,0,2,1,1,1,0.135098,,0.135098,0.654783,,0.654783,0.011224,,0.011224,0.246004,,0.246004
gpqa_orgn_vs_gpqa_ver1,0,3,1,1,1,0.361201,,0.361201,0.738846,,0.738846,0.027911,,0.027911,0.155201,,0.155201
gpqa_orgn_vs_gpqa_ver1,0,4,1,1,1,0.086431,,0.086431,0.676505,,0.676505,0.00813,,0.00813,0.369876,,0.369876
gpqa_orgn_vs_gpqa_ver1,0,5,1,1,1,0.239079,,0.239079,0.604001,,0.604001,0.031616,,0.031616,0.385087,,0.385087
gpqa_orgn_vs_gpqa_ver1,0,6,1,1,1,0.268363,,0.268363,0.628204,,0.628204,0.066487,,0.066487,0.290013,,0.290013
gpqa_orgn_vs_gpqa_ver1,0,7,1,1,1,0.437401,,0.437401,0.759376,,0.759376,0.071326,,0.071326,0.207308,,0.207308
gpqa_orgn_vs_gpqa_ver1,0,8,1,1,1,0.566988,,0.566988,0.809719,,0.809719,0.148812,,0.148812,0.151953,,0.151953
gpqa_orgn_vs_gpqa_ver1,0,9,1,1,1,0.388076,,0.388076,0.788748,,0.788748,0.049549,,0.049549,0.262325,,0.262325
gpqa_orgn_vs_gpqa_ver1,0,10,1,1,1,0.366536,,0.366536,0.766944,,0.766944,0.014817,,0.014817,0.333223,,0.333223
gpqa_orgn_vs_gpqa_ver1,0,11,1,1,1,0.214881,,0.214881,0.709656,,0.709656,0.007919,,0.007919,0.485336,,0.485336
gpqa_orgn_vs_gpqa_ver1,0,12,1,1,1,0.568603,,0.568603,0.820055,,0.820055,0.023974,,0.023974,0.219164,,0.219164
gpqa_orgn_vs_gpqa_ver1,0,13,1,1,1,0.590184,,0.590184,0.861335,,0.861335,0.063145,,0.063145,0.236478,,0.236478
gpqa_orgn_vs_gpqa_ver1,0,14,1,1,1,0.85379,,0.85379,0.940723,,0.940723,0.169888,,0.169888,0.112952,,0.112952
gpqa_orgn_vs_gpqa_ver1,0,15,1,1,1,0.04383,,0.04383,0.629212,,0.629212,0.035655,,0.035655,0.47081,,0.47081
gpqa_orgn_vs_gpqa_ver1,0,16,1,1,1,0.037802,,0.037802,0.58908,,0.58908,0.043529,,0.043529,0.379201,,0.379201
gpqa_orgn_vs_gpqa_ver1,0,17,1,1,1,0.112458,,0.112458,0.613324,,0.613324,0.082679,,0.082679,0.340163,,0.340163
gpqa_orgn_vs_gpqa_ver1,0,18,1,1,1,0.022264,,0.022264,0.665704,,0.665704,0.020678,,0.020678,0.626287,,0.626287
gpqa_orgn_vs_gpqa_ver1,0,19,1,1,1,0.045608,,0.045608,0.584777,,0.584777,0.04519,,0.04519,0.356527,,0.356527
gpqa_orgn_vs_gpqa_ver1,0,20,1,1,1,0.768077,,0.768077,0.89446,,0.89446,0.072798,,0.072798,0.202978,,0.202978
gpqa_orgn_vs_gpqa_ver1,0,21,1,1,1,0.926953,,0.926953,0.971555,,0.971555,0.061287,,0.061287,0.108832,,0.108832
gpqa_orgn_vs_gpqa_ver1,0,22,1,1,1,0.561044,,0.561044,0.795363,,0.795363,0.016353,,0.016353,0.372959,,0.372959
gpqa_orgn_vs_gpqa_ver1,0,23,1,1,1,0.934011,,0.934011,0.97257,,0.97257,0.060129,,0.060129,0.104287,,0.104287
gpqa_orgn_vs_gpqa_ver1,0,24,1,1,1,0.878037,,0.878037,0.951849,,0.951849,0.099007,,0.099007,0.159069,,0.159069
gpqa_orgn_vs_gpqa_ver1,0,25,1,1,1,0.119763,,0.119763,0.589582,,0.589582,0.040116,,0.040116,0.280273,,0.280273
gpqa_orgn_vs_gpqa_ver1,0,26,1,1,1,0.125844,,0.125844,0.565583,,0.565583,0.0933,,0.0933,0.163927,,0.163927
gpqa_orgn_vs_gpqa_ver1,0,27,1,1,1,0.33816,,0.33816,0.755234,,0.755234,0.215156,,0.215156,0.212733,,0.212733
gpqa_orgn_vs_gpqa_ver1,0,28,1,1,1,0.12559,,0.12559,0.58776,,0.58776,0.075101,,0.075101,0.16876,,0.16876
gpqa_orgn_vs_gpqa_ver1,0,29,1,1,1,0.108711,,0.108711,0.562646,,0.562646,0.085483,,0.085483,0.171226,,0.171226
gpqa_orgn_vs_gpqa_ver1,0,30,1,1,1,0.204314,,0.204314,0.611402,,0.611402,0.026342,,0.026342,0.226013,,0.226013
gpqa_orgn_vs_gpqa_ver1,0,31,1,1,1,0.158413,,0.158413,0.608212,,0.608212,0.0219,,0.0219,0.254416,,0.254416
gpqa_orgn_vs_gpqa_ver1,0,32,1,1,1,0.156313,,0.156313,0.638393,,0.638393,0.01301,,0.01301,0.363254,,0.363254
gpqa_orgn_vs_gpqa_ver1,0,33,1,1,1,0.646172,,0.646172,0.871404,,0.871404,0.041384,,0.041384,0.087244,,0.087244
gpqa_orgn_vs_gpqa_ver1,0,34,1,1,1,0.16274,,0.16274,0.678814,,0.678814,0.019015,,0.019015,0.360404,,0.360404
gpqa_orgn_vs_gpqa_ver1,0,35,1,1,1,0.467695,,0.467695,0.805806,,0.805806,0.050961,,0.050961,0.270384,,0.270384
gpqa_orgn_vs_gpqa_ver1,0,36,1,1,1,0.284443,,0.284443,0.74479,,0.74479,0.009511,,0.009511,0.382586,,0.382586
gpqa_orgn_vs_gpqa_ver1,0,37,1,1,1,0.789429,,0.789429,0.919736,,0.919736,0.043656,,0.043656,0.143348,,0.143348
gpqa_orgn_vs_gpqa_ver1,0,38,1,1,1,0.718277,,0.718277,0.906038,,0.906038,0.041203,,0.041203,0.174497,,0.174497
gpqa_orgn_vs_gpqa_ver1,0,39,1,1,1,0.829595,,0.829595,0.935811,,0.935811,0.047889,,0.047889,0.122809,,0.122809
gpqa_orgn_vs_gpqa_ver1,1,0,1,1,1,0.230804,,0.230804,0.758305,,0.758305,0.024967,,0.024967,0.227003,,0.227003
