pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,39,11,1,1,1,0.067047,,0.067047,0.506449,,0.506449,0.007437,,0.007437,53.244673,,53.244673
gpqa_orgn_vs_gpqa_ver1,38,20,1,1,1,0.056407,,0.056407,0.458691,,0.458691,0.008668,,0.008668,49.365465,,49.365465
gpqa_orgn_vs_gpqa_ver1,38,22,1,1,1,0.070907,,0.070907,0.531035,,0.531035,0.007882,,0.007882,48.513423,,48.513423
gpqa_orgn_vs_gpqa_ver1,38,0,1,1,1,0.512786,,0.512786,0.806797,,0.806797,0.020204,,0.020204,43.428971,,43.428971
gpqa_orgn_vs_gpqa_ver1,39,13,1,1,1,0.095018,,0.095018,0.560049,,0.560049,0.008796,,0.008796,43.180264,,43.180264
gpqa_orgn_vs_gpqa_ver1,39,10,1,1,1,0.102653,,0.102653,0.554182,,0.554182,0.007589,,0.007589,43.154898,,43.154898
gpqa_orgn_vs_gpqa_ver1,39,25,1,1,1,0.418998,,0.418998,0.74506,,0.74506,0.024238,,0.024238,40.971307,,40.971307
gpqa_orgn_vs_gpqa_ver1,39,14,1,1,1,0.09645,,0.09645,0.555245,,0.555245,0.006884,,0.006884,40.252927,,40.252927
gpqa_orgn_vs_gpqa_ver1,39,27,1,1,1,0.3952,,0.3952,0.71215,,0.71215,0.021664,,0.021664,39.527071,,39.527071
gpqa_orgn_vs_gpqa_ver1,39,29,1,1,1,0.450444,,0.450444,0.743251,,0.743251,0.019157,,0.019157,39.224789,,39.224789
gpqa_orgn_vs_gpqa_ver1,38,16,1,1,1,0.085921,,0.085921,0.562408,,0.562408,0.012161,,0.012161,36.4254,,36.4254
gpqa_orgn_vs_gpqa_ver1,39,12,1,1,1,0.100158,,0.100158,0.556483,,0.556483,0.011811,,0.011811,33.642609,,33.642609
gpqa_orgn_vs_gpqa_ver1,36,15,1,1,1,0.1832,,0.1832,0.597127,,0.597127,0.035127,,0.035127,33.558686,,33.558686
gpqa_orgn_vs_gpqa_ver1,38,23,1,1,1,0.059918,,0.059918,0.511382,,0.511382,0.007252,,0.007252,32.114067,,32.114067
gpqa_orgn_vs_gpqa_ver1,38,24,1,1,1,0.069125,,0.069125,0.566858,,0.566858,0.020483,,0.020483,31.391815,,31.391815
gpqa_orgn_vs_gpqa_ver1,39,1,1,1,1,0.10775,,0.10775,0.601714,,0.601714,0.026621,,0.026621,29.786311,,29.786311
gpqa_orgn_vs_gpqa_ver1,38,19,1,1,1,0.076096,,0.076096,0.535278,,0.535278,0.013135,,0.013135,29.518641,,29.518641
