pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,3,32,1,1,1,0.093129,,0.093129,0.375143,,0.375143,0.312833,,0.312833,0.40658,,0.40658
gpqa_orgn_vs_gpqa_ver1,36,23,1,1,1,0.104147,,0.104147,0.531902,,0.531902,0.305974,,0.305974,8.720859,,8.720859
gpqa_orgn_vs_gpqa_ver1,39,38,1,1,1,0.757762,,0.757762,0.886045,,0.886045,0.295974,,0.295974,14.986948,,14.986948
gpqa_orgn_vs_gpqa_ver1,0,27,1,1,1,0.33816,,0.33816,0.755234,,0.755234,0.215156,,0.215156,0.212733,,0.212733
gpqa_orgn_vs_gpqa_ver1,1,8,1,1,1,0.761907,,0.761907,0.891965,,0.891965,0.207096,,0.207096,0.162898,,0.162898
gpqa_orgn_vs_gpqa_ver1,39,39,1,1,1,0.795196,,0.795196,0.91151,,0.91151,0.205838,,0.205838,14.04555,,14.04555
gpqa_orgn_vs_gpqa_ver1,1,6,1,1,1,0.779551,,0.779551,0.897518,,0.897518,0.19825,,0.19825,0.140315,,0.140315
gpqa_orgn_vs_gpqa_ver1,5,2,1,1,1,0.87352,,0.87352,0.947009,,0.947009,0.189899,,0.189899,0.060592,,0.060592
gpqa_orgn_vs_gpqa_ver1,39,37,1,1,1,0.576073,,0.576073,0.799206,,0.799206,0.18069,,0.18069,22.748198,,22.748198
gpqa_orgn_vs_gpqa_ver1,0,14,1,1,1,0.85379,,0.85379,0.940723,,0.940723,0.169888,,0.169888,0.112952,,0.112952
gpqa_orgn_vs_gpqa_ver1,3,34,1,1,1,0.093938,,0.093938,0.411263,,0.411263,0.168323,,0.168323,0.365616,,0.365616
gpqa_orgn_vs_gpqa_ver1,26,32,1,1,1,0.520323,,0.520323,0.784324,,0.784324,0.16002,,0.16002,4.449583,,4.449583
gpqa_orgn_vs_gpqa_ver1,37,23,1,1,1,0.36498,,0.36498,0.647325,,0.647325,0.154202,,0.154202,24.670024,,24.670024
gpqa_orgn_vs_gpqa_ver1,38,29,1,1,1,0.344591,,0.344591,0.73086,,0.73086,0.153418,,0.153418,9.139519,,9.139519
gpqa_orgn_vs_gpqa_ver1,39,35,1,1,1,0.530699,,0.530699,0.766308,,0.766308,0.152856,,0.152856,23.581533,,23.581533
gpqa_orgn_vs_gpqa_ver1,1,7,1,1,1,0.840943,,0.840943,0.932709,,0.932709,0.149756,,0.149756,0.118905,,0.118905
gpqa_orgn_vs_gpqa_ver1,0,8,1,1,1,0.566988,,0.566988,0.809719,,0.809719,0.148812,,0.148812,0.151953,,0.151953
gpqa_orgn_vs_gpqa_ver1,36,24,1,1,1,0.365673,,0.365673,0.773211,,0.773211,0.146714,,0.146714,2.159869,,2.159869
gpqa_orgn_vs_gpqa_ver1,39,36,1,1,1,0.482158,,0.482158,0.743125,,0.743125,0.141567,,0.141567,26.233197,,26.233197
gpqa_orgn_vs_gpqa_ver1,38,26,1,1,1,0.402906,,0.402906,0.737693,,0.737693,0.1367,,0.1367,9.262479,,9.262479
gsm8k_orgn_vs_gpqa_orgn,17,15,1,1,1,0.459018,,0.459018,0.679993,,0.679993,0.417045,,0.417045,2.653996,,2.653996
gsm8k_orgn_vs_gpqa_orgn,31,3,1,1,1,-0.014423,,-0.014423,0.393041,,0.393041,0.322624,,0.322624,7.47549,,7.47549
gsm8k_orgn_vs_gpqa_orgn,24,21,1,1,1,0.074063,,0.074063,0.455019,,0.455019,0.314921,,0.314921,4.309108,,4.309108
gsm8k_orgn_vs_gpqa_orgn,13,11,1,1,1,0.273592,,0.273592,0.554695,,0.554695,0.291214,,0.291214,2.640044,,2.640044
gsm8k_orgn_vs_gpqa_orgn,25,3,1,1,1,0.390727,,0.390727,0.67019,,0.67019,0.291034,,0.291034,3.462877,,3.462877
