layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,0,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.140835,,0.140835
0,0,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.139649,,0.139649
0,0,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.155089,,0.155089
0,0,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.172749,,0.172749
0,0,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.165308,,0.165308
0,0,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.178695,,0.178695
0,1,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.160979,,0.160979
0,1,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.158102,,0.158102
0,1,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.171925,,0.171925
0,1,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.179493,,0.179493
0,1,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.1746,,0.1746
0,1,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.186369,,0.186369
0,2,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.246004,,0.246004
0,2,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.249802,,0.249802
0,2,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.265251,,0.265251
0,2,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.307741,,0.307741
0,2,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.295944,,0.295944
0,2,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.307775,,0.307775
0,3,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.155201,,0.155201
0,3,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.141514,,0.141514
0,3,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.165032,,0.165032
0,3,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.168656,,0.168656
0,3,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.163687,,0.163687
0,3,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.184184,,0.184184
0,4,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.369876,,0.369876
0,4,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.351167,,0.351167
0,4,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.373125,,0.373125
0,4,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.404183,,0.404183
