pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,3,32,1,1,1,0.093129,,0.093129,0.375143,,0.375143,0.312833,,0.312833,0.40658,,0.40658
gpqa_orgn_vs_gpqa_ver1,24,5,1,1,1,0.078553,,0.078553,0.408218,,0.408218,0.006261,,0.006261,11.019975,,11.019975
gpqa_orgn_vs_gpqa_ver1,13,22,1,1,1,0.044365,,0.044365,0.40986,,0.40986,0.010154,,0.010154,3.021017,,3.021017
gpqa_orgn_vs_gpqa_ver1,3,34,1,1,1,0.093938,,0.093938,0.411263,,0.411263,0.168323,,0.168323,0.365616,,0.365616
gpqa_orgn_vs_gpqa_ver1,38,20,1,1,1,0.056407,,0.056407,0.458691,,0.458691,0.008668,,0.008668,49.365465,,49.365465
gpqa_orgn_vs_gpqa_ver1,3,33,1,1,1,0.101039,,0.101039,0.458841,,0.458841,0.083594,,0.083594,0.386545,,0.386545
gpqa_orgn_vs_gpqa_ver1,13,19,1,1,1,0.049971,,0.049971,0.461972,,0.461972,0.00571,,0.00571,3.478105,,3.478105
gpqa_orgn_vs_gpqa_ver1,34,27,1,1,1,0.073218,,0.073218,0.476542,,0.476542,0.009131,,0.009131,19.790212,,19.790212
gpqa_orgn_vs_gpqa_ver1,39,6,1,1,1,0.071748,,0.071748,0.477643,,0.477643,0.012789,,0.012789,23.497223,,23.497223
gpqa_orgn_vs_gpqa_ver1,20,0,1,1,1,0.103898,,0.103898,0.479249,,0.479249,0.009484,,0.009484,3.779377,,3.779377
gpqa_orgn_vs_gpqa_ver1,4,36,1,1,1,0.035227,,0.035227,0.480005,,0.480005,0.005393,,0.005393,0.699798,,0.699798
gpqa_orgn_vs_gpqa_ver1,14,12,1,1,1,0.068391,,0.068391,0.48027,,0.48027,0.007669,,0.007669,2.880734,,2.880734
gpqa_orgn_vs_gpqa_ver1,6,18,1,1,1,0.037831,,0.037831,0.483131,,0.483131,0.009478,,0.009478,0.908533,,0.908533
gpqa_orgn_vs_gpqa_ver1,19,13,1,1,1,0.057014,,0.057014,0.486264,,0.486264,0.005896,,0.005896,3.835601,,3.835601
gpqa_orgn_vs_gpqa_ver1,6,15,1,1,1,0.050998,,0.050998,0.490067,,0.490067,0.008663,,0.008663,0.815476,,0.815476
gpqa_orgn_vs_gpqa_ver1,11,5,1,1,1,0.063235,,0.063235,0.491058,,0.491058,0.007739,,0.007739,2.406888,,2.406888
gpqa_orgn_vs_gpqa_ver1,36,11,1,1,1,0.094676,,0.094676,0.492943,,0.492943,0.01104,,0.01104,27.703949,,27.703949
gpqa_orgn_vs_gpqa_ver1,14,29,1,1,1,0.087391,,0.087391,0.493126,,0.493126,0.006963,,0.006963,4.555174,,4.555174
gpqa_orgn_vs_gpqa_ver1,39,31,1,1,1,0.081557,,0.081557,0.496207,,0.496207,0.023679,,0.023679,25.299687,,25.299687
