pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
gpqa_orgn_vs_gpqa_ver1,k,0,0,1,1,1,0.987746,,0.987746,0.995401,,0.995401,0.010928,,0.010928,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,1,1,1,1,0.869428,,0.869428,0.95674,,0.95674,0.010909,,0.010909,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,2,1,1,1,0.984887,,0.984887,0.994567,,0.994567,0.005525,,0.005525,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,3,1,1,1,0.977317,,0.977317,0.993187,,0.993187,0.005623,,0.005623,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,4,1,1,1,0.838859,,0.838859,0.930962,,0.930962,0.012081,,0.012081,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,5,1,1,1,0.97882,,0.97882,0.991484,,0.991484,0.008305,,0.008305,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,6,1,1,1,0.9764,,0.9764,0.991134,,0.991134,0.021421,,0.021421,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,7,1,1,1,0.985791,,0.985791,0.994981,,0.994981,0.034812,,0.034812,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,0,1,1,1,0.783497,,0.783497,0.89995,,0.89995,0.006276,,0.006276,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,1,1,1,1,0.701264,,0.701264,0.880817,,0.880817,0.022666,,0.022666,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,2,1,1,1,0.68652,,0.68652,0.875612,,0.875612,0.007947,,0.007947,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,3,1,1,1,0.812271,,0.812271,0.950854,,0.950854,0.00546,,0.00546,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,4,1,1,1,0.54329,,0.54329,0.89628,,0.89628,0.008189,,0.008189,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,5,1,1,1,0.809922,,0.809922,0.918972,,0.918972,0.008149,,0.008149,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,6,1,1,1,0.661871,,0.661871,0.868321,,0.868321,0.009383,,0.009383,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,7,1,1,1,0.573886,,0.573886,0.793845,,0.793845,0.006221,,0.006221,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,0,1,1,1,0.781686,,0.781686,0.923524,,0.923524,0.008177,,0.008177,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,1,1,1,1,0.720816,,0.720816,0.898412,,0.898412,0.006264,,0.006264,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,2,1,1,1,0.684107,,0.684107,0.851026,,0.851026,0.009783,,0.009783,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,3,1,1,1,0.824511,,0.824511,0.921205,,0.921205,0.007064,,0.007064,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,4,1,1,1,0.865644,,0.865644,0.934842,,0.934842,0.005803,,0.005803,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,5,1,1,1,0.766684,,0.766684,0.891115,,0.891115,0.005479,,0.005479,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,6,1,1,1,0.552531,,0.552531,0.782453,,0.782453,0.019043,,0.019043,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,7,1,1,1,0.460841,,0.460841,0.741248,,0.741248,0.007949,,0.007949,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,0,1,1,1,0.373409,,0.373409,0.717984,,0.717984,0.007542,,0.007542,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,1,1,1,1,0.429535,,0.429535,0.763826,,0.763826,0.008218,,0.008218,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,2,1,1,1,0.504443,,0.504443,0.77132,,0.77132,0.008059,,0.008059,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,3,1,1,1,0.481991,,0.481991,0.771417,,0.771417,0.006973,,0.006973,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,4,1,1,1,0.54728,,0.54728,0.788008,,0.788008,0.009285,,0.009285,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,5,1,1,1,0.297473,,0.297473,0.763764,,0.763764,0.006567,,0.006567,kv_head
