pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
gpqa_orgn_vs_gpqa_ver1,k,36,4,1,1,1,0.505298,,0.505298,0.745071,,0.745071,0.050531,,0.050531,kv_head
gpqa_orgn_vs_gpqa_ver1,k,37,4,1,1,1,0.609311,,0.609311,0.810339,,0.810339,0.045784,,0.045784,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,6,1,1,1,0.4515,,0.4515,0.711171,,0.711171,0.03737,,0.03737,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,7,1,1,1,0.985791,,0.985791,0.994981,,0.994981,0.034812,,0.034812,kv_head
gpqa_orgn_vs_gpqa_ver1,k,38,5,1,1,1,0.637884,,0.637884,0.824347,,0.824347,0.025612,,0.025612,kv_head
gpqa_orgn_vs_gpqa_ver1,k,37,6,1,1,1,0.409705,,0.409705,0.669056,,0.669056,0.024866,,0.024866,kv_head
gpqa_orgn_vs_gpqa_ver1,k,1,1,1,1,1,0.701264,,0.701264,0.880817,,0.880817,0.022666,,0.022666,kv_head
gpqa_orgn_vs_gpqa_ver1,k,0,6,1,1,1,0.9764,,0.9764,0.991134,,0.991134,0.021421,,0.021421,kv_head
gpqa_orgn_vs_gpqa_ver1,k,32,6,1,1,1,0.480637,,0.480637,0.730627,,0.730627,0.020601,,0.020601,kv_head
gpqa_orgn_vs_gpqa_ver1,k,2,6,1,1,1,0.552531,,0.552531,0.782453,,0.782453,0.019043,,0.019043,kv_head
gpqa_orgn_vs_gpqa_ver1,k,7,6,1,1,1,0.763967,,0.763967,0.891776,,0.891776,0.017058,,0.017058,kv_head
gpqa_orgn_vs_gpqa_ver1,k,35,7,1,1,1,0.476055,,0.476055,0.764686,,0.764686,0.01681,,0.01681,kv_head
gpqa_orgn_vs_gpqa_ver1,k,38,2,1,1,1,0.436994,,0.436994,0.698371,,0.698371,0.016358,,0.016358,kv_head
gpqa_orgn_vs_gpqa_ver1,k,37,2,1,1,1,0.610837,,0.610837,0.819309,,0.819309,0.016152,,0.016152,kv_head
gpqa_orgn_vs_gpqa_ver1,k,29,1,1,1,1,0.42945,,0.42945,0.72283,,0.72283,0.013795,,0.013795,kv_head
gpqa_orgn_vs_gpqa_ver1,k,39,1,1,1,1,0.700097,,0.700097,0.859542,,0.859542,0.013676,,0.013676,kv_head
gpqa_orgn_vs_gpqa_ver1,k,34,4,1,1,1,0.510666,,0.510666,0.767295,,0.767295,0.013461,,0.013461,kv_head
gpqa_orgn_vs_gpqa_ver1,k,32,0,1,1,1,0.483112,,0.483112,0.743908,,0.743908,0.013313,,0.013313,kv_head
gpqa_orgn_vs_gpqa_ver1,k,34,0,1,1,1,0.5652,,0.5652,0.7752,,0.7752,0.013058,,0.013058,kv_head
gpqa_orgn_vs_gpqa_ver1,k,35,5,1,1,1,0.380716,,0.380716,0.681572,,0.681572,0.012735,,0.012735,kv_head
gpqa_orgn_vs_gpqa_ver1,q,36,23,1,1,1,0.628445,,0.628445,0.781317,,0.781317,0.13081,,0.13081,q_head
gpqa_orgn_vs_gpqa_ver1,q,1,6,1,1,1,0.497985,,0.497985,0.793784,,0.793784,0.109815,,0.109815,q_head
gpqa_orgn_vs_gpqa_ver1,q,3,34,1,1,1,0.370964,,0.370964,0.65772,,0.65772,0.095732,,0.095732,q_head
gpqa_orgn_vs_gpqa_ver1,q,0,27,1,1,1,0.384132,,0.384132,0.749849,,0.749849,0.093704,,0.093704,q_head
gpqa_orgn_vs_gpqa_ver1,q,38,29,1,1,1,0.625684,,0.625684,0.788212,,0.788212,0.085389,,0.085389,q_head
gpqa_orgn_vs_gpqa_ver1,q,0,17,1,1,1,0.348912,,0.348912,0.724223,,0.724223,0.073158,,0.073158,q_head
gpqa_orgn_vs_gpqa_ver1,q,0,24,1,1,1,0.576357,,0.576357,0.834919,,0.834919,0.066103,,0.066103,q_head
gpqa_orgn_vs_gpqa_ver1,q,37,32,1,1,1,0.571284,,0.571284,0.74316,,0.74316,0.063395,,0.063395,q_head
gpqa_orgn_vs_gpqa_ver1,q,38,10,1,1,1,0.668821,,0.668821,0.815937,,0.815937,0.05563,,0.05563,q_head
gpqa_orgn_vs_gpqa_ver1,q,39,33,1,1,1,0.693798,,0.693798,0.815051,,0.815051,0.054936,,0.054936,q_head
gpqa_orgn_vs_gpqa_ver1,q,37,13,1,1,1,0.508179,,0.508179,0.706242,,0.706242,0.052541,,0.052541,q_head
gpqa_orgn_vs_gpqa_ver1,q,39,16,1,1,1,0.600919,,0.600919,0.784357,,0.784357,0.047242,,0.047242,q_head
gpqa_orgn_vs_gpqa_ver1,q,39,7,1,1,1,0.496645,,0.496645,0.703535,,0.703535,0.044799,,0.044799,q_head
gpqa_orgn_vs_gpqa_ver1,q,39,4,1,1,1,0.622708,,0.622708,0.807056,,0.807056,0.044499,,0.044499,q_head
gpqa_orgn_vs_gpqa_ver1,q,37,34,1,1,1,0.561176,,0.561176,0.736366,,0.736366,0.044419,,0.044419,q_head
gpqa_orgn_vs_gpqa_ver1,q,37,30,1,1,1,0.592334,,0.592334,0.792369,,0.792369,0.043999,,0.043999,q_head
gpqa_orgn_vs_gpqa_ver1,q,3,32,1,1,1,0.504893,,0.504893,0.747545,,0.747545,0.042293,,0.042293,q_head
gpqa_orgn_vs_gpqa_ver1,q,38,26,1,1,1,0.685527,,0.685527,0.842303,,0.842303,0.041488,,0.041488,q_head
gpqa_orgn_vs_gpqa_ver1,q,39,30,1,1,1,0.679712,,0.679712,0.806826,,0.806826,0.041156,,0.041156,q_head
gpqa_orgn_vs_gpqa_ver1,q,32,33,1,1,1,0.642929,,0.642929,0.812452,,0.812452,0.040913,,0.040913,q_head
gpqa_orgn_vs_gpqa_ver1,v,37,4,1,1,1,0.157761,,0.157761,0.455765,,0.455765,0.107025,,0.107025,kv_head
gpqa_orgn_vs_gpqa_ver1,v,29,3,1,1,1,0.324388,,0.324388,0.625965,,0.625965,0.06102,,0.06102,kv_head
gpqa_orgn_vs_gpqa_ver1,v,39,7,1,1,1,0.24721,,0.24721,0.616146,,0.616146,0.043234,,0.043234,kv_head
gpqa_orgn_vs_gpqa_ver1,v,35,7,1,1,1,0.084902,,0.084902,0.405193,,0.405193,0.035094,,0.035094,kv_head
gpqa_orgn_vs_gpqa_ver1,v,34,0,1,1,1,0.151978,,0.151978,0.46682,,0.46682,0.027021,,0.027021,kv_head
