pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
gpqa_orgn_vs_gpqa_ver1,k,12,2,1,1,1,0.152674,,0.152674,0.551847,,0.551847,0.005026,,0.005026,kv_head
gpqa_orgn_vs_gpqa_ver1,k,9,7,1,1,1,0.224795,,0.224795,0.587949,,0.587949,0.00623,,0.00623,kv_head
gpqa_orgn_vs_gpqa_ver1,k,13,0,1,1,1,0.250852,,0.250852,0.609431,,0.609431,0.00605,,0.00605,kv_head
gpqa_orgn_vs_gpqa_ver1,k,5,4,1,1,1,0.353599,,0.353599,0.665222,,0.665222,0.006501,,0.006501,kv_head
gpqa_orgn_vs_gpqa_ver1,k,18,4,1,1,1,0.263963,,0.263963,0.666664,,0.666664,0.011434,,0.011434,kv_head
gpqa_orgn_vs_gpqa_ver1,k,37,6,1,1,1,0.409705,,0.409705,0.669056,,0.669056,0.024866,,0.024866,kv_head
gpqa_orgn_vs_gpqa_ver1,k,15,4,1,1,1,0.329218,,0.329218,0.671277,,0.671277,0.005468,,0.005468,kv_head
gpqa_orgn_vs_gpqa_ver1,k,32,1,1,1,1,0.322425,,0.322425,0.675803,,0.675803,0.006423,,0.006423,kv_head
gpqa_orgn_vs_gpqa_ver1,k,37,0,1,1,1,0.39894,,0.39894,0.676675,,0.676675,0.010503,,0.010503,kv_head
gpqa_orgn_vs_gpqa_ver1,k,6,6,1,1,1,0.334442,,0.334442,0.677666,,0.677666,0.008085,,0.008085,kv_head
gpqa_orgn_vs_gpqa_ver1,k,17,1,1,1,1,0.255206,,0.255206,0.677679,,0.677679,0.006628,,0.006628,kv_head
gpqa_orgn_vs_gpqa_ver1,k,37,3,1,1,1,0.33739,,0.33739,0.680144,,0.680144,0.009176,,0.009176,kv_head
gpqa_orgn_vs_gpqa_ver1,k,35,5,1,1,1,0.380716,,0.380716,0.681572,,0.681572,0.012735,,0.012735,kv_head
gpqa_orgn_vs_gpqa_ver1,k,36,7,1,1,1,0.347038,,0.347038,0.682816,,0.682816,0.01214,,0.01214,kv_head
