pair,component,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,head_type
gpqa_orgn_vs_gpqa_ver1,k,12,2,1,1,1,0.152674,,0.152674,0.551847,,0.551847,0.005026,,0.005026,kv_head
gpqa_orgn_vs_gpqa_ver1,k,9,7,1,1,1,0.224795,,0.224795,0.587949,,0.587949,0.00623,,0.00623,kv_head
gpqa_orgn_vs_gpqa_ver1,k,13,0,1,1,1,0.250852,,0.250852,0.609431,,0.609431,0.00605,,0.00605,kv_head
gpqa_orgn_vs_gpqa_ver1,k,17,1,1,1,1,0.255206,,0.255206,0.677679,,0.677679,0.006628,,0.006628,kv_head
gpqa_orgn_vs_gpqa_ver1,k,18,4,1,1,1,0.263963,,0.263963,0.666664,,0.666664,0.011434,,0.011434,kv_head
gpqa_orgn_vs_gpqa_ver1,k,34,2,1,1,1,0.28139,,0.28139,0.710641,,0.710641,0.005695,,0.005695,kv_head
gpqa_orgn_vs_gpqa_ver1,k,34,5,1,1,1,0.285276,,0.285276,0.698477,,0.698477,0.005215,,0.005215,kv_head
gpqa_orgn_vs_gpqa_ver1,k,12,5,1,1,1,0.292649,,0.292649,0.683822,,0.683822,0.004859,,0.004859,kv_head
gpqa_orgn_vs_gpqa_ver1,k,28,6,1,1,1,0.295976,,0.295976,0.724764,,0.724764,0.004651,,0.004651,kv_head
gpqa_orgn_vs_gpqa_ver1,k,3,5,1,1,1,0.297473,,0.297473,0.763764,,0.763764,0.006567,,0.006567,kv_head
gpqa_orgn_vs_gpqa_ver1,k,35,1,1,1,1,0.30105,,0.30105,0.712767,,0.712767,0.006619,,0.006619,kv_head
gpqa_orgn_vs_gpqa_ver1,k,34,7,1,1,1,0.313328,,0.313328,0.745825,,0.745825,0.004804,,0.004804,kv_head
gpqa_orgn_vs_gpqa_ver1,k,34,1,1,1,1,0.316889,,0.316889,0.715992,,0.715992,0.004661,,0.004661,kv_head
gpqa_orgn_vs_gpqa_ver1,k,33,1,1,1,1,0.31808,,0.31808,0.711557,,0.711557,0.00639,,0.00639,kv_head
