pair,metric,component,layer,head,value_mean
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,0,0.731594
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,1,0.729768
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,2,0.654783
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,3,0.738846
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,4,0.676505
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,5,0.604001
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,6,0.628204
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,7,0.759376
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,8,0.809719
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,9,0.788748
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,10,0.766944
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,11,0.709656
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,12,0.820055
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,13,0.861335
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,14,0.940723
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,15,0.629212
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,16,0.58908
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,17,0.613324
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,18,0.665704
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,19,0.584777
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,20,0.89446
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,21,0.971555
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,22,0.795363
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,23,0.97257
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,24,0.951849
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,25,0.589582
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,26,0.565583
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,27,0.755234
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,28,0.58776
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,29,0.562646
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,30,0.611402
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,31,0.608212
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,32,0.638393
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,33,0.871404
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,34,0.678814
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,35,0.805806
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,36,0.74479
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,37,0.919736
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,38,0.906038
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,39,0.935811
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,0,0.758305
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,1,0.78263
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,2,0.736754
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,3,0.623946
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,4,0.702457
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,5,0.874602
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,6,0.897518
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,7,0.932709
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,8,0.891965
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,9,0.941358
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,10,0.595091
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,11,0.618449
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,12,0.950854
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,13,0.593869
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,14,0.647294
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,15,0.758423
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,16,0.922391
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,17,0.763001
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,18,0.797119
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,19,0.718192
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,20,0.560417
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,21,0.595414
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,22,0.641094
