pair,metric,component,layer,head,value_std
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,0,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,1,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,2,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,3,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,4,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,5,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,6,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,7,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,8,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,9,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,10,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,11,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,12,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,13,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,14,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,15,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,16,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,17,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,18,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,19,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,20,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,21,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,22,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,23,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,24,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,25,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,26,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,27,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,28,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,29,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,30,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,31,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,32,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,33,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,34,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,35,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,36,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,37,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,38,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,0,39,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,0,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,1,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,2,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,3,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,4,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,5,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,6,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,7,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,8,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,9,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,10,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,11,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,12,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,13,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,14,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,15,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,16,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,17,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,18,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,19,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,20,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,21,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,22,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,23,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,24,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,25,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,26,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,27,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,28,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,29,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,30,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,31,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,32,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,33,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,34,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,35,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,36,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,37,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,38,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,39,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,0,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,1,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,2,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,3,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,4,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,5,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,6,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,7,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,8,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,9,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,10,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,11,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,12,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,13,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,14,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,15,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,16,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,17,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,18,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,19,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,20,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,21,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,22,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,23,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,24,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,25,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,26,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,27,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,28,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,29,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,30,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,31,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,32,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,33,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,34,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,35,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,36,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,37,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,38,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,39,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,0,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,1,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,2,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,3,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,4,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,5,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,6,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,7,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,8,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,9,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,10,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,11,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,12,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,13,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,14,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,15,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,16,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,17,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,18,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,19,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,20,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,21,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,22,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,23,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,24,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,25,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,26,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,27,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,28,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,29,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,30,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,31,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,32,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,33,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,34,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,35,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,36,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,37,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,38,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,39,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,0,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,1,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,2,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,3,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,4,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,5,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,6,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,7,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,8,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,9,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,10,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,11,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,12,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,13,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,14,
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,15,
