pair,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,0,40,1,40,0.383934,0.284232,0.33641,0.741734,0.128997,0.73522,0.052579,0.044456,0.042456,0.256493,0.121353,0.231246
gpqa_orgn_vs_gpqa_ver1,1,40,1,40,0.321574,0.293785,0.213734,0.747432,0.132272,0.727473,0.041847,0.05006,0.02275,0.261568,0.117113,0.232388
gpqa_orgn_vs_gpqa_ver1,2,40,1,40,0.158929,0.104897,0.133754,0.629053,0.080584,0.611206,0.026203,0.025079,0.016628,0.332077,0.135342,0.306776
gpqa_orgn_vs_gpqa_ver1,3,40,1,40,0.164695,0.074272,0.15346,0.625882,0.08985,0.636182,0.033409,0.05428,0.017603,0.404772,0.108645,0.411338
gpqa_orgn_vs_gpqa_ver1,4,40,1,40,0.191678,0.122498,0.153053,0.655909,0.099777,0.619349,0.024217,0.02117,0.014186,0.479214,0.154261,0.476194
gpqa_orgn_vs_gpqa_ver1,5,40,1,40,0.340054,0.243775,0.260738,0.762963,0.127247,0.776597,0.029571,0.03586,0.016132,0.489952,0.242283,0.537075
gpqa_orgn_vs_gpqa_ver1,6,40,1,40,0.22891,0.135707,0.199784,0.697213,0.10415,0.717614,0.023458,0.022247,0.014433,0.701954,0.240764,0.778185
gpqa_orgn_vs_gpqa_ver1,7,40,1,40,0.26109,0.179101,0.202533,0.740495,0.097404,0.73698,0.015027,0.021373,0.009374,0.851365,0.47217,0.841358
gpqa_orgn_vs_gpqa_ver1,8,40,1,40,0.318567,0.212968,0.256207,0.781294,0.101686,0.802414,0.0138,0.012355,0.01034,0.8606,0.555395,0.743606
gpqa_orgn_vs_gpqa_ver1,9,40,1,40,0.272753,0.201153,0.207627,0.738642,0.109678,0.728728,0.007628,0.003618,0.007128,0.8832,0.4056,0.853512
gpqa_orgn_vs_gpqa_ver1,10,40,1,40,0.20274,0.170389,0.132345,0.685968,0.106488,0.68281,0.007416,0.002708,0.006782,1.1525,0.558104,1.119683
gpqa_orgn_vs_gpqa_ver1,11,40,1,40,0.191263,0.139867,0.146688,0.692861,0.103513,0.702928,0.007022,0.003974,0.006024,1.361792,0.550961,1.393278
gpqa_orgn_vs_gpqa_ver1,12,40,1,40,0.253718,0.173044,0.218766,0.769173,0.086031,0.765266,0.005688,0.001858,0.005456,1.485558,0.612303,1.457748
gpqa_orgn_vs_gpqa_ver1,13,40,1,40,0.216868,0.164469,0.167668,0.734486,0.120047,0.744841,0.007725,0.005219,0.005856,1.875272,0.833815,1.818109
gpqa_orgn_vs_gpqa_ver1,14,40,1,40,0.291183,0.250141,0.212157,0.758459,0.124268,0.757408,0.010313,0.009926,0.006726,1.757602,0.944302,1.715584
gpqa_orgn_vs_gpqa_ver1,15,40,1,40,0.194634,0.139967,0.156548,0.735107,0.077082,0.746174,0.007219,0.003625,0.006334,2.150687,0.814993,2.100452
gpqa_orgn_vs_gpqa_ver1,16,40,1,40,0.225575,0.139616,0.203161,0.742421,0.093103,0.756686,0.005162,0.001658,0.00495,2.499143,0.993032,2.409973
gpqa_orgn_vs_gpqa_ver1,17,40,1,40,0.260687,0.159731,0.228919,0.756725,0.086141,0.764446,0.008632,0.0082,0.005804,2.679503,0.85508,2.728106
gpqa_orgn_vs_gpqa_ver1,18,40,1,40,0.276078,0.164637,0.238968,0.74075,0.093592,0.749828,0.009814,0.010713,0.005889,2.683934,1.30103,2.568051
gpqa_orgn_vs_gpqa_ver1,19,40,1,40,0.207713,0.10536,0.194053,0.69667,0.079866,0.684094,0.005813,0.001379,0.005617,3.06816,0.908955,3.036857
gpqa_orgn_vs_gpqa_ver1,20,40,1,40,0.229007,0.144848,0.184804,0.711601,0.090089,0.719604,0.006386,0.00305,0.0053,3.102143,1.322567,2.963408
gpqa_orgn_vs_gpqa_ver1,21,40,1,40,0.213578,0.156539,0.191932,0.73197,0.07416,0.730115,0.006547,0.004316,0.005392,3.95642,1.297544,3.77475
gpqa_orgn_vs_gpqa_ver1,22,40,1,40,0.250281,0.166735,0.226017,0.728641,0.095721,0.743032,0.008174,0.010463,0.005593,3.923351,1.26569,3.914584
gpqa_orgn_vs_gpqa_ver1,23,40,1,40,0.265359,0.164583,0.217409,0.729183,0.085544,0.726562,0.00995,0.010626,0.006485,2.942107,1.259086,2.951618
gpqa_orgn_vs_gpqa_ver1,24,40,1,40,0.229686,0.151511,0.183574,0.736187,0.090303,0.717936,0.006831,0.004497,0.005417,4.276017,2.087173,4.22793
gpqa_orgn_vs_gpqa_ver1,25,40,1,40,0.262668,0.105089,0.253816,0.731494,0.071192,0.736843,0.014924,0.028834,0.00572,3.816338,1.418306,3.537823
gpqa_orgn_vs_gpqa_ver1,26,40,1,40,0.261805,0.161154,0.207645,0.756624,0.072713,0.771853,0.019068,0.034961,0.005868,3.838063,1.565822,3.944932
gpqa_orgn_vs_gpqa_ver1,27,40,1,40,0.194526,0.068587,0.196878,0.700728,0.076942,0.714313,0.007615,0.003681,0.006474,5.837475,2.730219,5.14633
gpqa_orgn_vs_gpqa_ver1,28,40,1,40,0.18686,0.148309,0.144554,0.727702,0.071679,0.716681,0.006757,0.005168,0.005513,5.274457,1.953019,5.201577
