pair,component,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gpqa_orgn_vs_gpqa_ver1,k,0,8,1,8,0.949906,0.05981,0.978068,0.981057,0.024025,0.992336,0.0137,0.009889,0.010919
gpqa_orgn_vs_gpqa_ver1,k,1,8,1,8,0.696565,0.102584,0.693892,0.885581,0.045563,0.888548,0.009286,0.00556,0.008048
gpqa_orgn_vs_gpqa_ver1,k,2,8,1,8,0.707102,0.137989,0.74375,0.867978,0.071227,0.894764,0.008695,0.004414,0.007506
gpqa_orgn_vs_gpqa_ver1,k,3,8,1,8,0.436552,0.078761,0.440518,0.75016,0.030664,0.763795,0.01124,0.01061,0.0078
gpqa_orgn_vs_gpqa_ver1,k,4,8,1,8,0.555639,0.075609,0.553305,0.803406,0.041756,0.807162,0.007165,0.00108,0.006726
gpqa_orgn_vs_gpqa_ver1,k,5,8,1,8,0.534246,0.109383,0.539509,0.79868,0.0758,0.800211,0.007042,0.000932,0.00663
gpqa_orgn_vs_gpqa_ver1,k,6,8,1,8,0.498312,0.109947,0.516849,0.791445,0.08355,0.790634,0.007362,0.001486,0.006777
gpqa_orgn_vs_gpqa_ver1,k,7,8,1,8,0.725172,0.07417,0.741486,0.869749,0.038536,0.876769,0.00817,0.003666,0.0068
gpqa_orgn_vs_gpqa_ver1,k,8,8,1,8,0.848276,0.06184,0.873048,0.927819,0.030452,0.933303,0.007389,0.001157,0.00717
gpqa_orgn_vs_gpqa_ver1,k,9,8,1,8,0.54602,0.14402,0.578158,0.782805,0.085655,0.803264,0.006148,0.001009,0.006171
gpqa_orgn_vs_gpqa_ver1,k,10,8,1,8,0.835482,0.117413,0.870455,0.923026,0.047302,0.933344,0.006908,0.001468,0.006484
gpqa_orgn_vs_gpqa_ver1,k,11,8,1,8,0.629576,0.092388,0.658952,0.827749,0.047311,0.842138,0.005178,0.000474,0.00518
gpqa_orgn_vs_gpqa_ver1,k,12,8,1,8,0.400197,0.149036,0.38782,0.716845,0.084066,0.709643,0.00509,0.000524,0.005043
gpqa_orgn_vs_gpqa_ver1,k,13,8,1,8,0.4468,0.096564,0.458047,0.741467,0.063158,0.740419,0.005464,0.000506,0.005626
gpqa_orgn_vs_gpqa_ver1,k,14,8,1,8,0.505044,0.132402,0.455661,0.7764,0.075437,0.771829,0.005458,0.000892,0.005275
gpqa_orgn_vs_gpqa_ver1,k,15,8,1,8,0.523209,0.088894,0.539967,0.776632,0.047242,0.781838,0.005709,0.000591,0.005644
gpqa_orgn_vs_gpqa_ver1,k,16,8,1,8,0.639677,0.089772,0.639108,0.840979,0.047146,0.831632,0.005387,0.00035,0.00536
gpqa_orgn_vs_gpqa_ver1,k,17,8,1,8,0.448943,0.125761,0.437608,0.751261,0.073754,0.722342,0.006944,0.0005,0.006922
gpqa_orgn_vs_gpqa_ver1,k,18,8,1,8,0.39809,0.109227,0.3571,0.733039,0.049867,0.722538,0.006264,0.002235,0.005584
gpqa_orgn_vs_gpqa_ver1,k,19,8,1,8,0.417352,0.039895,0.41308,0.744754,0.018603,0.749824,0.006138,0.00066,0.006046
gpqa_orgn_vs_gpqa_ver1,k,20,8,1,8,0.520892,0.129371,0.513537,0.79572,0.053234,0.80425,0.005839,0.000806,0.005791
gpqa_orgn_vs_gpqa_ver1,k,21,8,1,8,0.483939,0.120522,0.444878,0.798805,0.048513,0.804677,0.005436,0.001041,0.005172
gpqa_orgn_vs_gpqa_ver1,k,22,8,1,8,0.490977,0.071285,0.47365,0.777574,0.033979,0.771075,0.005505,0.000705,0.005622
gpqa_orgn_vs_gpqa_ver1,k,23,8,1,8,0.517776,0.091055,0.522528,0.795872,0.029692,0.800802,0.005376,0.001042,0.005362
gpqa_orgn_vs_gpqa_ver1,k,24,8,1,8,0.471429,0.115734,0.451642,0.796266,0.033752,0.791842,0.004866,0.000321,0.004807
gpqa_orgn_vs_gpqa_ver1,k,25,8,1,8,0.703918,0.09384,0.676918,0.87689,0.037364,0.870019,0.006818,0.001696,0.006318
gpqa_orgn_vs_gpqa_ver1,k,26,8,1,8,0.474986,0.069181,0.458407,0.783063,0.032534,0.786796,0.005613,0.001572,0.005093
gpqa_orgn_vs_gpqa_ver1,k,27,8,1,8,0.555863,0.097278,0.579416,0.807525,0.037954,0.814803,0.006788,0.000806,0.00682
gpqa_orgn_vs_gpqa_ver1,k,28,8,1,8,0.381774,0.043438,0.392596,0.750339,0.023732,0.752038,0.005743,0.000578,0.005876
gpqa_orgn_vs_gpqa_ver1,k,29,8,1,8,0.44489,0.107127,0.417533,0.757581,0.044035,0.747927,0.008194,0.003018,0.006432
gpqa_orgn_vs_gpqa_ver1,k,30,8,1,8,0.536061,0.124293,0.539032,0.794236,0.046379,0.79214,0.006322,0.001904,0.005576
gpqa_orgn_vs_gpqa_ver1,k,31,8,1,8,0.472267,0.105914,0.468688,0.759151,0.05623,0.761638,0.007552,0.002038,0.006612
gpqa_orgn_vs_gpqa_ver1,k,32,8,1,8,0.447834,0.079274,0.481874,0.73857,0.04121,0.737268,0.008925,0.005401,0.006279
gpqa_orgn_vs_gpqa_ver1,k,33,8,1,8,0.39868,0.057376,0.390022,0.724247,0.02139,0.715273,0.008461,0.002369,0.008089
gpqa_orgn_vs_gpqa_ver1,k,34,8,1,8,0.391898,0.110991,0.352776,0.73921,0.028443,0.742034,0.007616,0.003646,0.005802
gpqa_orgn_vs_gpqa_ver1,k,35,8,1,8,0.369639,0.054948,0.356952,0.727026,0.025092,0.727894,0.008855,0.00387,0.006934
gpqa_orgn_vs_gpqa_ver1,k,36,8,1,8,0.519393,0.122769,0.526716,0.768916,0.054629,0.769346,0.013873,0.01502,0.008435
gpqa_orgn_vs_gpqa_ver1,k,37,8,1,8,0.472213,0.106853,0.449077,0.738968,0.064365,0.733332,0.016186,0.013429,0.009938
gpqa_orgn_vs_gpqa_ver1,k,38,8,1,8,0.554923,0.148139,0.513047,0.7869,0.073575,0.764242,0.010916,0.006856,0.007262
gpqa_orgn_vs_gpqa_ver1,k,39,8,1,8,0.705829,0.049954,0.696678,0.868376,0.027155,0.862805,0.010177,0.002189,0.009557
gpqa_orgn_vs_gpqa_ver1,q,0,40,1,40,0.454814,0.100884,0.468486,0.769795,0.053784,0.766188,0.016318,0.018896,0.01021
gpqa_orgn_vs_gpqa_ver1,q,1,40,1,40,0.577775,0.10406,0.569274,0.83662,0.062956,0.842584,0.012702,0.016901,0.008634
gpqa_orgn_vs_gpqa_ver1,q,2,40,1,40,0.583152,0.116203,0.604222,0.812369,0.060953,0.831566,0.010698,0.006857,0.007925
gpqa_orgn_vs_gpqa_ver1,q,3,40,1,40,0.472974,0.072127,0.485074,0.757662,0.043644,0.755651,0.014017,0.015512,0.009432
gpqa_orgn_vs_gpqa_ver1,q,4,40,1,40,0.511586,0.075545,0.516862,0.77804,0.047624,0.783031,0.008276,0.003878,0.007114
gpqa_orgn_vs_gpqa_ver1,q,5,40,1,40,0.454922,0.107947,0.430986,0.762057,0.061696,0.751934,0.008908,0.004838,0.007116
gpqa_orgn_vs_gpqa_ver1,q,6,40,1,40,0.527406,0.10577,0.526022,0.785626,0.05176,0.786274,0.009587,0.00496,0.007832
gpqa_orgn_vs_gpqa_ver1,q,7,40,1,40,0.655771,0.099026,0.668839,0.829925,0.050792,0.840636,0.009016,0.004298,0.00786
gpqa_orgn_vs_gpqa_ver1,q,8,40,1,40,0.672326,0.090314,0.691898,0.847094,0.051635,0.858156,0.008594,0.003274,0.007631
gpqa_orgn_vs_gpqa_ver1,q,9,40,1,40,0.555456,0.125843,0.596752,0.791225,0.066066,0.795241,0.00602,0.001284,0.005794
gpqa_orgn_vs_gpqa_ver1,q,10,40,1,40,0.660362,0.089943,0.694994,0.842151,0.055116,0.86305,0.006488,0.00151,0.006085
gpqa_orgn_vs_gpqa_ver1,q,11,40,1,40,0.61794,0.093795,0.634898,0.815874,0.05333,0.828938,0.005134,0.000828,0.004893
gpqa_orgn_vs_gpqa_ver1,q,12,40,1,40,0.479482,0.112537,0.454931,0.750636,0.056403,0.73718,0.00524,0.000572,0.005114
