pair,layer_from,layer_to,delta_maxmatch_cosine,delta_mmd_rbf
gpqa_orgn_vs_gpqa_ver1,0,1,0.285865,0.014257
gpqa_orgn_vs_gpqa_ver1,1,2,0.015721,-0.006269
gpqa_orgn_vs_gpqa_ver1,2,3,-0.02535,-0.004182
gpqa_orgn_vs_gpqa_ver1,3,4,-0.021413,0.002772
gpqa_orgn_vs_gpqa_ver1,4,5,0.01095,-0.002184
gpqa_orgn_vs_gpqa_ver1,5,6,-0.033503,0.002008
gpqa_orgn_vs_gpqa_ver1,6,7,-0.021849,-0.003946
gpqa_orgn_vs_gpqa_ver1,7,8,0.047181,-0.000575
gpqa_orgn_vs_gpqa_ver1,8,9,-0.020098,-0.00063
gpqa_orgn_vs_gpqa_ver1,9,10,-0.01051,-0.001405
gpqa_orgn_vs_gpqa_ver1,10,11,-0.042607,0.002759
gpqa_orgn_vs_gpqa_ver1,11,12,-0.000223,-0.00451
gpqa_orgn_vs_gpqa_ver1,12,13,-0.017534,-0.000183
gpqa_orgn_vs_gpqa_ver1,13,14,-0.015515,0.00045
gpqa_orgn_vs_gpqa_ver1,14,15,0.00552,0.000981
gpqa_orgn_vs_gpqa_ver1,15,16,-0.003064,0.000429
gpqa_orgn_vs_gpqa_ver1,16,17,0.011358,-0.000632
gpqa_orgn_vs_gpqa_ver1,17,18,-0.005209,0.000252
gpqa_orgn_vs_gpqa_ver1,18,19,0.009366,0.000822
gpqa_orgn_vs_gpqa_ver1,19,20,-0.010196,-0.000748
gpqa_orgn_vs_gpqa_ver1,20,21,0.023753,-0.000138
gpqa_orgn_vs_gpqa_ver1,21,22,-0.005609,0.000443
gpqa_orgn_vs_gpqa_ver1,22,23,0.009468,0.000145
gpqa_orgn_vs_gpqa_ver1,23,24,0.005419,-0.000499
gpqa_orgn_vs_gpqa_ver1,24,25,-0.006113,0.001195
gpqa_orgn_vs_gpqa_ver1,25,26,0.012288,0.000867
gpqa_orgn_vs_gpqa_ver1,26,27,0.00922,0.001262
gpqa_orgn_vs_gpqa_ver1,27,28,-0.012404,0.000794
gpqa_orgn_vs_gpqa_ver1,28,29,-0.02409,-0.001589
gpqa_orgn_vs_gpqa_ver1,29,30,-0.004365,0.004287
