pair,layer,n_rows,n_layers,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gpqa_orgn_vs_gpqa_ver1,0,1,1,0.114114,,0.114114,0.492805,,0.492805,0.009521,,0.009521
gpqa_orgn_vs_gpqa_ver1,1,1,1,0.592243,,0.592243,0.77867,,0.77867,0.023778,,0.023778
gpqa_orgn_vs_gpqa_ver1,2,1,1,0.616948,,0.616948,0.794391,,0.794391,0.017509,,0.017509
gpqa_orgn_vs_gpqa_ver1,3,1,1,0.579728,,0.579728,0.769041,,0.769041,0.013327,,0.013327
gpqa_orgn_vs_gpqa_ver1,4,1,1,0.547809,,0.547809,0.747628,,0.747628,0.016099,,0.016099
gpqa_orgn_vs_gpqa_ver1,5,1,1,0.56391,,0.56391,0.758578,,0.758578,0.013915,,0.013915
gpqa_orgn_vs_gpqa_ver1,6,1,1,0.507509,,0.507509,0.725075,,0.725075,0.015923,,0.015923
gpqa_orgn_vs_gpqa_ver1,7,1,1,0.47771,,0.47771,0.703226,,0.703226,0.011977,,0.011977
gpqa_orgn_vs_gpqa_ver1,8,1,1,0.518591,,0.518591,0.750407,,0.750407,0.011402,,0.011402
gpqa_orgn_vs_gpqa_ver1,9,1,1,0.506086,,0.506086,0.730309,,0.730309,0.010772,,0.010772
gpqa_orgn_vs_gpqa_ver1,10,1,1,0.489688,,0.489688,0.719799,,0.719799,0.009367,,0.009367
gpqa_orgn_vs_gpqa_ver1,11,1,1,0.443815,,0.443815,0.677192,,0.677192,0.012126,,0.012126
gpqa_orgn_vs_gpqa_ver1,12,1,1,0.433771,,0.433771,0.676969,,0.676969,0.007616,,0.007616
gpqa_orgn_vs_gpqa_ver1,13,1,1,0.410905,,0.410905,0.659435,,0.659435,0.007433,,0.007433
gpqa_orgn_vs_gpqa_ver1,14,1,1,0.3815,,0.3815,0.64392,,0.64392,0.007883,,0.007883
gpqa_orgn_vs_gpqa_ver1,15,1,1,0.390362,,0.390362,0.64944,,0.64944,0.008864,,0.008864
gpqa_orgn_vs_gpqa_ver1,16,1,1,0.39401,,0.39401,0.646376,,0.646376,0.009293,,0.009293
gpqa_orgn_vs_gpqa_ver1,17,1,1,0.415545,,0.415545,0.657734,,0.657734,0.008661,,0.008661
gpqa_orgn_vs_gpqa_ver1,18,1,1,0.429021,,0.429021,0.652525,,0.652525,0.008913,,0.008913
gpqa_orgn_vs_gpqa_ver1,19,1,1,0.433835,,0.433835,0.661891,,0.661891,0.009735,,0.009735
gpqa_orgn_vs_gpqa_ver1,20,1,1,0.435969,,0.435969,0.651695,,0.651695,0.008987,,0.008987
gpqa_orgn_vs_gpqa_ver1,21,1,1,0.465803,,0.465803,0.675448,,0.675448,0.008849,,0.008849
gpqa_orgn_vs_gpqa_ver1,22,1,1,0.45409,,0.45409,0.669839,,0.669839,0.009292,,0.009292
gpqa_orgn_vs_gpqa_ver1,23,1,1,0.478763,,0.478763,0.679307,,0.679307,0.009437,,0.009437
gpqa_orgn_vs_gpqa_ver1,24,1,1,0.481455,,0.481455,0.684726,,0.684726,0.008938,,0.008938
gpqa_orgn_vs_gpqa_ver1,25,1,1,0.474476,,0.474476,0.678613,,0.678613,0.010133,,0.010133
gpqa_orgn_vs_gpqa_ver1,26,1,1,0.492832,,0.492832,0.690901,,0.690901,0.011,,0.011
gpqa_orgn_vs_gpqa_ver1,27,1,1,0.500665,,0.500665,0.700121,,0.700121,0.012262,,0.012262
gpqa_orgn_vs_gpqa_ver1,28,1,1,0.485447,,0.485447,0.687717,,0.687717,0.013056,,0.013056
gpqa_orgn_vs_gpqa_ver1,29,1,1,0.464802,,0.464802,0.663627,,0.663627,0.011467,,0.011467
gpqa_orgn_vs_gpqa_ver1,30,1,1,0.461366,,0.461366,0.659262,,0.659262,0.015754,,0.015754
gpqa_orgn_vs_gpqa_ver1,31,1,1,0.462379,,0.462379,0.664412,,0.664412,0.013993,,0.013993
