stage,component,pair_category,metric,mean,std,median,n_pairs,n_rows
qkv,k,diff_semantic,maxmatch_cosine,0.774328,0.085802,0.765128,4,1280
qkv,k,diff_semantic,mean_pairwise_cosine,0.555546,0.157177,0.525785,4,1280
qkv,k,diff_semantic,mmd_rbf,0.053038,0.017131,0.052388,4,1280
qkv,q,diff_semantic,maxmatch_cosine,0.755012,0.068315,0.750711,4,6400
qkv,q,diff_semantic,mean_pairwise_cosine,0.546484,0.115348,0.539689,4,6400
qkv,q,diff_semantic,mmd_rbf,0.056741,0.019316,0.053921,4,6400
qkv,v,diff_semantic,maxmatch_cosine,0.416605,0.088905,0.402707,4,1280
qkv,v,diff_semantic,mean_pairwise_cosine,0.067074,0.06556,0.047514,4,1280
qkv,v,diff_semantic,mmd_rbf,0.028835,0.020583,0.023748,4,1280
qkv,k,same_semantic_diff_surface,maxmatch_cosine,0.817462,0.074376,0.815525,2,640
qkv,k,same_semantic_diff_surface,mean_pairwise_cosine,0.578681,0.156276,0.563032,2,640
qkv,k,same_semantic_diff_surface,mmd_rbf,0.011582,0.012344,0.007546,2,640
qkv,q,same_semantic_diff_surface,maxmatch_cosine,0.796802,0.061338,0.795178,2,3200
qkv,q,same_semantic_diff_surface,mean_pairwise_cosine,0.570423,0.116697,0.566946,2,3200
qkv,q,same_semantic_diff_surface,mmd_rbf,0.013976,0.01815,0.008242,2,3200
qkv,v,same_semantic_diff_surface,maxmatch_cosine,0.513144,0.07582,0.506116,2,640
qkv,v,same_semantic_diff_surface,mean_pairwise_cosine,0.085815,0.070721,0.06563,2,640
qkv,v,same_semantic_diff_surface,mmd_rbf,0.012122,0.015197,0.007984,2,640
head_output,head_output,diff_semantic,maxmatch_cosine,0.603392,0.142671,0.587415,4,6400
head_output,head_output,diff_semantic,mean_pairwise_cosine,0.24293,0.192707,0.190071,4,6400
head_output,head_output,diff_semantic,mmd_rbf,0.059447,0.050442,0.044426,4,6400
head_output,head_output,diff_semantic,l2_mean,4.091653,5.322142,2.636966,4,6400
head_output,head_output,same_semantic_diff_surface,maxmatch_cosine,0.726549,0.110357,0.730768,2,3200
head_output,head_output,same_semantic_diff_surface,mean_pairwise_cosine,0.285645,0.191918,0.234925,2,3200
head_output,head_output,same_semantic_diff_surface,mmd_rbf,0.024178,0.039533,0.010277,2,3200
head_output,head_output,same_semantic_diff_surface,l2_mean,3.991146,5.306339,2.487328,2,3200
residual,residual,diff_semantic,maxmatch_cosine,0.61485,0.07521,0.610303,4,164
residual,residual,diff_semantic,mean_pairwise_cosine,0.446253,0.102581,0.455908,4,164
residual,residual,diff_semantic,mmd_rbf,0.050345,0.054151,0.043501,4,164
residual,residual,same_semantic_diff_surface,maxmatch_cosine,0.671577,0.072991,0.677027,2,82
residual,residual,same_semantic_diff_surface,mean_pairwise_cosine,0.457628,0.111567,0.476093,2,82
residual,residual,same_semantic_diff_surface,mmd_rbf,0.033804,0.0795,0.01743,2,82
