pair,pair_category,source_file_or_stage,component,metric,mean,std,median,min,max,n_rows,note
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,k,mean_pairwise_cosine,0.541434,0.165748,0.512723,0.152674,0.987746,320,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,k,maxmatch_cosine,0.796902,0.07742,0.787195,0.551847,0.995401,320,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,k,mmd_rbf,0.007595,0.004997,0.006276,0.0042,0.050531,320,mmd_rbf: lower means more similar; component-local scale
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,q,mean_pairwise_cosine,0.540882,0.116716,0.530648,0.205673,0.915672,1600,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,q,maxmatch_cosine,0.779186,0.062483,0.774144,0.622168,0.966846,1600,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,q,mmd_rbf,0.008931,0.008492,0.006594,0.003625,0.13081,1600,mmd_rbf: lower means more similar; component-local scale
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,v,mean_pairwise_cosine,0.075093,0.064789,0.05709,0.00705,0.477565,320,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,v,maxmatch_cosine,0.50869,0.075298,0.496972,0.362016,0.819008,320,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,qkv,v,mmd_rbf,0.008426,0.00782,0.006511,0.004147,0.107025,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,k,mean_pairwise_cosine,0.558315,0.15711,0.530455,0.157144,0.987946,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,k,maxmatch_cosine,0.777241,0.085656,0.767093,0.469872,0.995059,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,k,mmd_rbf,0.050623,0.016356,0.050111,0.015883,0.192627,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,q,mean_pairwise_cosine,0.549607,0.114184,0.543412,0.22764,0.91653,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,q,maxmatch_cosine,0.75944,0.067637,0.757402,0.589796,0.956354,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,q,mmd_rbf,0.053655,0.016552,0.051566,0.015266,0.146018,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,v,mean_pairwise_cosine,0.068666,0.067116,0.047626,0.006083,0.473658,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,v,maxmatch_cosine,0.430909,0.095957,0.420078,0.256752,0.807748,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,qkv,v,mmd_rbf,0.02614,0.017179,0.021448,0.006321,0.159857,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,k,mean_pairwise_cosine,0.55475,0.157579,0.52516,0.163635,0.987487,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,k,maxmatch_cosine,0.77154,0.086687,0.761747,0.475888,0.994671,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,k,mmd_rbf,0.054263,0.017044,0.053514,0.01763,0.195734,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,q,mean_pairwise_cosine,0.545645,0.115268,0.538097,0.213538,0.916999,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,q,maxmatch_cosine,0.752099,0.068847,0.746144,0.584686,0.956025,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,q,mmd_rbf,0.059906,0.02021,0.057056,0.016517,0.206268,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,v,mean_pairwise_cosine,0.065477,0.064677,0.046531,0.004892,0.451247,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,v,maxmatch_cosine,0.404364,0.083917,0.393914,0.254839,0.774975,320,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,qkv,v,mmd_rbf,0.029551,0.021412,0.024104,0.007911,0.211892,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,qkv,k,mean_pairwise_cosine,0.615929,0.136622,0.592356,0.246761,0.987766,320,cosine: higher means more similar
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,qkv,k,maxmatch_cosine,0.838022,0.065108,0.836592,0.632104,0.994883,320,cosine: higher means more similar
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,qkv,k,mmd_rbf,0.01557,0.01576,0.01048,0.004673,0.133109,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,qkv,q,mean_pairwise_cosine,0.599964,0.108976,0.596066,0.279539,0.927265,1600,cosine: higher means more similar
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,qkv,q,maxmatch_cosine,0.814418,0.05479,0.809208,0.602833,0.9736,1600,cosine: higher means more similar
