pair,component,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,pair_category,language_pair,same_task,same_version
gpqa_orgn_vs_gpqa_ver1,k,320,40,8,0.541434,0.165748,0.512723,0.796902,0.07742,0.787195,0.007595,0.004997,0.006276,same_semantic_diff_surface,cross_lang,True,False
gpqa_orgn_vs_gpqa_ver1,q,1600,40,40,0.540882,0.116716,0.530648,0.779186,0.062483,0.774144,0.008931,0.008492,0.006594,same_semantic_diff_surface,cross_lang,True,False
gpqa_orgn_vs_gpqa_ver1,v,320,40,8,0.075093,0.064789,0.05709,0.50869,0.075298,0.496972,0.008426,0.00782,0.006511,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gpqa_orgn,k,320,40,8,0.558315,0.15711,0.530455,0.777241,0.085656,0.767093,0.050623,0.016356,0.050111,diff_semantic,same_lang,False,True
gsm8k_orgn_vs_gpqa_orgn,q,1600,40,40,0.549607,0.114184,0.543412,0.75944,0.067637,0.757402,0.053655,0.016552,0.051566,diff_semantic,same_lang,False,True
gsm8k_orgn_vs_gpqa_orgn,v,320,40,8,0.068666,0.067116,0.047626,0.430909,0.095957,0.420078,0.02614,0.017179,0.021448,diff_semantic,same_lang,False,True
gsm8k_orgn_vs_gpqa_ver1,k,320,40,8,0.55475,0.157579,0.52516,0.77154,0.086687,0.761747,0.054263,0.017044,0.053514,diff_semantic,cross_lang,False,False
gsm8k_orgn_vs_gpqa_ver1,q,1600,40,40,0.545645,0.115268,0.538097,0.752099,0.068847,0.746144,0.059906,0.02021,0.057056,diff_semantic,cross_lang,False,False
gsm8k_orgn_vs_gpqa_ver1,v,320,40,8,0.065477,0.064677,0.046531,0.404364,0.083917,0.393914,0.029551,0.021412,0.024104,diff_semantic,cross_lang,False,False
gsm8k_orgn_vs_gsm8k_ver1,k,320,40,8,0.615929,0.136622,0.592356,0.838022,0.065108,0.836592,0.01557,0.01576,0.01048,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gsm8k_ver1,q,1600,40,40,0.599964,0.108976,0.596066,0.814418,0.05479,0.809208,0.019021,0.023152,0.01124,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gsm8k_ver1,v,320,40,8,0.096537,0.074768,0.077388,0.517599,0.076196,0.518884,0.015819,0.01934,0.010056,same_semantic_diff_surface,cross_lang,True,False
gsm8k_ver1_vs_gpqa_orgn,k,320,40,8,0.55434,0.157367,0.525605,0.771301,0.08686,0.76342,0.056155,0.018881,0.054466,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_orgn,q,1600,40,40,0.544258,0.115192,0.535908,0.750427,0.06803,0.745672,0.05957,0.022706,0.055435,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_orgn,v,320,40,8,0.063785,0.06317,0.045072,0.401084,0.081931,0.389276,0.032836,0.025196,0.02678,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_ver1,k,320,40,8,0.554778,0.157356,0.525161,0.777229,0.084184,0.767685,0.051111,0.015535,0.050392,diff_semantic,same_lang,False,True
gsm8k_ver1_vs_gpqa_ver1,q,1600,40,40,0.546426,0.116777,0.539324,0.758082,0.068375,0.75616,0.053833,0.016099,0.052222,diff_semantic,same_lang,False,True
gsm8k_ver1_vs_gpqa_ver1,v,320,40,8,0.07037,0.067292,0.05167,0.430061,0.089161,0.415562,0.026812,0.0168,0.02325,diff_semantic,same_lang,False,True
