pair,n_tokens_a,n_tokens_b,n_items_a,n_items_b,stage,pooled_token_diff,pair_category,language_pair,same_task,same_version
gsm8k_orgn_vs_gsm8k_ver1,256,256,50,50,qkv,0,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gpqa_orgn,256,256,50,50,qkv,0,diff_semantic,same_lang,False,True
gsm8k_orgn_vs_gpqa_ver1,256,256,50,50,qkv,0,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_orgn,256,256,50,50,qkv,0,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_ver1,256,256,50,50,qkv,0,diff_semantic,same_lang,False,True
gpqa_orgn_vs_gpqa_ver1,256,256,50,50,qkv,0,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gsm8k_ver1,256,256,50,50,head_output,0,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gpqa_orgn,256,256,50,50,head_output,0,diff_semantic,same_lang,False,True
gsm8k_orgn_vs_gpqa_ver1,256,256,50,50,head_output,0,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_orgn,256,256,50,50,head_output,0,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_ver1,256,256,50,50,head_output,0,diff_semantic,same_lang,False,True
gpqa_orgn_vs_gpqa_ver1,256,256,50,50,head_output,0,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gsm8k_ver1,256,256,50,50,residual,0,same_semantic_diff_surface,cross_lang,True,False
gsm8k_orgn_vs_gpqa_orgn,256,256,50,50,residual,0,diff_semantic,same_lang,False,True
gsm8k_orgn_vs_gpqa_ver1,256,256,50,50,residual,0,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_orgn,256,256,50,50,residual,0,diff_semantic,cross_lang,False,False
gsm8k_ver1_vs_gpqa_ver1,256,256,50,50,residual,0,diff_semantic,same_lang,False,True
gpqa_orgn_vs_gpqa_ver1,256,256,50,50,residual,0,same_semantic_diff_surface,cross_lang,True,False
