case_idx,exec_idx,step,entropy_normalized,entropy_raw,js_soft_top1,js_soft_top2,top1_token_id,top1_token_text,top1_prob,top2_token_id,top2_token_text,top2_prob
0,0,0,1e-06,1e-05,0.999965,0.999966,151667,<think>,1.0,115437,枕头,0.0
0,0,1,0.449309,5.360017,0.738911,0.74442,198,\n,0.220565,271,\n,0.125674
0,0,2,0.113106,1.349293,0.981742,0.985977,9370,的,0.708317,271,\n,0.065884
0,0,3,0.0,0.0,0.99735,0.998149,271,\n,1.0,1406,\n,0.0
0,0,4,3.2e-05,0.000385,0.997261,0.999307,271,\n,0.999972,198,\n,1.2e-05
0,0,5,0.008965,0.106943,0.987355,0.983976,271,\n,0.988606,11,",",0.003565
0,0,6,0.106414,1.269458,0.981648,0.978258,271,\n,0.723077,9370,的,0.110887
0,0,7,2e-06,2.6e-05,0.997341,0.999402,271,\n,0.999998,198,\n,2e-06
0,0,8,0.005892,0.070293,0.990633,0.984851,271,\n,0.991891,198,\n,0.004593
0,0,9,0.04469,0.533122,0.961454,0.934341,271,\n,0.920009,198,\n,0.045805
0,0,10,0.033868,0.404028,0.95498,0.950704,271,\n,0.960855,198,\n,0.016532
0,0,11,0.412076,4.915844,0.692972,0.658272,271,\n,0.408258,198,\n,0.124512
0,0,12,0.816994,9.746294,0.400601,0.431003,33108,和,0.009092,16,1,0.006863
0,0,13,0.807809,9.636727,0.398775,0.384637,16,1,0.013127,24,9,0.011952
0,0,14,0.781628,9.324391,0.58086,0.397067,198,\n,0.127953,271,\n,0.013486
0,0,15,0.22147,2.642017,0.873115,0.844402,271,\n,0.597893,311, to,0.071408
0,0,16,0.714027,8.51795,0.461179,0.55928,11,",",0.068862,198,\n,0.05198
0,0,17,0.370207,4.41637,0.692066,0.710169,11,",",0.439108,13,.,0.142558
0,0,18,0.280401,3.345036,0.896478,0.895901,9370,的,0.29559,101042,分析,0.139627
0,0,19,0.164615,1.96377,0.898994,0.847023,271,\n,0.622829,198,\n,0.202203
0,0,20,0.782434,9.334017,0.434294,0.416067,16,1,0.029554,24,9,0.026081
0,0,21,0.3377,4.028582,0.850464,0.842626,231,�,0.138199,16,1,0.12196
0,0,22,0.789732,9.421076,0.451105,0.463423,33108,和,0.012849,16,1,0.008559
0,0,23,0.692317,8.258963,0.526551,0.544143,11,",",0.058385,323, and,0.036536
0,0,24,0.208414,2.48626,0.847488,0.899585,11,",",0.368196,271,\n,0.305245
0,0,25,0.203821,2.431474,0.895963,0.935309,16,1,0.327011,12,-,0.254676
0,0,26,0.14099,1.681934,0.958826,0.966912,16,1,0.514882,20,5,0.147516
0,0,27,0.742571,8.858469,0.51563,0.497179,16,1,0.061098,24,9,0.037058
0,0,28,0.327145,3.902665,0.907915,0.892128,271,\n,0.409379,111,�,0.029655
0,0,29,0.630025,7.515853,0.595361,0.608179,11,",",0.092465,323, and,0.056083
0,0,30,0.090546,1.08017,0.980588,0.978793,16,1,0.749918,15,0,0.061557
0,0,31,0.79617,9.497869,0.500659,0.478907,16,1,0.026478,24,9,0.026478
0,0,32,0.071524,0.853237,0.935093,0.923945,271,\n,0.899018,198,\n,0.034859
0,0,33,0.837376,9.989435,0.398801,0.416078,33108,和,0.00872,18493,在,0.005809
0,0,34,0.690533,8.237685,0.564881,0.61896,244,�,0.061434,13,.,0.037262
0,0,35,0.874952,10.4377,0.376067,0.333826,16,1,0.005986,33108,和,0.00512
0,0,36,0.760171,9.068432,0.489351,0.4543,198,\n,0.075411,11,",",0.036753
0,0,37,0.642956,7.670116,0.553539,0.570593,11,",",0.106414,323, and,0.035644
0,0,38,0.733059,8.744995,0.669966,0.551134,198,\n,0.04053,11,",",0.035768
0,0,39,0.555958,6.632279,0.560076,0.571027,11,",",0.199244,13,.,0.083057
0,0,40,0.539868,6.440327,0.596878,0.604675,45,N,0.155921,396,int,0.078402
0,1,0,6e-06,6.8e-05,0.999953,0.999944,151667,<think>,0.999996,50637,atori,1e-06
0,1,1,0.780602,9.312155,0.602471,0.583726,16,1,0.017355,19186,olas,0.012697
0,1,2,0.783884,9.351309,0.565922,0.569444,19186,olas,0.015214,24,9,0.011849
0,1,3,0.04684,0.558773,0.993941,0.932128,271,\n,0.754799,198,\n,0.245047
