================================================================================
cosine_similarity by layer
================================================================================
layer	version	mean	std
0	ver1to2	0.971435	0.018967
1	ver1to2	0.868059	0.035630
2	ver1to2	0.686662	0.095619
3	ver1to2	0.680934	0.092746
4	ver1to2	0.848343	0.064424
5	ver1to2	0.820983	0.070188
6	ver1to2	0.766968	0.073816
7	ver1to2	0.565813	0.116082
8	ver1to2	0.837202	0.056943
9	ver1to2	0.528274	0.161888
10	ver1to2	0.858089	0.050127
11	ver1to2	0.753255	0.089512
12	ver1to2	0.678520	0.113115
13	ver1to2	0.535955	0.172576
14	ver1to2	0.745194	0.091848
15	ver1to2	0.620383	0.151636
16	ver1to2	0.665941	0.137277
17	ver1to2	0.647110	0.161990
18	ver1to2	0.645456	0.166141
19	ver1to2	0.673667	0.127043
20	ver1to2	0.622587	0.162542
21	ver1to2	0.668686	0.144493
22	ver1to2	0.731608	0.110430
23	ver1to2	0.730998	0.121453
24	ver1to2	0.611615	0.170864
25	ver1to2	0.702451	0.105947
26	ver1to2	0.581477	0.162419
27	ver1to2	0.639224	0.131758
28	ver1to2	0.616152	0.135716
29	ver1to2	0.566883	0.177954
30	ver1to2	0.703664	0.099249
31	ver1to2	0.588112	0.148049
32	ver1to2	0.641306	0.109442
33	ver1to2	0.510171	0.178484
34	ver1to2	0.613167	0.116840
35	ver1to2	0.782081	0.061873
0	ver1to3	0.971073	0.019622
1	ver1to3	0.865855	0.035162
2	ver1to3	0.681039	0.092913
3	ver1to3	0.671229	0.091921
4	ver1to3	0.846352	0.064192
5	ver1to3	0.817810	0.070746
6	ver1to3	0.763516	0.075884
7	ver1to3	0.559572	0.112779
8	ver1to3	0.833131	0.056974
9	ver1to3	0.520756	0.159997
10	ver1to3	0.856011	0.050670
11	ver1to3	0.749601	0.089856
12	ver1to3	0.670863	0.114239
13	ver1to3	0.530316	0.173493
14	ver1to3	0.743263	0.092090
15	ver1to3	0.618434	0.150664
16	ver1to3	0.660729	0.135997
