================================================================================
cosine_similarity by layer
================================================================================
layer	version	mean	std
0	ver1to2	1.000000	0.000000
1	ver1to2	0.999200	0.000410
2	ver1to2	0.996400	0.001603
3	ver1to2	0.997100	0.001119
4	ver1to2	0.998950	0.000394
5	ver1to2	0.998850	0.000489
6	ver1to2	0.998800	0.000410
7	ver1to2	0.995900	0.001586
8	ver1to2	0.999000	0.000324
9	ver1to2	0.994200	0.002608
10	ver1to2	0.999200	0.000410
11	ver1to2	0.998800	0.000410
12	ver1to2	0.997650	0.000988
13	ver1to2	0.995150	0.002059
14	ver1to2	0.998700	0.000733
15	ver1to2	0.996400	0.001818
16	ver1to2	0.996700	0.001525
17	ver1to2	0.996400	0.001698
18	ver1to2	0.996700	0.001867
19	ver1to2	0.997450	0.001191
20	ver1to2	0.995550	0.001849
21	ver1to2	0.997150	0.001268
22	ver1to2	0.997700	0.000923
23	ver1to2	0.997900	0.000718
24	ver1to2	0.995800	0.001508
25	ver1to2	0.997550	0.000759
26	ver1to2	0.996250	0.001164
27	ver1to2	0.995850	0.001309
28	ver1to2	0.996300	0.001031
29	ver1to2	0.994950	0.001538
30	ver1to2	0.996800	0.000834
31	ver1to2	0.994300	0.001625
32	ver1to2	0.993850	0.002084
33	ver1to2	0.993500	0.001906
34	ver1to2	0.994250	0.001585
35	ver1to2	0.997400	0.000681
0	ver1to3	1.000000	0.000000
1	ver1to3	0.999200	0.000410
2	ver1to3	0.996250	0.001585
3	ver1to3	0.996850	0.001348
4	ver1to3	0.998900	0.000308
5	ver1to3	0.998600	0.000598
6	ver1to3	0.998500	0.000607
7	ver1to3	0.995450	0.001605
8	ver1to3	0.998900	0.000447
9	ver1to3	0.993250	0.002954
10	ver1to3	0.999050	0.000224
11	ver1to3	0.998450	0.000510
12	ver1to3	0.997150	0.001040
13	ver1to3	0.994300	0.002203
14	ver1to3	0.998400	0.000681
15	ver1to3	0.996050	0.001317
16	ver1to3	0.996250	0.001164
17	ver1to3	0.995800	0.001399
18	ver1to3	0.996100	0.001651
19	ver1to3	0.996950	0.001276
20	ver1to3	0.994700	0.002250
21	ver1to3	0.996600	0.001501
22	ver1to3	0.997300	0.001031
23	ver1to3	0.997600	0.001095
24	ver1to3	0.995050	0.002188
25	ver1to3	0.997100	0.000912
26	ver1to3	0.995500	0.001573
27	ver1to3	0.995450	0.001468
28	ver1to3	0.996000	0.001298
29	ver1to3	0.994550	0.001820
30	ver1to3	0.996650	0.000875
31	ver1to3	0.993850	0.001755
32	ver1to3	0.993650	0.002300
33	ver1to3	0.993100	0.002315
34	ver1to3	0.993900	0.001804
35	ver1to3	0.997350	0.000813
0	ver2to3	1.000000	0.000000
1	ver2to3	1.000000	0.000000
2	ver2to3	0.999200	0.000410
3	ver2to3	0.999050	0.000224
4	ver2to3	0.999900	0.000308
5	ver2to3	0.999800	0.000410
6	ver2to3	0.999700	0.000470
7	ver2to3	0.998100	0.001210
8	ver2to3	0.999550	0.000510
9	ver2to3	0.996750	0.001552
10	ver2to3	0.999800	0.000410
11	ver2to3	0.999150	0.000366
12	ver2to3	0.998650	0.000587
13	ver2to3	0.997050	0.001395
14	ver2to3	0.999050	0.000394
15	ver2to3	0.998000	0.001076
16	ver2to3	0.997850	0.000988
17	ver2to3	0.997750	0.001164
18	ver2to3	0.997600	0.001429
19	ver2to3	0.998300	0.001031
20	ver2to3	0.997000	0.002128
21	ver2to3	0.998050	0.001538
22	ver2to3	0.998550	0.000686
23	ver2to3	0.998500	0.000946
24	ver2to3	0.997450	0.002164
25	ver2to3	0.998800	0.000523
26	ver2to3	0.997850	0.001348
27	ver2to3	0.998450	0.000826
28	ver2to3	0.998300	0.000979
29	ver2to3	0.998150	0.001137
30	ver2to3	0.998950	0.000224
31	ver2to3	0.998500	0.000688
32	ver2to3	0.998950	0.000394
33	ver2to3	0.998150	0.000875
34	ver2to3	0.998850	0.000366
35	ver2to3	0.999700	0.000470
0	version1	1.000000	0.000000
1	version1	0.999250	0.000444
2	version1	0.996450	0.001504
3	version1	0.997050	0.001050
4	version1	0.998950	0.000224
5	version1	0.998750	0.000444
6	version1	0.998600	0.000503
7	version1	0.996150	0.001663
8	version1	0.998900	0.000308
9	version1	0.994700	0.002430
10	version1	0.999300	0.000571
11	version1	0.998600	0.000681
12	version1	0.997700	0.001031
13	version1	0.995650	0.002084
14	version1	0.998600	0.000681
15	version1	0.996800	0.001704
16	version1	0.997050	0.001395
17	version1	0.996850	0.001424
18	version1	0.996900	0.001410
19	version1	0.997750	0.001164
20	version1	0.996050	0.001905
21	version1	0.997500	0.001192
22	version1	0.997900	0.001021
23	version1	0.998100	0.000968
24	version1	0.996000	0.001686
25	version1	0.997600	0.000821
26	version1	0.996300	0.001418
27	version1	0.996000	0.001622
28	version1	0.996500	0.001357
29	version1	0.995050	0.001959
30	version1	0.996700	0.000923
31	version1	0.994250	0.001943
32	version1	0.993750	0.002359
33	version1	0.993700	0.002130
34	version1	0.994300	0.001867
35	version1	0.997500	0.000761
0	version2	1.000000	0.000000
1	version2	0.999900	0.000308
2	version2	0.999000	0.000858
3	version2	0.999000	0.000858
4	version2	0.999850	0.000366
5	version2	0.999800	0.000523
6	version2	0.999800	0.000523
7	version2	0.998450	0.001317
8	version2	0.999800	0.000410
9	version2	0.997500	0.001906
10	version2	0.999850	0.000366
11	version2	0.999600	0.000598
12	version2	0.998900	0.000852
13	version2	0.997850	0.001663
14	version2	0.999400	0.000754
15	version2	0.998350	0.001424
16	version2	0.998400	0.001142
17	version2	0.998350	0.001226
18	version2	0.998350	0.001268
19	version2	0.998700	0.000865
20	version2	0.998000	0.001338
21	version2	0.998650	0.001040
