================================================================================
cosine_similarity by layer
================================================================================
layer	version	mean	std
0	ver1to2	0.968940	0.019280
1	ver1to2	0.834337	0.042459
2	ver1to2	0.640884	0.103632
3	ver1to2	0.632309	0.103767
4	ver1to2	0.825723	0.066872
5	ver1to2	0.751094	0.084519
6	ver1to2	0.719097	0.080652
7	ver1to2	0.487962	0.130430
8	ver1to2	0.818339	0.059043
9	ver1to2	0.482959	0.176081
10	ver1to2	0.829527	0.057080
11	ver1to2	0.721514	0.093530
12	ver1to2	0.647827	0.117002
13	ver1to2	0.502505	0.182731
14	ver1to2	0.722050	0.093605
15	ver1to2	0.578409	0.156853
16	ver1to2	0.637045	0.141015
17	ver1to2	0.641408	0.163160
18	ver1to2	0.643514	0.163955
19	ver1to2	0.648774	0.130449
20	ver1to2	0.619611	0.166069
21	ver1to2	0.654722	0.145715
22	ver1to2	0.707619	0.112257
23	ver1to2	0.712834	0.117459
24	ver1to2	0.602174	0.173489
25	ver1to2	0.669242	0.110992
26	ver1to2	0.556201	0.163148
27	ver1to2	0.589359	0.141221
28	ver1to2	0.575260	0.141080
29	ver1to2	0.547706	0.183049
30	ver1to2	0.669906	0.105337
31	ver1to2	0.552708	0.151619
32	ver1to2	0.600992	0.120675
33	ver1to2	0.496438	0.191161
34	ver1to2	0.587317	0.124785
35	ver1to2	0.746143	0.069547
0	ver1to3	0.969719	0.019532
1	ver1to3	0.833201	0.037213
2	ver1to3	0.640315	0.093492
3	ver1to3	0.628198	0.096395
4	ver1to3	0.826026	0.065665
5	ver1to3	0.750802	0.076832
6	ver1to3	0.712664	0.073637
7	ver1to3	0.479885	0.112129
8	ver1to3	0.816188	0.055023
9	ver1to3	0.480589	0.171990
10	ver1to3	0.830472	0.052583
11	ver1to3	0.720040	0.087624
12	ver1to3	0.646499	0.112086
13	ver1to3	0.496161	0.180809
14	ver1to3	0.713710	0.087876
15	ver1to3	0.570890	0.155369
16	ver1to3	0.634803	0.138952
17	ver1to3	0.636417	0.165778
