================================================================================
cosine_similarity by layer
================================================================================
layer	version	mean	std
0	ver1to2	0.999250	0.001020
1	ver1to2	0.995300	0.004589
2	ver1to2	0.983650	0.015048
3	ver1to2	0.982750	0.017220
4	ver1to2	0.992900	0.007497
5	ver1to2	0.986750	0.014271
6	ver1to2	0.987700	0.012819
7	ver1to2	0.972450	0.026164
8	ver1to2	0.992600	0.007816
9	ver1to2	0.948750	0.051587
10	ver1to2	0.990350	0.011047
11	ver1to2	0.986750	0.014360
12	ver1to2	0.974900	0.026437
13	ver1to2	0.943300	0.059139
14	ver1to2	0.982000	0.019722
15	ver1to2	0.952200	0.051237
16	ver1to2	0.955300	0.050469
17	ver1to2	0.948900	0.058355
18	ver1to2	0.958500	0.047493
19	ver1to2	0.963350	0.041683
20	ver1to2	0.940650	0.069661
21	ver1to2	0.961750	0.043350
22	ver1to2	0.965600	0.040250
23	ver1to2	0.972050	0.032217
24	ver1to2	0.947350	0.060226
25	ver1to2	0.974250	0.029194
26	ver1to2	0.954500	0.051512
27	ver1to2	0.956650	0.048327
28	ver1to2	0.967600	0.036704
29	ver1to2	0.950850	0.055551
30	ver1to2	0.979200	0.022147
31	ver1to2	0.958700	0.045599
32	ver1to2	0.967700	0.032698
33	ver1to2	0.937000	0.072624
34	ver1to2	0.966400	0.035957
35	ver1to2	0.986850	0.014262
0	ver1to3	0.999500	0.000946
1	ver1to3	0.996150	0.003528
2	ver1to3	0.986550	0.012002
3	ver1to3	0.985650	0.014012
4	ver1to3	0.994350	0.006158
5	ver1to3	0.989550	0.011523
6	ver1to3	0.990450	0.010536
7	ver1to3	0.977600	0.021451
8	ver1to3	0.993850	0.006515
9	ver1to3	0.959150	0.040849
10	ver1to3	0.992350	0.008899
11	ver1to3	0.989000	0.012074
12	ver1to3	0.979750	0.021805
13	ver1to3	0.954200	0.049991
14	ver1to3	0.985200	0.016957
15	ver1to3	0.961550	0.043287
16	ver1to3	0.964450	0.042193
17	ver1to3	0.960250	0.047286
18	ver1to3	0.966000	0.039266
19	ver1to3	0.971150	0.034336
20	ver1to3	0.953500	0.057092
21	ver1to3	0.970200	0.036215
22	ver1to3	0.973150	0.032660
23	ver1to3	0.977500	0.027592
24	ver1to3	0.958250	0.050411
25	ver1to3	0.979250	0.024794
26	ver1to3	0.963950	0.042543
27	ver1to3	0.966250	0.038879
28	ver1to3	0.973450	0.030896
29	ver1to3	0.961150	0.045518
30	ver1to3	0.983550	0.017518
31	ver1to3	0.967050	0.037106
32	ver1to3	0.974550	0.025405
33	ver1to3	0.951250	0.059296
34	ver1to3	0.973650	0.029018
35	ver1to3	0.989350	0.011301
0	ver2to3	0.999400	0.000940
1	ver2to3	0.996600	0.004593
2	ver2to3	0.987700	0.015455
3	ver2to3	0.986500	0.017059
4	ver2to3	0.994500	0.007302
5	ver2to3	0.989500	0.014133
6	ver2to3	0.990500	0.012584
7	ver2to3	0.978200	0.026333
8	ver2to3	0.994000	0.007914
9	ver2to3	0.958400	0.051330
10	ver2to3	0.992200	0.010744
11	ver2to3	0.989100	0.014433
12	ver2to3	0.980000	0.025200
13	ver2to3	0.954600	0.055687
14	ver2to3	0.985500	0.018551
15	ver2to3	0.961900	0.047194
16	ver2to3	0.964700	0.045526
17	ver2to3	0.959450	0.050443
18	ver2to3	0.966300	0.041790
19	ver2to3	0.971500	0.035703
20	ver2to3	0.953550	0.057351
21	ver2to3	0.969500	0.037323
22	ver2to3	0.972900	0.036218
23	ver2to3	0.977850	0.028244
24	ver2to3	0.958550	0.051128
25	ver2to3	0.980200	0.025739
26	ver2to3	0.964650	0.044467
27	ver2to3	0.967300	0.042550
28	ver2to3	0.974850	0.031779
29	ver2to3	0.962550	0.047825
30	ver2to3	0.984400	0.020371
31	ver2to3	0.969700	0.038332
32	ver2to3	0.977600	0.029219
33	ver2to3	0.955200	0.057607
34	ver2to3	0.976200	0.031447
35	ver2to3	0.990650	0.012840
0	version1	0.999550	0.000999
1	version1	0.996450	0.003348
2	version1	0.988050	0.011888
3	version1	0.987400	0.013919
4	version1	0.994750	0.005973
5	version1	0.990600	0.010831
6	version1	0.991450	0.009902
7	version1	0.980500	0.020067
8	version1	0.994950	0.005633
9	version1	0.965600	0.038037
10	version1	0.993350	0.008530
11	version1	0.990900	0.010442
12	version1	0.982850	0.019378
13	version1	0.959550	0.048899
14	version1	0.987600	0.015405
15	version1	0.966550	0.041612
16	version1	0.970100	0.038305
17	version1	0.965750	0.046121
18	version1	0.971250	0.038945
19	version1	0.974850	0.033039
20	version1	0.959550	0.056163
21	version1	0.973650	0.034911
22	version1	0.977550	0.029895
23	version1	0.980850	0.025311
24	version1	0.963050	0.049172
25	version1	0.982550	0.022194
26	version1	0.968900	0.040280
27	version1	0.970800	0.035920
28	version1	0.977100	0.028711
29	version1	0.965550	0.043452
30	version1	0.985300	0.016483
31	version1	0.970850	0.035403
32	version1	0.976800	0.024380
33	version1	0.956250	0.057360
34	version1	0.976650	0.026955
35	version1	0.990700	0.010367
0	version2	0.999750	0.000550
1	version2	0.997600	0.003470
2	version2	0.991750	0.010906
3	version2	0.990850	0.012253
4	version2	0.996500	0.005042
5	version2	0.992950	0.009600
6	version2	0.993750	0.008687
7	version2	0.984900	0.018390
8	version2	0.996000	0.005361
9	version2	0.971750	0.036941
10	version2	0.994950	0.007345
11	version2	0.992950	0.010034
12	version2	0.986650	0.018308
13	version2	0.969550	0.040853
14	version2	0.990350	0.013781
15	version2	0.974000	0.036666
16	version2	0.976700	0.034938
17	version2	0.972950	0.041777
18	version2	0.978300	0.033999
19	version2	0.981450	0.027899
20	version2	0.969900	0.047600
21	version2	0.980400	0.029960
22	version2	0.982850	0.027147
23	version2	0.985800	0.021390
24	version2	0.973700	0.040190
25	version2	0.987200	0.018766
26	version2	0.976750	0.034850
27	version2	0.978200	0.032348
28	version2	0.983300	0.024564
29	version2	0.975850	0.035992
30	version2	0.990050	0.014870
31	version2	0.979700	0.029944
32	version2	0.985250	0.022313
33	version2	0.970050	0.045795
34	version2	0.984500	0.023719
35	version2	0.993750	0.009136
0	version3	0.999550	0.000759
1	version3	0.997350	0.003843
2	version3	0.990650	0.012457
3	version3	0.989800	0.013301
4	version3	0.995950	0.005853
5	version3	0.991950	0.011500
6	version3	0.993050	0.009907
7	version3	0.983700	0.021074
8	version3	0.995650	0.006343
9	version3	0.970550	0.040991
10	version3	0.994400	0.008762
11	version3	0.992300	0.012014
12	version3	0.986450	0.020075
13	version3	0.968700	0.045326
14	version3	0.989900	0.015580
15	version3	0.974150	0.039969
16	version3	0.976350	0.038560
17	version3	0.973600	0.041233
18	version3	0.977950	0.035521
19	version3	0.980900	0.029412
20	version3	0.969900	0.047246
21	version3	0.980000	0.030556
22	version3	0.981850	0.028969
23	version3	0.985150	0.023093
24	version3	0.973050	0.041538
25	version3	0.986550	0.020242
26	version3	0.976700	0.035443
27	version3	0.977750	0.033664
28	version3	0.983000	0.025709
29	version3	0.974650	0.037867
30	version3	0.988850	0.016181
31	version3	0.979500	0.030247
32	version3	0.984150	0.023259
33	version3	0.970450	0.044922
34	version3	0.983900	0.024434
35	version3	0.993350	0.010017

================================================================================
js_divergence by layer
================================================================================
layer	version	mean	std
0	ver1to2	0.000000	0.000000
1	ver1to2	0.013950	0.020294
2	ver1to2	0.024900	0.030974
3	ver1to2	0.015050	0.016605
4	ver1to2	0.032700	0.035119
5	ver1to2	0.001000	0.001414
6	ver1to2	0.002850	0.003167
7	ver1to2	0.000300	0.000571
8	ver1to2	0.002000	0.002616
9	ver1to2	0.045700	0.051653
10	ver1to2	0.000250	0.000444
11	ver1to2	0.044150	0.057590
12	ver1to2	0.004550	0.005717
13	ver1to2	0.033400	0.038359
14	ver1to2	0.004900	0.004930
15	ver1to2	0.011900	0.013167
16	ver1to2	0.022550	0.028524
17	ver1to2	0.077750	0.094992
18	ver1to2	0.065000	0.089233
19	ver1to2	0.034950	0.043940
20	ver1to2	0.064250	0.074565
21	ver1to2	0.000950	0.001538
22	ver1to2	0.023850	0.026603
23	ver1to2	0.000100	0.000308
24	ver1to2	0.034150	0.042615
25	ver1to2	0.009550	0.010724
26	ver1to2	0.045900	0.055763
27	ver1to2	0.011150	0.012910
28	ver1to2	0.004050	0.004019
29	ver1to2	0.056950	0.072628
30	ver1to2	0.011750	0.017085
31	ver1to2	0.047900	0.061552
32	ver1to2	0.003850	0.004320
33	ver1to2	0.064500	0.080780
34	ver1to2	0.007700	0.009804
35	ver1to2	0.000300	0.000470
0	ver1to3	0.000000	0.000000
1	ver1to3	0.017150	0.024182
2	ver1to3	0.017800	0.028639
3	ver1to3	0.012950	0.012373
4	ver1to3	0.034850	0.040827
5	ver1to3	0.001900	0.004166
6	ver1to3	0.003050	0.002762
7	ver1to3	0.000150	0.000489
8	ver1to3	0.001500	0.002259
9	ver1to3	0.031700	0.037564
10	ver1to3	0.000100	0.000308
11	ver1to3	0.031250	0.050478
12	ver1to3	0.003700	0.006191
13	ver1to3	0.029550	0.036395
14	ver1to3	0.004100	0.004767
15	ver1to3	0.009350	0.010850
16	ver1to3	0.018350	0.022027
17	ver1to3	0.060150	0.072125
18	ver1to3	0.050850	0.072413
19	ver1to3	0.032150	0.039320
20	ver1to3	0.084500	0.116541
21	ver1to3	0.001200	0.002375
22	ver1to3	0.021750	0.027338
23	ver1to3	0.000050	0.000224
24	ver1to3	0.026800	0.035253
25	ver1to3	0.008300	0.009437
26	ver1to3	0.037900	0.047179
27	ver1to3	0.010150	0.012436
28	ver1to3	0.003750	0.003041
29	ver1to3	0.046150	0.064907
30	ver1to3	0.007100	0.012174
31	ver1to3	0.037400	0.051894
32	ver1to3	0.003550	0.004298
33	ver1to3	0.053500	0.068505
34	ver1to3	0.005650	0.008659
35	ver1to3	0.000200	0.000410
0	ver2to3	0.000000	0.000000
1	ver2to3	0.010850	0.019146
2	ver2to3	0.020050	0.029038
3	ver2to3	0.013350	0.020394
4	ver2to3	0.011100	0.026648
5	ver2to3	0.000600	0.001142
6	ver2to3	0.001300	0.001342
7	ver2to3	0.000200	0.000410
8	ver2to3	0.002000	0.003387
9	ver2to3	0.037200	0.049032
10	ver2to3	0.000200	0.000410
11	ver2to3	0.035450	0.053246
12	ver2to3	0.003300	0.004824
13	ver2to3	0.027650	0.037494
14	ver2to3	0.003350	0.004522
15	ver2to3	0.012400	0.017313
16	ver2to3	0.019850	0.026621
17	ver2to3	0.065200	0.092576
18	ver2to3	0.053450	0.085071
19	ver2to3	0.030100	0.037342
20	ver2to3	0.080050	0.127389
21	ver2to3	0.001200	0.002587
22	ver2to3	0.025000	0.033700
23	ver2to3	0.000100	0.000308
24	ver2to3	0.025700	0.030738
25	ver2to3	0.008600	0.011004
26	ver2to3	0.039500	0.053470
27	ver2to3	0.009700	0.014441
28	ver2to3	0.003000	0.003509
29	ver2to3	0.042500	0.064397
30	ver2to3	0.007050	0.010293
31	ver2to3	0.035450	0.052263
32	ver2to3	0.003000	0.005016
33	ver2to3	0.055000	0.079455
34	ver2to3	0.005400	0.006962
35	ver2to3	0.000250	0.000444
0	version1	0.000000	0.000000
1	version1	0.009350	0.016171
2	version1	0.021050	0.030628
3	version1	0.009200	0.009140
4	version1	0.037350	0.039620
5	version1	0.001200	0.001989
6	version1	0.001600	0.001273
7	version1	0.000200	0.000616
8	version1	0.000600	0.001095
9	version1	0.027300	0.040859
10	version1	0.000050	0.000224
11	version1	0.025750	0.039647
12	version1	0.002750	0.003892
13	version1	0.020450	0.026637
14	version1	0.004100	0.007240
15	version1	0.009550	0.012258
16	version1	0.013800	0.018130
17	version1	0.042800	0.056608
18	version1	0.034950	0.058441
19	version1	0.025450	0.041415
20	version1	0.055650	0.069768
21	version1	0.000500	0.000889
22	version1	0.014900	0.022426
23	version1	0.000000	0.000000
24	version1	0.022750	0.030180
25	version1	0.006750	0.008422
26	version1	0.030200	0.041288
27	version1	0.006800	0.007495
28	version1	0.004350	0.005950
29	version1	0.037900	0.055977
30	version1	0.004900	0.007973
31	version1	0.031750	0.044039
32	version1	0.002400	0.003102
33	version1	0.041100	0.056213
34	version1	0.005850	0.007400
35	version1	0.000100	0.000308
0	version2	0.000000	0.000000
1	version2	0.008250	0.011625
2	version2	0.010900	0.017618
3	version2	0.007350	0.012089
4	version2	0.015250	0.028022
5	version2	0.000400	0.000821
6	version2	0.001800	0.002858
7	version2	0.000100	0.000308
8	version2	0.001100	0.002222
9	version2	0.023850	0.039181
10	version2	0.000050	0.000224
11	version2	0.021150	0.044077
12	version2	0.002050	0.003069
13	version2	0.016450	0.023904
14	version2	0.002850	0.004771
15	version2	0.006800	0.010365
16	version2	0.012700	0.020376
17	version2	0.041750	0.072473
18	version2	0.032650	0.067410
19	version2	0.018400	0.031750
20	version2	0.033350	0.044456
21	version2	0.000400	0.000940
22	version2	0.013450	0.020677
23	version2	0.000000	0.000000
24	version2	0.017250	0.027705
25	version2	0.004600	0.006924
26	version2	0.024250	0.037750
27	version2	0.005750	0.008663
28	version2	0.001950	0.002259
29	version2	0.023650	0.039269
30	version2	0.004800	0.009277
31	version2	0.021250	0.033925
32	version2	0.001550	0.002645
33	version2	0.030800	0.057750
34	version2	0.003150	0.004416
35	version2	0.000050	0.000224
0	version3	0.000000	0.000000
1	version3	0.009600	0.015652
2	version3	0.015200	0.025804
3	version3	0.008400	0.014255
4	version3	0.009850	0.015699
5	version3	0.001150	0.003150
6	version3	0.001750	0.002845
7	version3	0.000100	0.000308
8	version3	0.000950	0.002460
9	version3	0.022500	0.040163
10	version3	0.000050	0.000224
11	version3	0.015950	0.033172
12	version3	0.002250	0.003878
13	version3	0.018550	0.032465
14	version3	0.003500	0.005031
15	version3	0.007100	0.013266
16	version3	0.012500	0.022745
17	version3	0.040150	0.079853
18	version3	0.031400	0.075418
19	version3	0.020450	0.032827
20	version3	0.058800	0.122490
21	version3	0.000750	0.002049
22	version3	0.017200	0.029356
23	version3	0.000050	0.000224
24	version3	0.017650	0.023549
25	version3	0.006250	0.009408
26	version3	0.025800	0.041629
27	version3	0.007300	0.013864
28	version3	0.003050	0.004199
29	version3	0.027750	0.052270
30	version3	0.003200	0.005156
31	version3	0.022750	0.039824
32	version3	0.002100	0.004077
33	version3	0.034800	0.069844
34	version3	0.003550	0.005145
35	version3	0.000100	0.000308

