task_id,layer,version1_cos,version1_js,version2_cos,version2_js,version3_cos,version3_js,ver1to2_cos,ver1to2_js,ver1to3_cos,ver1to3_js,ver2to3_cos,ver2to3_js
0,0,0.968,0.0,0.968,0.0,0.968,0.0,0.97,0.0,0.97,0.0,0.97,0.0
0,1,0.828,0.024,0.829,0.025,0.829,0.02,0.841,0.0,0.841,0.0,0.842,0.0
0,2,0.571,0.02,0.575,0.029,0.575,0.029,0.596,0.001,0.596,0.001,0.601,0.0
0,3,0.548,0.033,0.549,0.04,0.548,0.037,0.584,0.003,0.584,0.003,0.586,0.001
0,4,0.8,0.044,0.801,0.0,0.801,0.0,0.809,0.049,0.808,0.035,0.81,0.001
0,5,0.713,0.001,0.713,0.001,0.712,0.001,0.737,0.0,0.736,0.0,0.737,0.0
0,6,0.667,0.003,0.669,0.003,0.668,0.002,0.688,0.0,0.686,0.0,0.688,0.0
0,7,0.387,0.0,0.387,0.0,0.387,0.0,0.428,0.0,0.428,0.0,0.428,0.0
0,8,0.753,0.004,0.753,0.005,0.753,0.005,0.768,0.0,0.767,0.0,0.767,0.0
0,9,0.317,0.092,0.317,0.102,0.315,0.1,0.382,0.003,0.379,0.001,0.381,0.001
0,10,0.783,0.0,0.782,0.0,0.782,0.0,0.805,0.0,0.805,0.0,0.805,0.0
0,11,0.631,0.04,0.632,0.05,0.632,0.075,0.659,0.001,0.66,0.006,0.661,0.003
0,12,0.498,0.008,0.497,0.008,0.497,0.007,0.538,0.0,0.538,0.0,0.538,0.0
0,13,0.285,0.074,0.287,0.077,0.284,0.077,0.346,0.002,0.342,0.002,0.345,0.0
0,14,0.574,0.001,0.574,0.001,0.571,0.001,0.603,0.0,0.6,0.001,0.6,0.0
0,15,0.363,0.024,0.365,0.026,0.36,0.023,0.426,0.0,0.421,0.0,0.423,0.0
0,16,0.414,0.05,0.415,0.054,0.411,0.046,0.473,0.001,0.468,0.001,0.47,0.001
0,17,0.381,0.149,0.383,0.153,0.379,0.168,0.445,0.001,0.439,0.002,0.441,0.001
0,18,0.391,0.153,0.393,0.154,0.387,0.159,0.44,0.0,0.433,0.001,0.435,0.001
0,19,0.457,0.089,0.459,0.093,0.455,0.078,0.509,0.001,0.503,0.002,0.505,0.001
0,20,0.352,0.359,0.355,0.332,0.352,0.291,0.415,0.002,0.409,0.007,0.413,0.003
0,21,0.44,0.007,0.444,0.006,0.44,0.005,0.49,0.0,0.483,0.0,0.487,0.0
0,22,0.509,0.079,0.512,0.074,0.511,0.065,0.55,0.001,0.547,0.004,0.55,0.002
0,23,0.523,0.0,0.527,0.0,0.524,0.0,0.561,0.0,0.557,0.0,0.561,0.0
0,24,0.363,0.069,0.368,0.064,0.365,0.06,0.427,0.002,0.422,0.002,0.427,0.001
0,25,0.518,0.016,0.523,0.018,0.521,0.016,0.557,0.002,0.553,0.001,0.558,0.0
0,26,0.371,0.114,0.373,0.107,0.371,0.096,0.424,0.001,0.42,0.002,0.423,0.001
0,27,0.417,0.021,0.419,0.021,0.418,0.017,0.463,0.0,0.461,0.002,0.464,0.001
0,28,0.423,0.006,0.426,0.008,0.424,0.006,0.462,0.0,0.458,0.0,0.461,0.0
0,29,0.364,0.133,0.369,0.13,0.367,0.127,0.419,0.001,0.415,0.002,0.419,0.001
0,30,0.57,0.022,0.573,0.02,0.572,0.018,0.598,0.0,0.596,0.0,0.599,0.0
0,31,0.396,0.11,0.401,0.105,0.4,0.105,0.448,0.002,0.444,0.002,0.45,0.001
0,32,0.493,0.012,0.498,0.011,0.496,0.011,0.54,0.0,0.537,0.0,0.542,0.0
0,33,0.305,0.175,0.312,0.165,0.31,0.158,0.375,0.003,0.372,0.002,0.378,0.001
0,34,0.467,0.006,0.472,0.008,0.47,0.007,0.504,0.001,0.502,0.001,0.507,0.0
0,35,0.694,0.0,0.697,0.001,0.696,0.002,0.712,0.0,0.709,0.001,0.712,0.001
1,0,0.966,0.0,0.966,0.0,0.966,0.0,0.966,0.0,0.966,0.0,0.966,0.0
1,1,0.82,0.032,0.822,0.008,0.821,0.001,0.82,0.008,0.82,0.041,0.821,0.013
1,2,0.558,0.004,0.567,0.003,0.566,0.001,0.557,0.013,0.558,0.005,0.564,0.003
1,3,0.532,0.005,0.54,0.001,0.532,0.001,0.534,0.003,0.528,0.003,0.533,0.002
1,4,0.804,0.122,0.807,0.005,0.806,0.018,0.804,0.081,0.805,0.05,0.806,0.004
1,5,0.714,0.0,0.716,0.0,0.714,0.0,0.713,0.001,0.713,0.001,0.713,0.0
1,6,0.664,0.005,0.669,0.0,0.67,0.002,0.662,0.005,0.665,0.001,0.668,0.002
1,7,0.373,0.0,0.381,0.0,0.376,0.0,0.374,0.0,0.373,0.0,0.376,0.0
1,8,0.767,0.001,0.769,0.0,0.77,0.001,0.768,0.002,0.771,0.0,0.77,0.002
1,9,0.311,0.008,0.32,0.003,0.312,0.005,0.314,0.009,0.313,0.003,0.314,0.008
1,10,0.787,0.0,0.788,0.0,0.788,0.0,0.787,0.0,0.788,0.0,0.787,0.0
1,11,0.65,0.013,0.652,0.0,0.655,0.001,0.648,0.014,0.653,0.006,0.653,0.002
1,12,0.517,0.002,0.521,0.0,0.521,0.004,0.516,0.001,0.52,0.0,0.519,0.003
1,13,0.271,0.01,0.288,0.007,0.28,0.004,0.273,0.021,0.272,0.003,0.281,0.014
1,14,0.592,0.021,0.598,0.009,0.598,0.018,0.591,0.003,0.593,0.0,0.596,0.002
1,15,0.362,0.006,0.379,0.002,0.375,0.006,0.364,0.003,0.363,0.003,0.372,0.003
1,16,0.431,0.005,0.444,0.004,0.445,0.003,0.428,0.007,0.432,0.002,0.439,0.006
1,17,0.383,0.023,0.404,0.015,0.399,0.005,0.387,0.032,0.385,0.018,0.398,0.028
1,18,0.417,0.006,0.437,0.002,0.435,0.002,0.418,0.006,0.419,0.002,0.433,0.004
1,19,0.461,0.021,0.482,0.005,0.473,0.008,0.466,0.014,0.461,0.008,0.475,0.009
1,20,0.359,0.083,0.389,0.017,0.379,0.021,0.365,0.124,0.362,0.03,0.38,0.053
1,21,0.438,0.0,0.467,0.0,0.456,0.0,0.444,0.0,0.439,0.0,0.458,0.0
1,22,0.53,0.014,0.547,0.006,0.54,0.003,0.534,0.003,0.532,0.004,0.541,0.002
1,23,0.534,0.0,0.553,0.0,0.548,0.0,0.537,0.0,0.536,0.0,0.548,0.0
1,24,0.361,0.019,0.393,0.005,0.381,0.008,0.366,0.018,0.36,0.011,0.382,0.013
1,25,0.525,0.015,0.542,0.004,0.535,0.004,0.528,0.004,0.526,0.004,0.536,0.001
1,26,0.37,0.042,0.393,0.011,0.385,0.011,0.372,0.027,0.37,0.017,0.383,0.01
1,27,0.421,0.006,0.437,0.001,0.433,0.001,0.422,0.004,0.423,0.01,0.433,0.003
1,28,0.433,0.001,0.449,0.0,0.443,0.001,0.434,0.002,0.434,0.001,0.442,0.001
1,29,0.358,0.024,0.385,0.003,0.374,0.013,0.36,0.022,0.356,0.011,0.374,0.015
1,30,0.569,0.001,0.584,0.0,0.577,0.0,0.572,0.001,0.568,0.0,0.578,0.001
1,31,0.39,0.013,0.416,0.006,0.404,0.01,0.394,0.016,0.387,0.006,0.406,0.019
1,32,0.48,0.002,0.501,0.001,0.493,0.0,0.482,0.001,0.478,0.001,0.493,0.0
1,33,0.291,0.023,0.327,0.007,0.312,0.009,0.295,0.022,0.288,0.012,0.314,0.014
1,34,0.469,0.002,0.484,0.003,0.478,0.0,0.47,0.004,0.468,0.001,0.478,0.003
1,35,0.701,0.0,0.705,0.0,0.706,0.0,0.699,0.0,0.701,0.0,0.704,0.0
2,0,0.967,0.0,0.967,0.0,0.966,0.0,0.967,0.0,0.966,0.0,0.966,0.0
2,1,0.827,0.003,0.826,0.004,0.825,0.004,0.826,0.0,0.825,0.0,0.826,0.0
2,2,0.564,0.007,0.568,0.01,0.568,0.017,0.563,0.031,0.562,0.044,0.569,0.001
2,3,0.531,0.001,0.535,0.001,0.537,0.005,0.533,0.003,0.534,0.007,0.542,0.005
2,4,0.813,0.015,0.813,0.014,0.811,0.024,0.812,0.056,0.81,0.075,0.811,0.001
2,5,0.723,0.0,0.725,0.0,0.724,0.0,0.722,0.0,0.721,0.0,0.725,0.0
2,6,0.675,0.0,0.675,0.001,0.675,0.004,0.673,0.001,0.672,0.004,0.675,0.002
2,7,0.371,0.0,0.374,0.0,0.374,0.0,0.371,0.0,0.371,0.0,0.378,0.0
2,8,0.782,0.0,0.78,0.0,0.778,0.0,0.78,0.0,0.778,0.0,0.778,0.0
2,9,0.314,0.004,0.319,0.008,0.315,0.015,0.317,0.015,0.312,0.024,0.324,0.004
2,10,0.796,0.0,0.795,0.0,0.794,0.0,0.795,0.0,0.794,0.0,0.795,0.0
2,11,0.665,0.0,0.663,0.0,0.661,0.001,0.662,0.0,0.66,0.0,0.66,0.0
2,12,0.527,0.0,0.526,0.001,0.524,0.001,0.527,0.001,0.524,0.001,0.527,0.0
2,13,0.299,0.006,0.3,0.006,0.296,0.009,0.297,0.011,0.292,0.017,0.298,0.002
2,14,0.605,0.002,0.605,0.0,0.602,0.0,0.605,0.002,0.601,0.003,0.603,0.0
2,15,0.375,0.001,0.378,0.001,0.375,0.002,0.376,0.001,0.372,0.001,0.378,0.0
2,16,0.443,0.002,0.444,0.003,0.443,0.003,0.442,0.003,0.439,0.002,0.444,0.001
2,17,0.402,0.003,0.403,0.002,0.403,0.007,0.403,0.004,0.401,0.014,0.405,0.005
2,18,0.422,0.002,0.421,0.001,0.42,0.001,0.421,0.002,0.418,0.002,0.419,0.001
2,19,0.465,0.004,0.467,0.007,0.467,0.012,0.468,0.008,0.465,0.018,0.47,0.005
2,20,0.366,0.004,0.367,0.003,0.366,0.005,0.369,0.003,0.364,0.008,0.368,0.003
2,21,0.448,0.0,0.449,0.0,0.449,0.0,0.451,0.0,0.448,0.0,0.451,0.0
2,22,0.52,0.0,0.522,0.008,0.521,0.025,0.524,0.006,0.522,0.022,0.527,0.006
